rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.05,1.0000000000000002
1998-01-01,MSFT,0.05,0.0
1998-01-01,XOM,0.05,0.0
1998-01-01,GE,0.05,0.0
1998-01-01,INTC,0.05,0.0
1998-01-01,MRK,0.05,0.0
1998-01-01,PG,0.05,0.0
1998-01-01,IBM,0.05,0.0
1998-01-01,PFE,0.05,0.0
1998-01-01,BMY,0.05,0.0
1998-01-01,WMT,0.05,0.0
1998-01-01,JNJ,0.05,0.0
1998-01-01,LLY,0.05,0.0
1998-01-01,VZ,0.05,0.0
1998-01-01,DIS,0.05,0.0
1998-01-01,AIG,0.05,0.0
1998-01-01,C,0.05,0.0
1998-01-01,CSCO,0.05,0.0
1998-01-01,PEP,0.05,0.0
1998-01-01,T,0.05,0.0
1998-02-01,KO,0.05,0.05564000194940031
1998-02-01,MSFT,0.05,0.0
1998-02-01,XOM,0.05,0.0
1998-02-01,GE,0.05,0.0
1998-02-01,INTC,0.05,0.0
1998-02-01,MRK,0.05,0.0
1998-02-01,PG,0.05,0.0
1998-02-01,IBM,0.05,0.0
1998-02-01,PFE,0.05,0.0
1998-02-01,BMY,0.05,0.0
1998-02-01,WMT,0.05,0.0
1998-02-01,JNJ,0.05,0.0
1998-02-01,LLY,0.05,0.0
1998-02-01,VZ,0.05,0.0
1998-02-01,DIS,0.05,0.0
1998-02-01,AIG,0.05,0.0
1998-02-01,C,0.05,0.0
1998-02-01,CSCO,0.05,0.0
1998-02-01,PEP,0.05,0.0
1998-02-01,T,0.05,0.0
1998-03-01,KO,0.05,0.044210042484885345
1998-03-01,MSFT,0.05,0.0
1998-03-01,XOM,0.05,0.0
1998-03-01,GE,0.05,0.0
1998-03-01,INTC,0.05,0.0
1998-03-01,MRK,0.05,0.0
1998-03-01,PG,0.05,0.0
1998-03-01,IBM,0.05,0.0
1998-03-01,PFE,0.05,0.0
1998-03-01,BMY,0.05,0.0
1998-03-01,WMT,0.05,0.0
1998-03-01,JNJ,0.05,0.0
1998-03-01,LLY,0.05,0.0
1998-03-01,VZ,0.05,0.0
1998-03-01,DIS,0.05,0.0
1998-03-01,AIG,0.05,0.0
1998-03-01,C,0.05,0.0
1998-03-01,CSCO,0.05,0.0
1998-03-01,PEP,0.05,0.0
1998-03-01,T,0.05,0.0
1998-04-01,KO,0.05,0.06185855027890696
1998-04-01,MSFT,0.05,0.0
1998-04-01,XOM,0.05,0.0
1998-04-01,GE,0.05,0.0
1998-04-01,INTC,0.05,0.0
1998-04-01,MRK,0.05,0.0
1998-04-01,PG,0.05,0.0
1998-04-01,IBM,0.05,0.0
1998-04-01,PFE,0.05,0.0
1998-04-01,BMY,0.05,0.0
1998-04-01,WMT,0.05,0.0
1998-04-01,JNJ,0.05,0.0
1998-04-01,LLY,0.05,0.0
1998-04-01,VZ,0.05,0.0
1998-04-01,DIS,0.05,0.0
1998-04-01,AIG,0.05,0.0
1998-04-01,C,0.05,0.0
1998-04-01,CSCO,0.05,0.0
1998-04-01,PEP,0.05,0.0
1998-04-01,T,0.05,0.0
1998-05-01,KO,0.05,0.059233156168424096
1998-05-01,MSFT,0.05,0.0
1998-05-01,XOM,0.05,0.0
1998-05-01,GE,0.05,0.0
1998-05-01,INTC,0.05,0.0
1998-05-01,MRK,0.05,0.0
1998-05-01,PG,0.05,0.0
1998-05-01,IBM,0.05,0.0
1998-05-01,PFE,0.05,0.0
