rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.05,1.0000000000000002
1998-01-01,MSFT,0.05,0.0
1998-01-01,XOM,0.05,0.0
1998-01-01,GE,0.05,0.0
1998-01-01,INTC,0.05,0.0
1998-01-01,MRK,0.05,0.0
1998-01-01,PG,0.05,0.0
1998-01-01,IBM,0.05,0.0
1998-01-01,PFE,0.05,0.0
1998-01-01,BMY,0.05,0.0
1998-01-01,WMT,0.05,0.0
1998-01-01,JNJ,0.05,0.0
1998-01-01,LLY,0.05,0.0
1998-01-01,VZ,0.05,0.0
1998-01-01,DIS,0.05,0.0
1998-01-01,AIG,0.05,0.0
1998-01-01,C,0.05,0.0
1998-01-01,CSCO,0.05,0.0
1998-01-01,PEP,0.05,0.0
1998-01-01,T,0.05,0.0
1998-07-01,KO,0.05,0.1280238401137998
1998-07-01,MSFT,0.05,0.0
1998-07-01,XOM,0.05,0.0
1998-07-01,GE,0.05,0.0
1998-07-01,INTC,0.05,0.0
1998-07-01,MRK,0.05,0.0
1998-07-01,PG,0.05,0.0
1998-07-01,IBM,0.05,0.0
1998-07-01,PFE,0.05,0.0
1998-07-01,BMY,0.05,0.0
1998-07-01,WMT,0.05,0.0
1998-07-01,JNJ,0.05,0.0
1998-07-01,LLY,0.05,0.0
1998-07-01,VZ,0.05,0.0
1998-07-01,DIS,0.05,0.0
1998-07-01,AIG,0.05,0.0
1998-07-01,C,0.05,0.0
1998-07-01,CSCO,0.05,0.0
1998-07-01,PEP,0.05,0.0
1998-07-01,T,0.05,0.0
1999-01-01,MSFT,0.05,0.3174162199640887
1999-01-01,GE,0.05,0.0
1999-01-01,INTC,0.05,0.0
1999-01-01,WMT,0.05,0.0
1999-01-01,XOM,0.05,0.0
1999-01-01,KO,0.05,0.0
1999-01-01,IBM,0.05,0.0
1999-01-01,MRK,0.05,0.0
1999-01-01,PFE,0.05,0.0
1999-01-01,CSCO,0.05,0.0
1999-01-01,BMY,0.05,0.0
1999-01-01,PG,0.05,0.0
1999-01-01,C,0.05,0.0
1999-01-01,JNJ,0.05,0.0
1999-01-01,BAC,0.05,0.0
1999-01-01,LLY,0.05,0.0
1999-01-01,VZ,0.05,0.0
1999-01-01,HD,0.05,0.0
1999-01-01,AIG,0.05,0.0
1999-01-01,T,0.05,0.0
1999-07-01,MSFT,0.05,0.12623345102505285
1999-07-01,GE,0.05,0.0
1999-07-01,INTC,0.05,0.0
1999-07-01,WMT,0.05,0.0
1999-07-01,XOM,0.05,0.0
1999-07-01,KO,0.05,0.0
1999-07-01,IBM,0.05,0.0
1999-07-01,MRK,0.05,0.0
1999-07-01,PFE,0.05,0.0
1999-07-01,CSCO,0.05,0.0
1999-07-01,BMY,0.05,0.0
1999-07-01,PG,0.05,0.0
1999-07-01,C,0.05,0.0
1999-07-01,JNJ,0.05,0.0
1999-07-01,BAC,0.05,0.0
1999-07-01,LLY,0.05,0.0
1999-07-01,VZ,0.05,0.0
1999-07-01,HD,0.05,0.0
1999-07-01,AIG,0.05,0.0
1999-07-01,T,0.05,0.0
2000-01-01,MSFT,0.05,0.35314473899182686
2000-01-01,CSCO,0.05,0.0
2000-01-01,WMT,0.05,0.0
2000-01-01,GE,0.05,0.0
2000-01-01,XOM,0.05,0.0
2000-01-01,INTC,0.05,0.0
2000-01-01,C,0.05,0.0
2000-01-01,IBM,0.05,0.0
2000-01-01,HD,0.05,0.0
