date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2008-09-15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2008-09-16,-0.0482829847,-0.0364353692,-0.0401741402,-0.0492295829,-0.0729622848,-0.0564011777,-0.0982903267,-0.1099839012,-0.1008544428
2008-09-17,-0.0309114594,-0.0265583921,-0.0356003878,-0.0425719886,-0.0590389348,-0.0406073457,-0.0811346709,-0.0895862801,-0.0803115514
2008-09-18,-0.0791994921,-0.0651277979,-0.0866830166,-0.0866366070,-0.1149221402,-0.0876764297,-0.1427460572,-0.1644788968,-0.1498575400
2008-09-19,-0.0367706858,-0.0325401952,-0.0505641587,-0.0489955613,-0.0640927611,-0.0432066665,-0.0882153423,-0.0950406755,-0.0859980346
2008-09-22,0.0026966922,-0.0130601684,-0.0196702838,-0.0186378675,-0.0113201145,-0.0019299803,-0.0279937785,-0.0138208458,-0.0131480528
2008-09-23,-0.0362901123,-0.0411158116,-0.0567594605,-0.0483379423,-0.0476825310,-0.0345540498,-0.0657991641,-0.0578649075,-0.0561084737
2008-09-24,-0.0520462240,-0.0549949248,-0.0737425264,-0.0616946804,-0.0599996381,-0.0472561200,-0.0778430263,-0.0700131864,-0.0669620605
2008-09-25,-0.0540259100,-0.0509068280,-0.0650308406,-0.0618050293,-0.0639424296,-0.0460755698,-0.0853491001,-0.0823807166,-0.0761831481
2008-09-26,-0.0345601000,-0.0285689888,-0.0391804907,-0.0365661652,-0.0373263789,-0.0190471403,-0.0583501260,-0.0544724021,-0.0490529323
2008-09-29,-0.0311833784,-0.0259229731,-0.0505178387,-0.0251130975,-0.0221037100,-0.0063303801,-0.0390775872,-0.0334296120,-0.0279959421
2008-09-30,-0.1233729708,-0.0984306875,-0.1479001082,-0.0954019224,-0.1141732975,-0.0937511076,-0.1398927782,-0.1469243548,-0.1375101423
2008-10-01,-0.0706148128,-0.0516391223,-0.1033906061,-0.0409035355,-0.0485474983,-0.0335274586,-0.0676285546,-0.0632473401,-0.0588951730
2008-10-02,-0.0751691569,-0.0555298520,-0.1033906061,-0.0412838355,-0.0313932728,-0.0235979478,-0.0271840028,-0.0311913026,-0.0349531051
2008-10-03,-0.1162941056,-0.0789141481,-0.1373308941,-0.0624578775,-0.0569823218,-0.0473656972,-0.0488317208,-0.0579032333,-0.0684258743
2008-10-06,-0.1298926714,-0.0899611982,-0.1490850674,-0.0760830927,-0.0803157093,-0.0661071762,-0.0894018933,-0.0924803643,-0.0953514623
2008-10-07,-0.1691719411,-0.1162981440,-0.1787522201,-0.1066136065,-0.1099464736,-0.0972504142,-0.1209750944,-0.1216611028,-0.1211214412
2008-10-08,-0.2282797323,-0.1667535309,-0.2236096912,-0.1600142626,-0.1825283711,-0.1637641572,-0.2139461172,-0.2116257410,-0.2009797251
2008-10-09,-0.2396771392,-0.1795682107,-0.2648843430,-0.1759358298,-0.2025418080,-0.1758677135,-0.2424332827,-0.2389043466,-0.2233432050
2008-10-10,-0.3189012025,-0.2552037015,-0.3190807053,-0.2506946288,-0.2852453560,-0.2538602794,-0.3405205175,-0.3315935260,-0.3122612467
2008-10-13,-0.3307301790,-0.2739170885,-0.3494253514,-0.2557422826,-0.2826377226,-0.2612780098,-0.3242113938,-0.3197869051,-0.2979627967
2008-10-14,-0.2211582114,-0.1628522042,-0.2610899433,-0.1605890445,-0.1805975998,-0.1549920273,-0.2288945780,-0.2189376126,-0.1952300125
2008-10-15,-0.2264945612,-0.1751357102,-0.2782872946,-0.1641989192,-0.1783943359,-0.1560571769,-0.2066456181,-0.1957786685,-0.1939790181
2008-10-16,-0.3211896861,-0.2510660479,-0.3250123224,-0.2334788735,-0.2595990553,-0.2410023149,-0.2947028341,-0.2843446250,-0.2792894729
2008-10-17,-0.2795608638,-0.1993129291,-0.2844886894,-0.1890302290,-0.2162491715,-0.1882350967,-0.2583606730,-0.2459413953,-0.2409375193
2008-10-20,-0.2857930698,-0.2176587636,-0.3016464818,-0.2047579545,-0.2361599778,-0.2032943025,-0.2891355763,-0.2743562108,-0.2648355180
2008-10-21,-0.2392101924,-0.1727140632,-0.2650811425,-0.1632322037,-0.1929700489,-0.1577719093,-0.2452309465,-0.2354312343,-0.2217882744
2008-10-22,-0.2704941850,-0.2054465260,-0.2941347606,-0.1898516077,-0.2267961045,-0.1909631225,-0.2795374329,-0.2703737172,-0.2597259935
2008-10-23,-0.3334472647,-0.2508852059,-0.3397424046,-0.2438163358,-0.2762728899,-0.2476688920,-0.3309698418,-0.3121923230,-0.3009559540
2008-10-24,-0.3208923668,-0.2282283630,-0.3429673305,-0.2273315589,-0.2598568052,-0.2222591457,-0.3172165505,-0.2997159553,-0.2891476755
2008-10-27,-0.3560131448,-0.2593679444,-0.3740450504,-0.2618203362,-0.3031186691,-0.2575185418,-0.3736806139,-0.3521036412,-0.3399419588
2008-10-28,-0.3882929341,-0.2829643925,-0.4000526818,-0.2753094859,-0.3275844115,-0.2815843755,-0.4078112245,-0.3867555721,-0.3708546650
2008-10-29,-0.2858355756,-0.1805282184,-0.3019489552,-0.1725537468,-0.2161213655,-0.1755304584,-0.2882643675,-0.2703685592,-0.2524807159
2008-10-30,-0.2969764828,-0.1915399685,-0.3047153263,-0.1953168968,-0.2411585615,-0.1943968725,-0.3214602262,-0.2985167614,-0.2804099966
2008-10-31,-0.2714998326,-0.1728753103,-0.2803302384,-0.1809557268,-0.2203180131,-0.1783034169,-0.2972954709,-0.2788150159,-0.2538593897
2008-11-03,-0.2562512867,-0.1703627459,-0.2691835595,-0.1761475062,-0.2091619698,-0.1703310656,-0.2710423733,-0.2585521189,-0.2411212497
2008-11-04,-0.2587835350,-0.1693521481,-0.2691835595,-0.1727538137,-0.2037734795,-0.1702433563,-0.2607850004,-0.2499934883,-0.2320109174
2008-11-05,-0.2187690565,-0.1398347724,-0.2529379372,-0.1381611226,-0.1601325394,-0.1331985943,-0.2118911868,-0.2018718842,-0.1843123152
2008-11-06,-0.2728843154,-0.1892381748,-0.3031502525,-0.1899824265,-0.2268709990,-0.1899330209,-0.2951216871,-0.2831318496,-0.2586325592
2008-11-07,-0.3244555237,-0.2245957217,-0.3264289800,-0.2314502948,-0.2751420263,-0.2332464283,-0.3504589278,-0.3369946079,-0.3113575235
2008-11-10,-0.2960093417,-0.1987420478,-0.3193442930,-0.2007249755,-0.2435320048,-0.2033125733,-0.3193498679,-0.3060221195,-0.2751644578
2008-11-11,-0.3087432379,-0.2050090071,-0.3192733237,-0.2056566638,-0.2497762645,-0.2107895756,-0.3282646802,-0.3137179983,-0.2803297571
2008-11-12,-0.3310304382,-0.2195114330,-0.3284935441,-0.2209664657,-0.2665686932,-0.2264352063,-0.3462675792,-0.3326901601,-0.2985601628
2008-11-13,-0.3843193041,-0.2647876444,-0.3720415892,-0.2673233098,-0.3207883610,-0.2759241976,-0.4099079025,-0.3973974324,-0.3569284551
2008-11-14,-0.3173967133,-0.1970058006,-0.3200093488,-0.2073647658,-0.2636900746,-0.2122130897,-0.3628391178,-0.3538615765,-0.3090502658
2008-11-17,-0.3599902039,-0.2380729554,-0.3704699982,-0.2470987118,-0.3007458475,-0.2510857579,-0.3993297719,-0.3881548662,-0.3433817895
2008-11-18,-0.3861395539,-0.2614881131,-0.3899800378,-0.2697989883,-0.3315963320,-0.2749509378,-0.4402747339,-0.4272181831,-0.3782978574
2008-11-19,-0.3763492635,-0.2434897006,-0.3716758352,-0.2556071506,-0.3219870502,-0.2596763586,-0.4352706184,-0.4219690016,-0.3693257396
2008-11-20,-0.4394547594,-0.2940690067,-0.4077037224,-0.3124964075,-0.3954641219,-0.3180239884,-0.5351631811,-0.5202119924,-0.4576323183
2008-11-21,-0.5089366049,-0.3567696247,-0.4365671910,-0.3680233547,-0.4628691368,-0.3809248642,-0.6239579007,-0.6031405168,-0.5286546753
2008-11-24,-0.4476086037,-0.3005882005,-0.3991070882,-0.3053112669,-0.4077146422,-0.3193522002,-0.5802990114,-0.5608586123,-0.4738738024
2008-11-25,-0.3848943729,-0.2472502834,-0.3589248420,-0.2577412561,-0.3415343809,-0.2650498984,-0.4799839007,-0.4700565994,-0.4017323060
2008-11-26,-0.3783649593,-0.2406925914,-0.3447285106,-0.2558584960,-0.3359693473,-0.2611208210,-0.4723885279,-0.4589912243,-0.4005602021
2008-11-28,-0.3436465579,-0.2147173060,-0.3053778601,-0.2284050532,-0.2978670087,-0.2298532194,-0.4254300523,-0.4120038736,-0.3588529135
2008-12-01,-0.3340496440,-0.2101868003,-0.3234900648,-0.2176906818,-0.2843757940,-0.2227426342,-0.4027433418,-0.3890022465,-0.3395994430
2008-12-02,-0.4275861656,-0.2830088059,-0.3234900648,-0.2976213003,-0.3845591010,-0.3049569652,-0.5205660381,-0.5094431506,-0.4567328424
2008-12-03,-0.3884225016,-0.2485620257,-0.3152234975,-0.2568477574,-0.3331813229,-0.2645485336,-0.4581348139,-0.4483944159,-0.3972648527
2008-12-04,-0.3629144537,-0.2214767254,-0.2979735799,-0.2291905625,-0.2989829389,-0.2382069532,-0.4182952400,-0.4083365751,-0.3597072951
2008-12-05,-0.3926609535,-0.2468675068,-0.2846388648,-0.2575044090,-0.3326956889,-0.2664120390,-0.4569570658,-0.4433887377,-0.3934716361
2008-12-08,-0.3568118625,-0.2150797614,-0.2299130756,-0.2254304648,-0.2982049893,-0.2366432548,-0.4195922931,-0.4029550462,-0.3531166968
2008-12-09,-0.3191429791,-0.1860458619,-0.2411423834,-0.1910380057,-0.2503721547,-0.1965733891,-0.3657256485,-0.3513243945,-0.3013436325
2008-12-10,-0.3425319236,-0.2100653090,-0.2720175862,-0.2176640459,-0.2722748785,-0.2210956477,-0.3845432955,-0.3715186661,-0.3237858275
2008-12-11,-0.3307079160,-0.2133429678,-0.2821019668,-0.2185158040,-0.2790403763,-0.2196120497,-0.3987921069,-0.3862854845,-0.3353379195
2008-12-12,-0.3596466785,-0.2310037909,-0.2861457845,-0.2390636983,-0.3094086641,-0.2406254743,-0.4363254705,-0.4263499802,-0.3747231601
2008-12-15,-0.3526428473,-0.2192107352,-0.2890699750,-0.2316219477,-0.2950486612,-0.2319019710,-0.4186526371,-0.4085682196,-0.3587891510
2008-12-16,-0.3654096777,-0.2260499298,-0.2876067362,-0.2403364807,-0.3126222413,-0.2436920976,-0.4410782221,-0.4308044729,-0.3805051549
2008-12-17,-0.3153248619,-0.1877788335,-0.2779657824,-0.2004725152,-0.2669468526,-0.2032239348,-0.3902770846,-0.3797552723,-0.3294565783
2008-12-18,-0.3249640320,-0.2006414690,-0.2788716127,-0.2170876720,-0.2888444843,-0.2225461040,-0.4152045793,-0.4052247733,-0.3545694156
2008-12-19,-0.3463538551,-0.2161616964,-0.2748931736,-0.2402292803,-0.3169154798,-0.2487180085,-0.4467864152,-0.4349173346,-0.3841249621
2008-12-22,-0.3434212631,-0.2171893690,-0.2689554024,-0.2422737712,-0.3221959135,-0.2540990024,-0.4543871779,-0.4424835058,-0.3918994795
2008-12-23,-0.3618928398,-0.2242211530,-0.2644804758,-0.2482750604,-0.3336750827,-0.2615808556,-0.4687380873,-0.4568510747,-0.4057688264
2008-12-24,-0.3716578248,-0.2339041763,-0.2770615108,-0.2571061420,-0.3453952397,-0.2689670527,-0.4830078639,-0.4720909927,-0.4198284223
2008-12-26,-0.3658933284,-0.2298280261,-0.2743520443,-0.2528387514,-0.3373073142,-0.2630317804,-0.4729144560,-0.4605922670,-0.4092449879
