date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2008-09-15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2008-09-16,-0.0482829847,-0.0376916284,-0.0486055385,-0.0611798333,-0.0725253320,-0.0559651373,-0.0912009723,-0.1167518291,-0.0978461056
2008-09-17,-0.0309114594,-0.0283247658,-0.0402339098,-0.0477955885,-0.0565770167,-0.0402273526,-0.0720061910,-0.0873366137,-0.0747810205
2008-09-18,-0.0791994921,-0.0653139465,-0.0924630525,-0.0937983228,-0.1126172596,-0.0871133129,-0.1419778062,-0.1667646200,-0.1405124857
2008-09-19,-0.0367706858,-0.0357030426,-0.0538971766,-0.0500220130,-0.0601739041,-0.0428060604,-0.0762157239,-0.0887162471,-0.0765722378
2008-09-22,0.0026966922,-0.0149547885,-0.0065880780,-0.0064352928,-0.0042858215,-0.0019015474,-0.0013538634,0.0108678849,0.0025081828
2008-09-23,-0.0362901123,-0.0439508945,-0.0407332029,-0.0408573895,-0.0429682051,-0.0342925638,-0.0460216421,-0.0430555097,-0.0437487952
2008-09-24,-0.0520462240,-0.0573632486,-0.0626012080,-0.0542085718,-0.0554393894,-0.0470190808,-0.0568047732,-0.0566872168,-0.0573329357
2008-09-25,-0.0540259100,-0.0530778022,-0.0562509055,-0.0564212484,-0.0588942708,-0.0457740926,-0.0660963237,-0.0688468183,-0.0654366994
2008-09-26,-0.0345601000,-0.0297473431,-0.0295253701,-0.0304875183,-0.0318427272,-0.0188153682,-0.0380578338,-0.0377450460,-0.0337079945
2008-09-29,-0.0311833784,-0.0262294856,-0.0429029276,-0.0151284365,-0.0147495471,-0.0064970291,-0.0164687198,-0.0100505278,-0.0099409191
2008-09-30,-0.1233729708,-0.0973617725,-0.1650345547,-0.0910146820,-0.1078569764,-0.0938844899,-0.1232722103,-0.1336850389,-0.1108529747
2008-10-01,-0.0706148128,-0.0535493059,-0.1094367425,-0.0301727080,-0.0402670775,-0.0339033237,-0.0440223749,-0.0409725295,-0.0338435182
2008-10-02,-0.0751691569,-0.0574400356,-0.1094367425,-0.0305530081,-0.0231128519,-0.0239738128,-0.0206425169,-0.0133475405,-0.0158269302
2008-10-03,-0.1162941056,-0.0808243317,-0.1433770305,-0.0517270500,-0.0487019009,-0.0477415623,-0.0531045987,-0.0457398276,-0.0446206003
2008-10-06,-0.1298926714,-0.0918713818,-0.1551312038,-0.0653522652,-0.0720352884,-0.0664830413,-0.0780807471,-0.0758281513,-0.0644478305
2008-10-07,-0.1691719411,-0.1182083275,-0.1847983565,-0.0958827790,-0.1016660528,-0.0976262792,-0.1029059137,-0.1037525475,-0.0891273393
2008-10-08,-0.2282797323,-0.1686637145,-0.2296558277,-0.1492834351,-0.1742479503,-0.1641400222,-0.1731269477,-0.1888572257,-0.1601992226
2008-10-09,-0.2396771392,-0.1814783943,-0.2709304795,-0.1652050024,-0.1942613871,-0.1762435786,-0.1931398072,-0.2140961581,-0.1807756303
2008-10-10,-0.3189012025,-0.2571138851,-0.3251268418,-0.2399638013,-0.2769649352,-0.2542361445,-0.2838182919,-0.3017078019,-0.2669115783
2008-10-13,-0.3307301790,-0.2758272721,-0.3554714878,-0.2450114551,-0.2743573017,-0.2616538748,-0.2787608124,-0.2885075345,-0.2624385287
2008-10-14,-0.2211582114,-0.1647623878,-0.2671360798,-0.1498582171,-0.1723171789,-0.1553678923,-0.1686013307,-0.1842112433,-0.1616707594
2008-10-15,-0.2264945612,-0.1770458938,-0.2843334311,-0.1534680918,-0.1701139150,-0.1564330419,-0.1674251413,-0.1727471264,-0.1641403293
2008-10-16,-0.3211896861,-0.2529762315,-0.3310584589,-0.2227480461,-0.2513186345,-0.2413781800,-0.2569977862,-0.2606269326,-0.2459283564
2008-10-17,-0.2795608638,-0.2012231127,-0.2905348259,-0.1782994015,-0.2079687506,-0.1886109617,-0.2166237410,-0.2223276920,-0.2031545362
2008-10-20,-0.2857930698,-0.2195689472,-0.3076926183,-0.1940271271,-0.2278795569,-0.2036701675,-0.2406042987,-0.2475661063,-0.2248256595
2008-10-21,-0.2392101924,-0.1746242467,-0.2711272790,-0.1525013763,-0.1846896281,-0.1581477743,-0.1946963985,-0.2082009770,-0.1846081867
2008-10-22,-0.2704941850,-0.2073567096,-0.3001808971,-0.1791207802,-0.2185156837,-0.1913389875,-0.2345871207,-0.2467746009,-0.2197703749
2008-10-23,-0.3334472647,-0.2527953895,-0.3457885411,-0.2330855083,-0.2679924690,-0.2480447570,-0.2794043605,-0.2856421871,-0.2589123771
2008-10-24,-0.3208923668,-0.2301385465,-0.3490134670,-0.2166007314,-0.2515763844,-0.2226350107,-0.2613763148,-0.2741441053,-0.2459816680
2008-10-27,-0.3560131448,-0.2612781279,-0.3800911868,-0.2510895087,-0.2948382482,-0.2578944068,-0.3089693543,-0.3249203506,-0.2931421327
2008-10-28,-0.3882929341,-0.2848745761,-0.4060988183,-0.2645786584,-0.3193039907,-0.2819602405,-0.3414902593,-0.3592214785,-0.3258375927
2008-10-29,-0.2858355756,-0.1824384020,-0.3079950916,-0.1618229193,-0.2078409446,-0.1759063234,-0.2206413077,-0.2401595897,-0.2119836156
2008-10-30,-0.2969764828,-0.1934501521,-0.3107614627,-0.1845860693,-0.2328781407,-0.1947727375,-0.2452520763,-0.2659726700,-0.2391105729
2008-10-31,-0.2714998326,-0.1747854939,-0.2863763749,-0.1702248993,-0.2120375923,-0.1786792819,-0.2192591950,-0.2424811133,-0.2143934388
2008-11-03,-0.2562512867,-0.1722729295,-0.2752296960,-0.1654166787,-0.2008815489,-0.1707069306,-0.2096222700,-0.2272573970,-0.1997657958
2008-11-04,-0.2587835350,-0.1686977983,-0.2689187318,-0.1575993052,-0.1970458034,-0.1709301676,-0.2031313377,-0.2226047741,-0.1978498029
2008-11-05,-0.2187690565,-0.1379764354,-0.2544800397,-0.1229475733,-0.1551205290,-0.1337843571,-0.1531301595,-0.1761743469,-0.1539632029
2008-11-06,-0.2728843154,-0.1858567630,-0.2900368230,-0.1737577258,-0.2186531185,-0.1911534863,-0.2239377338,-0.2498912432,-0.2185213115
2008-11-07,-0.3244555237,-0.2230934609,-0.3251477575,-0.2133786664,-0.2648228539,-0.2345431721,-0.2771946500,-0.3009534615,-0.2645675226
2008-11-10,-0.2960093417,-0.1943852636,-0.3002638209,-0.1838513656,-0.2348593701,-0.2047794588,-0.2441714136,-0.2713156974,-0.2344757398
2008-11-11,-0.3087432379,-0.1973363867,-0.3145534547,-0.1872453746,-0.2415423201,-0.2126717550,-0.2476388845,-0.2773632829,-0.2386017137
2008-11-12,-0.3310304382,-0.2127065309,-0.3332145470,-0.2030377962,-0.2576885649,-0.2284263794,-0.2646284855,-0.2947587437,-0.2539562611
2008-11-13,-0.3843193041,-0.2564837865,-0.3688538083,-0.2456630463,-0.3096830085,-0.2783507728,-0.3241534224,-0.3540029976,-0.3076871738
2008-11-14,-0.3173967133,-0.1887919044,-0.3082174908,-0.1834387710,-0.2497845649,-0.2149332568,-0.2613553296,-0.2984589058,-0.2479080099
2008-11-17,-0.3599902039,-0.2279368249,-0.3470978460,-0.2231170261,-0.2879383207,-0.2536449773,-0.2969214393,-0.3344207749,-0.2863333395
2008-11-18,-0.3861395539,-0.2492881556,-0.3767704643,-0.2458791405,-0.3167827814,-0.2778540941,-0.3270977785,-0.3680185866,-0.3154727387
2008-11-19,-0.3763492635,-0.2302415480,-0.3583333623,-0.2350047166,-0.3067220026,-0.2627610511,-0.3185456456,-0.3604601043,-0.3026314713
2008-11-20,-0.4394547594,-0.2758308388,-0.4004140043,-0.2892530846,-0.3743864608,-0.3218582081,-0.3909876950,-0.4386118147,-0.3713646623
2008-11-21,-0.5089366049,-0.3276712187,-0.4488473356,-0.3406115480,-0.4391492017,-0.3859222964,-0.4574668068,-0.5049054977,-0.4335525103
2008-11-24,-0.4476086037,-0.2641407905,-0.3921506525,-0.2792254905,-0.3835658930,-0.3249587691,-0.4044964514,-0.4604421202,-0.3802482628
2008-11-25,-0.3848943729,-0.2196446929,-0.3457222092,-0.2318270672,-0.3217973278,-0.2696314575,-0.3408062878,-0.3912344412,-0.3238538744
2008-11-26,-0.3783649593,-0.2176643685,-0.3360972057,-0.2288757782,-0.3158843787,-0.2653704846,-0.3290021672,-0.3792420752,-0.3173417619
2008-11-28,-0.3436465579,-0.1901857108,-0.3171995131,-0.2023923219,-0.2796715745,-0.2339397808,-0.2837986092,-0.3341573248,-0.2798900675
