date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2020-02-19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2020-02-20,0.0046947483,0.0065019591,0.0063797537,0.0057524901,0.0062968931,0.0065032637,0.0080682682,0.0081627122,0.0062994805
2020-02-21,0.0008719309,0.0019959400,0.0061862229,0.0018890463,0.0013444500,-0.0004914258,0.0014253305,0.0013353034,-0.0003031197
2020-02-24,-0.0097018784,-0.0073492659,-0.0052580512,-0.0032711766,-0.0087227244,-0.0159532197,-0.0134828355,-0.0134535305,-0.0135387921
2020-02-25,-0.0437899578,-0.0445400699,-0.0420647393,-0.0367106831,-0.0468463011,-0.0564930679,-0.0581821288,-0.0580942772,-0.0551070958
2020-02-26,-0.0745378622,-0.0764164706,-0.0786433382,-0.0617192262,-0.0761026344,-0.0838040183,-0.0930341040,-0.0928662516,-0.0858444219
2020-02-27,-0.0783235595,-0.0794066586,-0.0860437688,-0.0683044782,-0.0808513855,-0.0834437800,-0.0971879807,-0.0973775127,-0.0902610200
2020-02-28,-0.1234916958,-0.1282227592,-0.1396620963,-0.1144070832,-0.1286897993,-0.1356250393,-0.1471656149,-0.1476593608,-0.1381206740
2020-03-02,-0.1317641590,-0.1313801174,-0.1309442101,-0.1228243897,-0.1337315848,-0.1352322253,-0.1474104589,-0.1474448037,-0.1377537210
2020-03-03,-0.0867532902,-0.0737226638,-0.0739662640,-0.0727439610,-0.0838281368,-0.0824823801,-0.0983283842,-0.0987202193,-0.0906496827
2020-03-04,-0.1152637751,-0.1046610171,-0.1079773503,-0.1022417768,-0.1174249098,-0.1181773081,-0.1360708492,-0.1365212685,-0.1268983541
2020-03-05,-0.0739274258,-0.0602511925,-0.0659177653,-0.0582601507,-0.0751600328,-0.0780326199,-0.0935527128,-0.0945626025,-0.0851087294
2020-03-06,-0.1084382082,-0.0904992813,-0.0955700799,-0.0886088708,-0.1072814309,-0.1107064726,-0.1285577018,-0.1299536559,-0.1173543453
2020-03-09,-0.1256391518,-0.1034042089,-0.1064575042,-0.1019143948,-0.1229984976,-0.1274527132,-0.1470268849,-0.1482357752,-0.1312926676
2020-03-10,-0.2046495648,-0.1668123055,-0.1734173967,-0.1656499913,-0.1936097961,-0.1977930588,-0.2278776505,-0.2298018406,-0.1998772010
2020-03-11,-0.1564345124,-0.1183224766,-0.1197694761,-0.1207362278,-0.1436201634,-0.1440464230,-0.1722201243,-0.1743159126,-0.1493511614
