date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2000-03-23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2000-03-24,0.0176424980,0.0278120091,0.0570703033,0.0131954521,0.0205236714,0.0290484310,0.0144537620,0.0157049637,0.0199173239
2000-03-27,0.0177145060,0.0359394519,0.0673266662,0.0119307983,0.0184513308,0.0294817776,0.0148250463,0.0133422231,0.0193324644
2000-03-28,0.0153548864,0.0453274857,0.0848986337,0.0065828563,0.0144403648,0.0225036656,0.0117851470,0.0101560291,0.0179020309
2000-03-29,0.0047135020,0.0394377592,0.0984914008,0.0060857988,0.0117433632,0.0144921779,0.0066555141,0.0075187349,0.0130174138
2000-03-30,0.0052373571,0.0489972309,0.0928011473,0.0282082312,0.0281212759,0.0265005182,0.0232838648,0.0231610838,0.0276276207
2000-03-31,-0.0085124925,0.0260121197,0.0255635175,0.0207967028,0.0149533687,0.0080617829,0.0160390046,0.0135439665,0.0175873012
2000-04-03,-0.0013737298,0.0225184848,0.0465903970,0.0094181761,0.0102528377,0.0107686817,0.0093412835,0.0065930250,0.0136499956
2000-04-04,0.0035454959,0.0321906283,0.0465903970,0.0442036395,0.0337496422,0.0153446190,0.0415219264,0.0312423423,0.0291308876
2000-04-05,-0.0039461181,0.0336904030,0.0694948663,0.0575843599,0.0450585577,0.0160261912,0.0613390147,0.0563037418,0.0387982863
2000-04-06,-0.0088822372,0.0236252061,0.0485397373,0.0377512547,0.0286804039,0.0000981700,0.0466314617,0.0400255674,0.0278501311
2000-04-07,0.0004663264,0.0362226202,0.0465535604,0.0409238444,0.0306305411,0.0057018644,0.0476379222,0.0393076295,0.0327593137
2000-04-10,0.0104144216,0.0550374213,0.1194537021,0.0427998563,0.0404044270,0.0208685077,0.0595244519,0.0570793509,0.0504676725
2000-04-11,0.0025423103,0.0373001269,0.0583560691,0.0479622000,0.0408394746,0.0151698867,0.0599853722,0.0523289629,0.0431777038
2000-04-12,-0.0000333522,0.0290961955,0.0230847026,0.0579244060,0.0457266499,0.0135244545,0.0642552127,0.0542886790,0.0408746134
2000-04-13,-0.0225562884,-0.0065253978,-0.0596423333,0.0484294973,0.0269791033,-0.0156782711,0.0475933502,0.0342967782,0.0136845287
2000-04-14,-0.0408944692,-0.0281733322,-0.0714146308,0.0332302880,0.0129023745,-0.0344496469,0.0386496394,0.0262237593,-0.0003281408
2000-04-17,-0.1009395667,-0.0977022711,-0.2194328266,-0.0197337684,-0.0501948778,-0.0976697380,-0.0341715562,-0.0511739162,-0.0762709066
2000-04-18,-0.0683914559,-0.0477912789,-0.0883992113,0.0013460733,-0.0167900752,-0.0558324923,0.0107459193,0.0015779962,-0.0279752140
2000-04-19,-0.0401311591,-0.0297040964,-0.0899050530,0.0159359888,0.0017561516,-0.0290355334,0.0225202675,0.0127463978,-0.0112199664
2000-04-20,-0.0499880675,-0.0500807555,-0.1006824787,0.0088449365,-0.0159882722,-0.0518920032,-0.0087905225,-0.0177913711,-0.0385240148
2000-04-24,-0.0450474260,-0.0608613762,-0.1395958431,0.0155230267,-0.0150001685,-0.0506276195,-0.0092634024,-0.0214462469,-0.0440714104
2000-04-25,-0.0483151664,-0.0559882817,-0.1937308587,0.0297887485,-0.0071959064,-0.0534446940,0.0011127627,-0.0149079065,-0.0400720536
2000-04-26,-0.0155808729,-0.0260708776,-0.1471266492,0.0430442249,0.0127352333,-0.0251228350,0.0162072351,0.0003435422,-0.0123159937
2000-04-27,-0.0267774121,-0.0451823307,-0.1918743330,0.0265556981,-0.0052483940,-0.0412191066,-0.0059695795,-0.0236322772,-0.0344503021
2000-04-28,-0.0240910301,-0.0339137740,-0.1371318132,0.0211374748,-0.0043982581,-0.0350931913,0.0007713498,-0.0134701813,-0.0267916567
2000-05-01,-0.0326536407,-0.0371136674,-0.1052347200,0.0059078047,-0.0137868404,-0.0452050282,-0.0061645759,-0.0164412557,-0.0295017895
2000-05-02,-0.0218204781,-0.0330903538,-0.1052347200,0.0075546452,-0.0090769449,-0.0331226304,0.0000167704,-0.0090477427,-0.0209369955
2000-05-03,-0.0368900097,-0.0450023249,-0.1019034254,0.0038578449,-0.0149407489,-0.0467050394,-0.0111599986,-0.0200266909,-0.0280255712
2000-05-04,-0.0586915108,-0.0682531058,-0.1275067721,-0.0091830854,-0.0304747151,-0.0655709848,-0.0285958086,-0.0369351741,-0.0461870620
2000-05-05,-0.0626070383,-0.0840406475,-0.1601635702,-0.0171847404,-0.0413018079,-0.0771222289,-0.0411242675,-0.0501689011,-0.0605053389
2000-05-08,-0.0463797742,-0.0626794298,-0.1252819719,-0.0035328892,-0.0228518859,-0.0548755085,-0.0188185524,-0.0303972547,-0.0435428551
2000-05-09,-0.0523024748,-0.0803048719,-0.1894848757,0.0034267182,-0.0236981408,-0.0654315463,-0.0364415870,-0.0444396188,-0.0479763404
2000-05-10,-0.0607853989,-0.0846732124,-0.1808818246,0.0006621324,-0.0282269302,-0.0720777415,-0.0376069777,-0.0457978927,-0.0507144874
2000-05-11,-0.0816004529,-0.1124490020,-0.2515806365,0.0010448119,-0.0402829140,-0.0939633400,-0.0619316728,-0.0635670431,-0.0587605460
2000-05-12,-0.0638563465,-0.0869833948,-0.2135209523,0.0143322136,-0.0235629000,-0.0713341130,-0.0371408029,-0.0429109091,-0.0434001066
2000-05-15,-0.0545590215,-0.0891300266,-0.2121958992,0.0117209980,-0.0237714223,-0.0682844942,-0.0361464161,-0.0421187563,-0.0424075008
2000-05-16,-0.0327018841,-0.0626668053,-0.1667465594,0.0321009975,-0.0007475369,-0.0475950567,-0.0105927594,-0.0183747932,-0.0186782564
2000-05-17,-0.0233267787,-0.0522575941,-0.1342860488,0.0315863306,0.0043532312,-0.0405327403,-0.0012780845,-0.0115749560,-0.0142419121
2000-05-18,-0.0358464969,-0.0717822727,-0.1711689855,0.0175810392,-0.0103590996,-0.0568043014,-0.0162317470,-0.0275034009,-0.0307669857
