date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2000-03-23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2000-03-24,0.0176424980,0.0311868372,0.0473319646,0.0132115000,0.0208947260,0.0290652994,0.0172343569,0.0183665520,0.0241185232
2000-03-27,0.0177145060,0.0364109951,0.0591959272,0.0120174363,0.0189099514,0.0296236859,0.0191432897,0.0195256879,0.0241172119
2000-03-28,0.0153548864,0.0362142823,0.0743812639,0.0082870558,0.0173511660,0.0233281108,0.0241890185,0.0251290243,0.0253286991
2000-03-29,0.0047135020,0.0327164757,0.0880726612,0.0065100731,0.0121086645,0.0148490436,0.0119498498,0.0151198206,0.0174791334
2000-03-30,0.0052373571,0.0431229451,0.0907616224,0.0260333219,0.0240145881,0.0260199077,0.0168224762,0.0209769115,0.0254522819
2000-03-31,-0.0085124925,0.0167468927,0.0304129907,0.0174671636,0.0092204841,0.0072582543,0.0006955879,0.0056797989,0.0074149276
2000-04-03,-0.0013737298,0.0174620629,0.0435068952,0.0075112149,0.0067481233,0.0101991900,0.0014648370,0.0062903937,0.0068087190
2000-04-04,0.0035454959,0.0271342065,0.0435068952,0.0422966782,0.0302449279,0.0147751273,0.0186922000,0.0256416798,0.0217676848
2000-04-05,-0.0039461181,0.0286339811,0.0664113644,0.0556773986,0.0415538433,0.0154566995,0.0362936519,0.0442911396,0.0276027012
2000-04-06,-0.0088822372,0.0185687843,0.0454562355,0.0358442934,0.0251756896,-0.0004713217,0.0220381392,0.0294244141,0.0147476633
2000-04-07,0.0004663264,0.0311661984,0.0434700585,0.0390168831,0.0271258268,0.0051323727,0.0242028168,0.0318467849,0.0196483370
2000-04-10,0.0104144216,0.0499809994,0.1163702002,0.0408928951,0.0368997126,0.0202990160,0.0469876596,0.0537468286,0.0338744835
2000-04-11,0.0025423103,0.0322437050,0.0552725673,0.0460552387,0.0373347603,0.0146003950,0.0396095273,0.0471741181,0.0295989236
2000-04-12,-0.0000333522,0.0240397736,0.0200012007,0.0560174447,0.0422219356,0.0129549627,0.0344479622,0.0436100278,0.0297344774
2000-04-13,-0.0225562884,-0.0115818197,-0.0627258352,0.0465225361,0.0234743889,-0.0162477628,0.0068043953,0.0172110996,0.0024872284
2000-04-14,-0.0408944692,-0.0332297541,-0.0744981326,0.0313233267,0.0093976602,-0.0350191386,-0.0055940427,0.0048328650,-0.0137943845
2000-04-17,-0.1009395667,-0.1027586930,-0.2225163284,-0.0216407297,-0.0536995921,-0.0982392297,-0.0884753649,-0.0785186374,-0.0800302716
2000-04-18,-0.0683914559,-0.0528477008,-0.0914827131,-0.0005608880,-0.0202947895,-0.0564019840,-0.0238179699,-0.0170099024,-0.0386297671
2000-04-19,-0.0401311591,-0.0347605183,-0.0929885548,0.0140290275,-0.0017485628,-0.0296050251,-0.0127420528,-0.0062247700,-0.0145445394
2000-04-20,-0.0499880675,-0.0551371774,-0.1037659806,0.0069379753,-0.0194929866,-0.0524614949,-0.0556204549,-0.0463558847,-0.0390204655
2000-04-24,-0.0450474260,-0.0659177981,-0.1426793450,0.0136160654,-0.0185048828,-0.0511971112,-0.0593012573,-0.0509255223,-0.0417968049
2000-04-25,-0.0483151664,-0.0610447036,-0.1968143605,0.0278817872,-0.0107006207,-0.0540141857,-0.0563612388,-0.0473492299,-0.0365620905
2000-04-26,-0.0155808729,-0.0311272995,-0.1502101510,0.0411372637,0.0092305190,-0.0256923268,-0.0365770236,-0.0284300681,-0.0096650219
2000-04-27,-0.0267774121,-0.0502387526,-0.1949578348,0.0246487368,-0.0087531084,-0.0417885983,-0.0603838983,-0.0511905788,-0.0276490219
2000-04-28,-0.0240910301,-0.0389701959,-0.1402153151,0.0192305136,-0.0079029724,-0.0356626830,-0.0459481896,-0.0379126596,-0.0219214511
