date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2010-04-23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2010-04-26,0.0070982677,0.0072489207,0.0162300486,0.0049060977,0.0052408937,0.0045848662,0.0030525694,0.0040113876,0.0055662591
2010-04-27,0.0027925633,0.0012232521,0.0113068387,0.0017568845,-0.0008399513,-0.0010610641,-0.0059122216,-0.0054628974,-0.0022757786
2010-04-28,-0.0208670769,-0.0130398782,-0.0167646962,-0.0129145008,-0.0184762148,-0.0182732866,-0.0261324414,-0.0256979232,-0.0204771531
2010-04-29,-0.0144251185,-0.0117720305,-0.0184451634,-0.0076447170,-0.0126020440,-0.0122022465,-0.0194764935,-0.0183949715,-0.0133571572
2010-04-30,-0.0015649382,-0.0025080014,0.0081102749,-0.0013226686,-0.0025221546,-0.0033696825,-0.0058717516,-0.0055399158,-0.0017749760
2010-05-03,-0.0183527483,-0.0157268032,-0.0203964944,-0.0113845009,-0.0153123456,-0.0165088387,-0.0201403760,-0.0207940996,-0.0152373576
2010-05-04,-0.0053174909,-0.0030068683,-0.0203964944,-0.0010235329,-0.0034070950,-0.0048947178,-0.0076172418,-0.0075667691,-0.0034794735
2010-05-05,-0.0294446908,-0.0233876127,-0.0496160959,-0.0158355681,-0.0220084045,-0.0244608936,-0.0270813851,-0.0275656009,-0.0188769817
2010-05-06,-0.0360530326,-0.0265825206,-0.0600692765,-0.0146237262,-0.0228547878,-0.0255870316,-0.0277176792,-0.0290908094,-0.0186651296
2010-05-07,-0.0689414733,-0.0597913820,-0.0988604913,-0.0443395800,-0.0567313191,-0.0596197384,-0.0643053766,-0.0661785408,-0.0524673831
2010-05-10,-0.0843681195,-0.0761217779,-0.1419694835,-0.0537862437,-0.0682648549,-0.0722584529,-0.0749770460,-0.0773847613,-0.0641261449
2010-05-11,-0.0413334153,-0.0345222197,-0.0679130139,-0.0226835780,-0.0313125492,-0.0351345626,-0.0368620428,-0.0354807677,-0.0273740324
2010-05-12,-0.0447364912,-0.0380634834,-0.0580009367,-0.0268090703,-0.0366574013,-0.0396105224,-0.0425944520,-0.0423873639,-0.0344086918
2010-05-13,-0.0310904988,-0.0191902740,-0.0365194958,-0.0149810171,-0.0248520180,-0.0275334872,-0.0321813900,-0.0334641244,-0.0258743111
2010-05-14,-0.0433099987,-0.0315064968,-0.0508540449,-0.0243672461,-0.0361866446,-0.0382025238,-0.0440882294,-0.0449871790,-0.0364389781
2010-05-17,-0.0622889801,-0.0467387054,-0.0685824752,-0.0357849548,-0.0511806161,-0.0531547666,-0.0604109797,-0.0627267662,-0.0511218374
2010-05-18,-0.0611802265,-0.0456682931,-0.0670078451,-0.0334755164,-0.0493969717,-0.0516393245,-0.0588538079,-0.0618800640,-0.0503310029
2010-05-19,-0.0754778583,-0.0600352402,-0.0743510019,-0.0426067939,-0.0621235303,-0.0634768887,-0.0726492220,-0.0784952875,-0.0640651227
2010-05-20,-0.0806213271,-0.0662706005,-0.0904092069,-0.0465983431,-0.0650982263,-0.0679178414,-0.0736276787,-0.0791409412,-0.0654271794
2010-05-21,-0.1203771230,-0.1026903095,-0.1339456785,-0.0801484742,-0.1016619580,-0.1050800870,-0.1118342481,-0.1182564187,-0.1023871629
2010-05-24,-0.1054644904,-0.0930139469,-0.1149485175,-0.0732596612,-0.0906870150,-0.0940872364,-0.0965584045,-0.1009634032,-0.0900520049
2010-05-25,-0.1184565367,-0.1025199598,-0.0967913644,-0.0818980271,-0.1021200865,-0.1052377752,-0.1107727968,-0.1153748677,-0.1017531604
2010-05-26,-0.1181026619,-0.1038314582,-0.1030519988,-0.0870307338,-0.1053240742,-0.1090414315,-0.1128650823,-0.1165375259,-0.1042757724
2010-05-27,-0.1237797406,-0.1166369928,-0.1075884280,-0.0967532830,-0.1152695942,-0.1200254203,-0.1220247960,-0.1244410006,-0.1118779647
2010-05-28,-0.0914324289,-0.0869087991,-0.0704359995,-0.0735265725,-0.0857642146,-0.0901773317,-0.0910223706,-0.0905527011,-0.0824507371
2010-06-01,-0.1038843212,-0.0935487610,-0.0565986028,-0.0801335178,-0.0945113899,-0.0989685814,-0.1014697279,-0.1012780040,-0.0911040011
2010-06-02,-0.1211986745,-0.0984361852,-0.0565986028,-0.0855590462,-0.1019888830,-0.1054424063,-0.1075256930,-0.1097564955,-0.0990028794
2010-06-03,-0.0956842464,-0.0769012267,-0.0447077880,-0.0667896548,-0.0811586453,-0.0847757267,-0.0867178772,-0.0878347809,-0.0777277904
2010-06-04,-0.0916410544,-0.0742062192,-0.0478571752,-0.0630621656,-0.0779971545,-0.0810733500,-0.0846270641,-0.0857268785,-0.0729190350
2010-06-07,-0.1266584965,-0.1051725504,-0.0754461451,-0.0903285684,-0.1076513985,-0.1109657547,-0.1124886605,-0.1150813401,-0.1030865964
2010-06-08,-0.1402829627,-0.1185506035,-0.0952537352,-0.0980641078,-0.1190783339,-0.1222570206,-0.1237524868,-0.1299425339,-0.1175882871
2010-06-09,-0.1293666951,-0.1119037686,-0.1016901208,-0.0874480943,-0.1085494500,-0.1120597225,-0.1115912714,-0.1182857345,-0.1087988405
2010-06-10,-0.1353260918,-0.1230499345,-0.1265835081,-0.0943226779,-0.1184821446,-0.1232529352,-0.1226327192,-0.1312664471,-0.1197136411
2010-06-11,-0.1062462461,-0.0984704879,-0.0969687686,-0.0741696444,-0.0952373529,-0.1005047245,-0.0979663839,-0.1047972879,-0.0965989102
2010-06-14,-0.1018761304,-0.0924650928,-0.0850640815,-0.0705490753,-0.0904341744,-0.0962144838,-0.0959579843,-0.1008153495,-0.0878589320
2010-06-15,-0.1036824243,-0.0930784309,-0.0820314219,-0.0718916091,-0.0934143399,-0.0993603803,-0.0983870243,-0.1046330182,-0.0922967919
2010-06-16,-0.0804599737,-0.0719196950,-0.0609787742,-0.0552922829,-0.0737949896,-0.0795457778,-0.0810502110,-0.0847208160,-0.0703957403
2010-06-17,-0.0810160631,-0.0697156046,-0.0322828117,-0.0557375835,-0.0726586217,-0.0782283123,-0.0780186177,-0.0808995480,-0.0690558639
2010-06-18,-0.0797338773,-0.0678711140,-0.0151432844,-0.0541904214,-0.0717700220,-0.0763031433,-0.0754568437,-0.0793640434,-0.0693220511
2010-06-21,-0.0784176131,-0.0680611254,-0.0070840591,-0.0548204941,-0.0707806865,-0.0745049281,-0.0756894429,-0.0782616979,-0.0690397347
2010-06-22,-0.0822819111,-0.0750950942,-0.0214159707,-0.0591577763,-0.0768125118,-0.0809134795,-0.0800098720,-0.0845509363,-0.0772338133
2010-06-23,-0.0984831362,-0.0806050005,-0.0078869721,-0.0657057867,-0.0843995693,-0.0885647653,-0.0865248984,-0.0919039269,-0.0844284057
2010-06-24,-0.1014730754,-0.0838265015,-0.0184593408,-0.0667297447,-0.0876022781,-0.0928646807,-0.0894589439,-0.0957877187,-0.0885339161
2010-06-25,-0.1184193586,-0.0960273701,-0.0257560247,-0.0791039150,-0.1017507924,-0.1067265701,-0.1029165051,-0.1110618206,-0.1029847322
2010-06-28,-0.1155640767,-0.1023106782,-0.0343435664,-0.0887567218,-0.1069113898,-0.1135815648,-0.1107726361,-0.1138518912,-0.1053176106
2010-06-29,-0.1176000863,-0.0976777590,-0.0283618908,-0.0831953787,-0.1046345413,-0.1117120415,-0.1060565571,-0.1124400573,-0.1049434147
2010-06-30,-0.1491083166,-0.1253122149,-0.0746259642,-0.1028626877,-0.1300937886,-0.1381462918,-0.1310867326,-0.1411865424,-0.1328290797
2010-07-01,-0.1592727706,-0.1375600927,-0.0929050069,-0.1134201755,-0.1419265946,-0.1496932602,-0.1421398020,-0.1534941903,-0.1446359984
2010-07-02,-0.1625184839,-0.1449117696,-0.0929050069,-0.1167127160,-0.1475278970,-0.1552580794,-0.1492983856,-0.1627203794,-0.1506414828
2010-07-06,-0.1671917557,-0.1477698582,-0.0991217836,-0.1179411867,-0.1501055028,-0.1580810783,-0.1526683681,-0.1668404219,-0.1538133256
2010-07-07,-0.1618470298,-0.1381098238,-0.0923016178,-0.1104751918,-0.1407062186,-0.1482374559,-0.1433266068,-0.1569904192,-0.1432423354
2010-07-08,-0.1309970068,-0.1052535297,-0.0527143637,-0.0848312809,-0.1110630046,-0.1194129838,-0.1129434209,-0.1234086106,-0.1113768753
2010-07-09,-0.1216283518,-0.0973412555,-0.0549589079,-0.0749081480,-0.1030747222,-0.1117970928,-0.1047539131,-0.1168397943,-0.1033005424
2010-07-12,-0.1144502881,-0.0925683661,-0.0490485275,-0.0727635412,-0.0973739495,-0.1068973462,-0.0989351059,-0.1090774903,-0.0966804671
2010-07-13,-0.1137176545,-0.0910122123,-0.0580633791,-0.0688239487,-0.0924477031,-0.1017811333,-0.0955622246,-0.1048499681,-0.0892850480
2010-07-14,-0.0984558317,-0.0797516719,-0.0796326738,-0.0594320802,-0.0801593477,-0.0908064400,-0.0830970051,-0.0907522225,-0.0747121253
2010-07-15,-0.0986109754,-0.0789024369,-0.0759460306,-0.0566200793,-0.0772196642,-0.0880883329,-0.0826729980,-0.0895836956,-0.0705003830
2010-07-16,-0.0974155868,-0.0785120181,-0.0810231306,-0.0562080364,-0.0766637114,-0.0877139731,-0.0836906669,-0.0897638260,-0.0698309340
