date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2010-04-23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2010-04-26,0.0070982677,0.0072489207,0.0162300486,0.0049060977,0.0052408937,0.0045848662,0.0039363753,0.0062445757,0.0056761826
2010-04-27,0.0027925633,0.0012232521,0.0113068387,0.0017568845,-0.0008399513,-0.0010610641,-0.0029502196,-0.0024021607,-0.0009326490
2010-04-28,-0.0208670769,-0.0130398782,-0.0167646962,-0.0129145008,-0.0184762148,-0.0182732866,-0.0199422038,-0.0203618894,-0.0183584197
2010-04-29,-0.0144251185,-0.0117720305,-0.0184451634,-0.0076447170,-0.0126020440,-0.0122022465,-0.0141790479,-0.0127708100,-0.0129128407
2010-04-30,-0.0015649382,-0.0025080014,0.0081102749,-0.0013226686,-0.0025221546,-0.0033696825,-0.0041540956,-0.0017759975,-0.0014075064
2010-05-03,-0.0183527483,-0.0157268032,-0.0203964944,-0.0113845009,-0.0153123456,-0.0165088387,-0.0174373442,-0.0147270083,-0.0142453709
2010-05-04,-0.0053174909,-0.0049442200,-0.0004504074,-0.0009331595,-0.0032781369,-0.0049388802,-0.0062989655,-0.0037424841,-0.0022871185
2010-05-05,-0.0294446908,-0.0241142266,-0.0296700089,-0.0159584810,-0.0221519421,-0.0244612751,-0.0257465497,-0.0207315456,-0.0190283655
2010-05-06,-0.0360530326,-0.0258080837,-0.0401231895,-0.0148880669,-0.0232069780,-0.0255790162,-0.0262548920,-0.0218396828,-0.0197099489
2010-05-07,-0.0689414733,-0.0575327071,-0.0789144042,-0.0447368463,-0.0572247697,-0.0596014639,-0.0608643010,-0.0571766280,-0.0535758348
2010-05-10,-0.0843681195,-0.0747779683,-0.1220233965,-0.0543366912,-0.0689983270,-0.0721720983,-0.0712751201,-0.0669914075,-0.0663601497
2010-05-11,-0.0413334153,-0.0370666247,-0.0479669269,-0.0229523018,-0.0316043963,-0.0351311432,-0.0341506860,-0.0302708486,-0.0281640407
2010-05-12,-0.0447364912,-0.0428545330,-0.0380548497,-0.0269712578,-0.0367173443,-0.0396201241,-0.0401069554,-0.0374171013,-0.0331953087
2010-05-13,-0.0310904988,-0.0271138609,-0.0165734088,-0.0150115934,-0.0246103521,-0.0275904919,-0.0307946046,-0.0305480647,-0.0224572979
2010-05-14,-0.0433099987,-0.0364216542,-0.0309079579,-0.0245790035,-0.0361508364,-0.0381920709,-0.0403715933,-0.0400002210,-0.0333909881
2010-05-17,-0.0622889801,-0.0496027627,-0.0486363881,-0.0361386720,-0.0513040918,-0.0531202623,-0.0552539004,-0.0565365406,-0.0481652281
