date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2018-09-21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2018-09-24,-0.0003686009,-0.0023677419,-0.0061087364,0.0007077404,-0.0014422354,-0.0044521329,-0.0051201884,-0.0046775364,-0.0022747255
2018-09-25,-0.0038904833,-0.0042179712,-0.0037603206,-0.0040911645,-0.0042380780,-0.0033917776,-0.0046278650,-0.0045754279,-0.0044335088
2018-09-26,-0.0051964317,-0.0038491058,-0.0005310202,-0.0069163363,-0.0060635230,-0.0018873038,-0.0049479688,-0.0050024131,-0.0060226236
2018-09-27,-0.0084911314,-0.0089591785,-0.0066988300,-0.0113061109,-0.0108783815,-0.0061965406,-0.0099442905,-0.0101230773,-0.0117010591
2018-09-28,-0.0057316552,-0.0041631186,0.0023565876,-0.0085029516,-0.0071634887,0.0006642693,-0.0042636868,-0.0051455335,-0.0077097715
2018-10-01,-0.0057385253,-0.0075682313,-0.0008035956,-0.0100432018,-0.0094075072,-0.0024016846,-0.0057500475,-0.0072181808,-0.0102614492
2018-10-02,-0.0021040330,-0.0020559094,-0.0008035956,-0.0055089085,-0.0055002199,0.0017437519,-0.0038467746,-0.0055533258,-0.0076368071
2018-10-03,-0.0025008019,-0.0037443528,-0.0037474033,-0.0024918212,-0.0038919386,0.0015654762,-0.0021268855,-0.0038940009,-0.0070326922
2018-10-04,-0.0017895352,-0.0015105637,-0.0028106137,-0.0022819729,-0.0015946630,0.0042245238,0.0028839440,0.0005010908,-0.0036529979
2018-10-05,-0.0099925706,-0.0111489579,-0.0169674723,-0.0075768986,-0.0080999623,-0.0064481892,-0.0061551106,-0.0085756490,-0.0090544538
2018-10-08,-0.0155358852,-0.0179075440,-0.0242410191,-0.0121754236,-0.0136882742,-0.0134443631,-0.0139963846,-0.0168616295,-0.0155187584
2018-10-09,-0.0159310799,-0.0195939968,-0.0271906621,-0.0102647578,-0.0130167298,-0.0153110652,-0.0148827063,-0.0176216052,-0.0147145676
