date,cum_log_return_benchmark,cum_log_return_markowitz,cum_log_return_markowitz_unconstrained,cum_log_return_hrp,cum_log_return_equal_weight,cum_log_return_market_cap,cum_log_return_xgboost,cum_log_return_rf,cum_log_return_lstm
2025-02-19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-02-20,0.0023741489,0.0011579751,-0.0010561091,0.0021473757,0.0023935522,0.0025982969,0.0029611374,0.0045861829,0.0007559401
2025-02-21,-0.0019694560,-0.0144404570,-0.0349221306,-0.0130638369,-0.0097686033,-0.0041913479,-0.0068970711,-0.0054226660,-0.0096817077
2025-02-24,-0.0191808527,-0.0285987843,-0.0589711049,-0.0296241192,-0.0296716412,-0.0256960132,-0.0327715781,-0.0346439408,-0.0277010064
2025-02-25,-0.0241623463,-0.0340477356,-0.0748495729,-0.0312018128,-0.0348331007,-0.0347459437,-0.0440306558,-0.0459084277,-0.0323608162
2025-02-26,-0.0288530614,-0.0317943675,-0.0653098597,-0.0252266244,-0.0368293913,-0.0446640069,-0.0556025046,-0.0561279166,-0.0333687367
2025-02-27,-0.0287170464,-0.0305763183,-0.0605450915,-0.0283927450,-0.0369082067,-0.0432779473,-0.0472422411,-0.0485080067,-0.0301872307
2025-02-28,-0.0447087890,-0.0438346629,-0.0792086839,-0.0362531419,-0.0505615420,-0.0679702705,-0.0763256832,-0.0756534494,-0.0428528443
2025-03-03,-0.0289790086,-0.0242883548,-0.0573239752,-0.0188304036,-0.0326361012,-0.0486765983,-0.0579822411,-0.0575478028,-0.0259749963
2025-03-04,-0.0467324113,-0.0416003948,-0.0844032561,-0.0316210517,-0.0511651214,-0.0763422363,-0.0845479147,-0.0845303997,-0.0433271833
2025-03-05,-0.0590426995,-0.0573468667,-0.1018609400,-0.0476194287,-0.0658414865,-0.0840448335,-0.0965176172,-0.0948511037,-0.0583174605
2025-03-06,-0.0479452270,-0.0469914987,-0.0901876998,-0.0367602688,-0.0543584439,-0.0702754545,-0.0798915644,-0.0796792432,-0.0461198244
2025-03-07,-0.0659249041,-0.0660988694,-0.1158971443,-0.0537154485,-0.0744511559,-0.0934848907,-0.1126950513,-0.1087677850,-0.0666605095
2025-03-10,-0.0604194690,-0.0760574844,-0.1293643956,-0.0619704061,-0.0770947978,-0.0908315716,-0.1097179757,-0.1046296177,-0.0714009627
2025-03-11,-0.0877630108,-0.1069143638,-0.1708065625,-0.0878282032,-0.1088927943,-0.1312360631,-0.1552496546,-0.1480831582,-0.0993346230
2025-03-12,-0.0953596577,-0.1111609614,-0.1704300824,-0.0964337378,-0.1148793491,-0.1340313875,-0.1543970184,-0.1464862752,-0.1058737004
2025-03-13,-0.0904846898,-0.1095622725,-0.1677522768,-0.0966508813,-0.1090078625,-0.1218251502,-0.1352775913,-0.1288874131,-0.0996246113
2025-03-14,-0.1044730566,-0.1252688713,-0.1803602084,-0.1131706983,-0.1259467222,-0.1406473347,-0.1564002297,-0.1473159931,-0.1181765451
2025-03-17,-0.0834301507,-0.1046140545,-0.1564263465,-0.0972467933,-0.1064243352,-0.1164433779,-0.1335522209,-0.1245476530,-0.0984964477
2025-03-18,-0.0770345157,-0.0971038345,-0.1481512936,-0.0874059059,-0.1006622004,-0.1177133749,-0.1336691761,-0.1226905666,-0.0926868164
2025-03-19,-0.0877451828,-0.1114394548,-0.1697716514,-0.0995429987,-0.1144409371,-0.1350958184,-0.1548677364,-0.1415023214,-0.1060556113
2025-03-20,-0.0770045746,-0.1003698070,-0.1588843623,-0.0881550854,-0.1009256473,-0.1205387542,-0.1372926430,-0.1247342058,-0.0931203694
2025-03-21,-0.0791918581,-0.1005313971,-0.1587868063,-0.0887000855,-0.1010572806,-0.1214139503,-0.1378106716,-0.1239513029,-0.0924727399
2025-03-24,-0.0783675445,-0.0967719415,-0.1550407226,-0.0870065247,-0.0974059587,-0.1145554020,-0.1321634030,-0.1182735793,-0.0903213827
2025-03-25,-0.0608754274,-0.0784882353,-0.1322703097,-0.0697122375,-0.0769272377,-0.0923147582,-0.1041496945,-0.0927058267,-0.0689330535
2025-03-26,-0.0593023319,-0.0805840291,-0.1448524522,-0.0715291475,-0.0760845390,-0.0874630954,-0.1021792218,-0.0919467941,-0.0675023643
