date,cum_log_return_xgboost,cum_log_return_random_forest,cum_log_return_lstm,cum_log_return_equal_weight,cum_log_return_hrp,cum_log_return_market_cap,cum_log_return_markowitz,cum_log_return_markowitz_unc
1998-01-02,0.009754,0.010088,0.010584,0.008515,0.007224,0.008919,0.009583,0.009344
1998-01-05,0.014570,0.016983,0.015069,0.013650,0.010760,0.014759,0.018052,0.019562
1998-01-06,0.007554,0.008874,0.006314,0.004462,0.001520,0.005011,0.008069,0.009537
1998-01-07,-0.001485,-0.000532,0.000237,0.001312,0.001006,0.003207,0.002484,0.003409
1998-01-08,-0.005477,-0.004167,-0.003736,-0.003283,-0.005138,-0.000475,-0.002802,-0.002695
1998-01-09,-0.036696,-0.037497,-0.033981,-0.033154,-0.034420,-0.030567,-0.035168,-0.035247
1998-01-12,-0.017557,-0.018728,-0.015707,-0.013436,-0.016561,-0.008447,-0.016134,-0.015493
1998-01-13,-0.007249,-0.007081,-0.004270,-0.004609,-0.009060,-0.000554,-0.005125,-0.004085
1998-01-14,-0.003459,-0.003797,-0.000127,-0.001134,-0.006354,0.001528,-0.003796,-0.003265
1998-01-15,-0.008232,-0.008398,-0.005104,-0.008401,-0.014908,-0.006488,-0.011958,-0.012669
1998-01-16,0.001142,0.001236,0.003853,0.002368,-0.003747,0.005071,-0.001051,-0.002103
1998-01-20,0.026302,0.026645,0.029674,0.028168,0.020948,0.030147,0.022777,0.021693
1998-01-21,0.013817,0.012860,0.015467,0.016733,0.010950,0.019523,0.011611,0.011213
1998-01-22,0.005175,0.004487,0.006139,0.009460,0.005041,0.012604,0.004392,0.003612
1998-01-23,0.002801,0.003168,0.002752,0.005354,0.000906,0.007382,-0.002320,-0.004461
1998-01-26,-0.000036,0.000017,-0.001190,0.004860,0.001910,0.008977,-0.001835,-0.004134
1998-01-27,0.018141,0.017665,0.016997,0.021040,0.017241,0.023486,0.015706,0.014312
1998-01-28,0.033952,0.034968,0.030750,0.032545,0.025180,0.034314,0.027003,0.025474
1998-01-29,0.042287,0.044192,0.039414,0.040012,0.032096,0.041531,0.034533,0.033299
1998-01-30,0.037398,0.038530,0.034722,0.035676,0.027781,0.037764,0.031664,0.031114
1998-02-02,0.059024,0.061110,0.053914,0.055597,0.047039,0.058599,0.054646,0.054487
1998-02-03,0.060061,0.061903,0.057399,0.057433,0.048116,0.061900,0.058221,0.057280
1998-02-04,0.061393,0.063781,0.059750,0.057427,0.046579,0.061585,0.057190,0.055509
1998-02-05,0.054335,0.056398,0.053865,0.050951,0.040920,0.055962,0.050389,0.048365
1998-02-06,0.060944,0.062264,0.061017,0.058347,0.047612,0.063648,0.058041,0.056285
1998-02-09,0.052508,0.053660,0.052746,0.052319,0.043391,0.058272,0.050789,0.048406
1998-02-10,0.062107,0.064170,0.063296,0.062899,0.053390,0.069165,0.061630,0.058778
1998-02-11,0.066640,0.068186,0.066815,0.066746,0.058399,0.073374,0.067630,0.065576
1998-02-12,0.068433,0.069736,0.072811,0.071244,0.062967,0.077411,0.070282,0.067244
1998-02-13,0.063164,0.064026,0.067934,0.066804,0.059463,0.072299,0.063537,0.059811
1998-02-17,0.062922,0.063550,0.069570,0.066836,0.058460,0.071422,0.060463,0.056731
1998-02-18,0.071291,0.071416,0.080332,0.077454,0.068745,0.083244,0.068477,0.063497
1998-02-19,0.069245,0.071178,0.078986,0.073711,0.063022,0.080084,0.066704,0.061748
1998-02-20,0.077294,0.079639,0.086078,0.081159,0.070403,0.087936,0.075522,0.070812
1998-02-23,0.089962,0.093217,0.094461,0.092223,0.078343,0.100205,0.087369,0.082047
1998-02-24,0.081237,0.083965,0.086352,0.084964,0.071550,0.093462,0.078430,0.072111
1998-02-25,0.096137,0.099971,0.101895,0.097774,0.082392,0.105456,0.094388,0.088180
1998-02-26,0.094754,0.098859,0.100836,0.098023,0.083396,0.105766,0.096063,0.089828
1998-02-27,0.091449,0.093500,0.095238,0.095848,0.083484,0.103973,0.091603,0.085627
1998-03-02,0.083682,0.085197,0.089272,0.089708,0.078274,0.095786,0.081213,0.074072
1998-03-03,0.084432,0.084836,0.091449,0.092855,0.082901,0.099246,0.083093,0.075708
1998-03-04,0.074617,0.074874,0.082455,0.082235,0.071704,0.088677,0.070922,0.063255
1998-03-05,0.055199,0.052676,0.063970,0.068406,0.061735,0.074109,0.058643,0.052766
1998-03-06,0.078209,0.074915,0.085578,0.090387,0.082664,0.095570,0.078518,0.072713
1998-03-09,0.069291,0.064727,0.079557,0.089307,0.086550,0.094161,0.070650,0.063484
1998-03-10,0.081562,0.078267,0.087890,0.099237,0.095620,0.104509,0.083355,0.076924
1998-03-11,0.088124,0.084752,0.095502,0.103956,0.099801,0.107642,0.088539,0.082482
1998-03-12,0.094498,0.092531,0.102964,0.108644,0.103519,0.109968,0.091287,0.084937
1998-03-13,0.095300,0.093919,0.104498,0.108060,0.102432,0.108112,0.091081,0.084103
1998-03-16,0.106189,0.105347,0.116120,0.119085,0.114460,0.118004,0.102261,0.095457
1998-03-17,0.104594,0.103231,0.115857,0.119030,0.114757,0.117489,0.100922,0.094496
1998-03-18,0.104165,0.101632,0.113579,0.119316,0.116190,0.121122,0.103509,0.096851
1998-03-19,0.109912,0.107295,0.119761,0.123959,0.120305,0.125244,0.110999,0.105044
1998-03-20,0.116580,0.113279,0.127873,0.135496,0.135395,0.136699,0.122231,0.116289
1998-03-23,0.109343,0.105961,0.123938,0.130839,0.128851,0.133104,0.121521,0.115172
1998-03-24,0.122706,0.118479,0.137383,0.141476,0.138489,0.142420,0.131773,0.126621
1998-03-25,0.125456,0.122928,0.138014,0.140169,0.134701,0.142892,0.134704,0.129546
1998-03-26,0.123743,0.121786,0.137017,0.138423,0.132569,0.142309,0.133277,0.128725
1998-03-27,0.116183,0.114324,0.132162,0.131716,0.124423,0.136114,0.128914,0.125794
1998-03-30,0.109199,0.105907,0.127253,0.131588,0.127265,0.139377,0.128102,0.125431
1998-03-31,0.118620,0.115993,0.135967,0.140657,0.135641,0.147615,0.136709,0.133800
1998-04-01,0.124891,0.121417,0.140570,0.148306,0.144985,0.157585,0.142292,0.138185
1998-04-02,0.136518,0.132161,0.150928,0.160238,0.157587,0.168780,0.154037,0.150289
1998-04-03,0.138920,0.135283,0.155298,0.163644,0.159904,0.170974,0.156430,0.152036
1998-04-06,0.145640,0.144894,0.156047,0.161825,0.155881,0.165248,0.167895,0.168776
1998-04-07,0.135701,0.133121,0.146588,0.152732,0.147384,0.156447,0.154418,0.155203
1998-04-08,0.124579,0.123170,0.133263,0.139709,0.133529,0.144930,0.146063,0.147332
1998-04-09,0.126594,0.125267,0.138459,0.144017,0.139115,0.149508,0.149505,0.149988
1998-04-13,0.121225,0.121236,0.134713,0.140518,0.135407,0.147682,0.146808,0.147283
1998-04-14,0.126291,0.126041,0.141523,0.143279,0.136932,0.148943,0.147787,0.147857
1998-04-15,0.129888,0.129884,0.146611,0.145802,0.138979,0.151625,0.151501,0.150176
1998-04-16,0.120250,0.121266,0.138845,0.139022,0.133524,0.145111,0.146526,0.144566
1998-04-17,0.142419,0.143663,0.160016,0.162226,0.158090,0.167116,0.172144,0.170793
1998-04-20,0.153995,0.158705,0.169922,0.171050,0.163062,0.176001,0.186335,0.185087
1998-04-21,0.165316,0.172467,0.183514,0.179280,0.169451,0.182884,0.197151,0.195744
1998-04-22,0.175929,0.183729,0.193071,0.189414,0.180015,0.192979,0.204792,0.201428
1998-04-23,0.164382,0.172147,0.185099,0.181227,0.173708,0.184541,0.193726,0.189441
1998-04-24,0.151591,0.159942,0.174180,0.168902,0.159585,0.172255,0.183509,0.180505
1998-04-27,0.130162,0.137402,0.154227,0.148821,0.141044,0.152902,0.161636,0.157905
1998-04-28,0.129963,0.137470,0.148830,0.144475,0.134878,0.149078,0.157644,0.153817
1998-04-29,0.135038,0.141851,0.153110,0.148744,0.139103,0.153949,0.162099,0.158786
1998-04-30,0.149983,0.155619,0.168223,0.164976,0.155789,0.169918,0.176273,0.173797
1998-05-01,0.152154,0.157131,0.173214,0.167097,0.159539,0.172053,0.177464,0.174181
1998-05-04,0.158031,0.162862,0.178369,0.171277,0.163398,0.173605,0.177958,0.174046
1998-05-05,0.152159,0.157344,0.172924,0.165732,0.158112,0.168142,0.170820,0.166102
1998-05-06,0.145710,0.150469,0.165302,0.156436,0.147309,0.159386,0.162529,0.158351
1998-05-07,0.135356,0.139993,0.156164,0.144921,0.134083,0.147446,0.151527,0.147815
1998-05-08,0.148859,0.155542,0.168574,0.159209,0.147918,0.162984,0.166959,0.162976
1998-05-11,0.141105,0.147735,0.161249,0.152775,0.142453,0.158417,0.159006,0.155016
1998-05-12,0.152036,0.159220,0.172869,0.162581,0.150156,0.168074,0.169360,0.165497
1998-05-13,0.155286,0.161974,0.175416,0.165500,0.152806,0.172449,0.173708,0.170363
1998-05-14,0.156240,0.163125,0.174035,0.164923,0.151808,0.173799,0.173429,0.169362
1998-05-15,0.148358,0.154533,0.163455,0.153870,0.140199,0.162651,0.166872,0.163519
1998-05-18,0.150773,0.157040,0.169698,0.158864,0.144187,0.165161,0.170921,0.167683
1998-05-19,0.155054,0.162318,0.174186,0.161859,0.145691,0.167886,0.173787,0.170750
1998-05-20,0.162542,0.168164,0.181934,0.172701,0.160100,0.176256,0.181168,0.179546
1998-05-21,0.153080,0.156564,0.174292,0.164730,0.153099,0.168403,0.171320,0.169495
1998-05-22,0.147063,0.150036,0.166411,0.157680,0.147058,0.161656,0.160904,0.158267
1998-05-26,0.132631,0.136944,0.151461,0.141731,0.130831,0.145059,0.144231,0.140892
1998-05-27,0.138475,0.142754,0.158351,0.150531,0.138762,0.155375,0.152829,0.149209
1998-05-28,0.138607,0.141187,0.159884,0.152509,0.141597,0.157977,0.154396,0.150776
1998-05-29,0.123720,0.125028,0.147724,0.140482,0.131342,0.145349,0.139846,0.135644
1998-06-01,0.121464,0.121062,0.146718,0.140597,0.133364,0.144804,0.138065,0.133745
1998-06-02,0.128653,0.128630,0.152810,0.144571,0.135343,0.147765,0.143471,0.139360
1998-06-03,0.114000,0.113248,0.138805,0.132236,0.125476,0.135234,0.130901,0.125908
1998-06-04,0.131675,0.131876,0.156725,0.150149,0.142228,0.153894,0.151062,0.146594
1998-06-05,0.153175,0.153099,0.178391,0.172001,0.164619,0.174522,0.169926,0.164948
1998-06-08,0.152050,0.152537,0.176941,0.170368,0.163167,0.172290,0.168115,0.162760
1998-06-09,0.161307,0.162501,0.187543,0.180056,0.171807,0.180972,0.177444,0.171489
1998-06-10,0.157163,0.156581,0.183173,0.176989,0.169234,0.177221,0.168622,0.162155
1998-06-11,0.144828,0.143581,0.170784,0.163811,0.154338,0.164789,0.153711,0.146945
1998-06-12,0.153207,0.152868,0.177097,0.172893,0.164965,0.174044,0.164617,0.158341
1998-06-15,0.134413,0.133826,0.156464,0.154431,0.146802,0.156796,0.146746,0.140586
