date,cum_log_return_xgboost,cum_log_return_random_forest,cum_log_return_lstm,cum_log_return_equal_weight,cum_log_return_hrp,cum_log_return_market_cap,cum_log_return_markowitz,cum_log_return_markowitz_unc
1998-01-02,0.012241,0.012386,0.011512,0.008515,0.007224,0.008919,0.009583,0.009344
1998-01-05,0.017688,0.019516,0.018023,0.013650,0.010760,0.014759,0.018052,0.019562
1998-01-06,0.008717,0.009766,0.005016,0.004462,0.001520,0.005011,0.008069,0.009537
1998-01-07,0.001688,0.002522,0.002772,0.001312,0.001006,0.003207,0.002484,0.003409
1998-01-08,-0.001034,-0.000489,0.000179,-0.003283,-0.005138,-0.000475,-0.002802,-0.002695
1998-01-09,-0.033654,-0.033988,-0.029051,-0.033154,-0.034420,-0.030567,-0.035168,-0.035247
1998-01-12,-0.013050,-0.012827,-0.008293,-0.013436,-0.016561,-0.008447,-0.016134,-0.015493
1998-01-13,-0.001763,-0.000313,0.002593,-0.004609,-0.009060,-0.000554,-0.005125,-0.004085
1998-01-14,0.000961,0.002966,0.007097,-0.001134,-0.006354,0.001528,-0.003796,-0.003265
1998-01-15,-0.002795,-0.001232,0.000371,-0.008401,-0.014908,-0.006488,-0.011958,-0.012669
1998-01-16,0.008004,0.009545,0.009736,0.002368,-0.003747,0.005071,-0.001051,-0.002103
1998-01-20,0.032339,0.034497,0.036487,0.028168,0.020948,0.030147,0.022777,0.021693
1998-01-21,0.019659,0.020277,0.023272,0.016733,0.010950,0.019523,0.011611,0.011213
1998-01-22,0.012221,0.012444,0.015188,0.009460,0.005041,0.012604,0.004392,0.003612
1998-01-23,0.010459,0.009855,0.010412,0.005354,0.000906,0.007382,-0.002320,-0.004461
1998-01-26,0.011271,0.009583,0.008877,0.004860,0.001910,0.008977,-0.001835,-0.004134
1998-01-27,0.028475,0.026428,0.023658,0.021040,0.017241,0.023486,0.015706,0.014312
1998-01-28,0.043417,0.042273,0.035887,0.032545,0.025180,0.034314,0.027003,0.025474
1998-01-29,0.052262,0.051893,0.046242,0.040012,0.032096,0.041531,0.034533,0.033299
1998-01-30,0.046304,0.046101,0.040343,0.035676,0.027781,0.037764,0.031664,0.031114
1998-02-02,0.068884,0.068727,0.057335,0.055597,0.047039,0.058599,0.054646,0.054487
1998-02-03,0.070991,0.070646,0.057349,0.057433,0.048116,0.061900,0.058221,0.057280
1998-02-04,0.073948,0.073459,0.059812,0.057427,0.046579,0.061585,0.057190,0.055509
1998-02-05,0.067852,0.066614,0.053089,0.050951,0.040920,0.055962,0.050389,0.048365
1998-02-06,0.075963,0.074437,0.061240,0.058347,0.047612,0.063648,0.058041,0.056285
1998-02-09,0.068097,0.066710,0.053440,0.052319,0.043391,0.058272,0.050789,0.048406
1998-02-10,0.080082,0.079432,0.062479,0.062899,0.053390,0.069165,0.061630,0.058778
1998-02-11,0.082026,0.081312,0.065915,0.066746,0.058399,0.073374,0.067630,0.065576
1998-02-12,0.085519,0.084404,0.070993,0.071244,0.062967,0.077411,0.070282,0.067244
1998-02-13,0.079868,0.078697,0.066985,0.066804,0.059463,0.072299,0.063537,0.059811
1998-02-17,0.078565,0.077658,0.066643,0.066836,0.058460,0.071422,0.060463,0.056731
1998-02-18,0.089108,0.088239,0.077297,0.077454,0.068745,0.083244,0.068477,0.063497
1998-02-19,0.088422,0.088015,0.076994,0.073711,0.063022,0.080084,0.066704,0.061748
1998-02-20,0.096232,0.096175,0.083844,0.081159,0.070403,0.087936,0.075522,0.070812
1998-02-23,0.109868,0.110349,0.092452,0.092223,0.078343,0.100205,0.087369,0.082047
1998-02-24,0.102957,0.102343,0.083811,0.084964,0.071550,0.093462,0.078430,0.072111
1998-02-25,0.119010,0.118903,0.099567,0.097774,0.082392,0.105456,0.094388,0.088180
1998-02-26,0.117829,0.118404,0.099207,0.098023,0.083396,0.105766,0.096063,0.089828
1998-02-27,0.112963,0.112184,0.094037,0.095848,0.083484,0.103973,0.091603,0.085627
1998-03-02,0.103722,0.102741,0.088783,0.089708,0.078274,0.095786,0.081213,0.074072
1998-03-03,0.104985,0.103259,0.089373,0.092855,0.082901,0.099246,0.083093,0.075708
1998-03-04,0.095633,0.093223,0.080530,0.082235,0.071704,0.088677,0.070922,0.063255
1998-03-05,0.070514,0.069253,0.060196,0.068406,0.061735,0.074109,0.058643,0.052766
1998-03-06,0.093378,0.091372,0.083547,0.090387,0.082664,0.095570,0.078518,0.072713
1998-03-09,0.083093,0.080117,0.078840,0.089307,0.086550,0.094161,0.070650,0.063484
1998-03-10,0.096007,0.093911,0.087186,0.099237,0.095620,0.104509,0.083355,0.076924
1998-03-11,0.101654,0.099601,0.094123,0.103956,0.099801,0.107642,0.088539,0.082482
1998-03-12,0.108893,0.106915,0.103516,0.108644,0.103519,0.109968,0.091287,0.084937
1998-03-13,0.109752,0.107767,0.104115,0.108060,0.102432,0.108112,0.091081,0.084103
1998-03-16,0.117516,0.116069,0.115661,0.119085,0.114460,0.118004,0.102261,0.095457
1998-03-17,0.115327,0.113930,0.115155,0.119030,0.114757,0.117489,0.100922,0.094496
1998-03-18,0.115691,0.114416,0.112724,0.119316,0.116190,0.121122,0.103509,0.096851
1998-03-19,0.120312,0.119981,0.118218,0.123959,0.120305,0.125244,0.110999,0.105044
1998-03-20,0.126749,0.126390,0.128102,0.135496,0.135395,0.136699,0.122231,0.116289
1998-03-23,0.123451,0.125413,0.126316,0.130839,0.128851,0.133104,0.121521,0.115172
1998-03-24,0.136399,0.138037,0.138126,0.141476,0.138489,0.142420,0.131773,0.126621
1998-03-25,0.142424,0.144422,0.137778,0.140169,0.134701,0.142892,0.134704,0.129546
1998-03-26,0.141446,0.143628,0.136676,0.138423,0.132569,0.142309,0.133277,0.128725
1998-03-27,0.134737,0.137688,0.132046,0.131716,0.124423,0.136114,0.128914,0.125794
1998-03-30,0.128729,0.131756,0.128775,0.131588,0.127265,0.139377,0.128102,0.125431
1998-03-31,0.138811,0.141274,0.137593,0.140657,0.135641,0.147615,0.136709,0.133800
1998-04-01,0.144602,0.146800,0.141459,0.148248,0.144860,0.157831,0.144505,0.137896
1998-04-02,0.156079,0.158373,0.152785,0.160342,0.157714,0.169058,0.156480,0.149519
1998-04-03,0.157709,0.159887,0.154464,0.162981,0.159658,0.171155,0.158496,0.156118
1998-04-06,0.163746,0.168657,0.165932,0.162430,0.156764,0.165432,0.159209,0.157137
1998-04-07,0.156197,0.160255,0.155441,0.154098,0.148798,0.156735,0.151800,0.144659
1998-04-08,0.146154,0.150964,0.144049,0.141328,0.135061,0.145198,0.141984,0.135999
1998-04-09,0.148711,0.153032,0.147584,0.145571,0.140399,0.149757,0.144480,0.138518
1998-04-13,0.144570,0.149272,0.144635,0.141834,0.136570,0.147815,0.140709,0.138274
1998-04-14,0.150474,0.155307,0.149124,0.144765,0.138119,0.149086,0.140874,0.134888
1998-04-15,0.154721,0.159005,0.151942,0.147061,0.139777,0.151710,0.145916,0.139538
1998-04-16,0.144131,0.147416,0.143426,0.139763,0.133862,0.145092,0.141897,0.141437
1998-04-17,0.167341,0.170128,0.167585,0.163738,0.159149,0.167131,0.170704,0.169482
1998-04-20,0.179259,0.184544,0.182273,0.172722,0.164479,0.175775,0.184506,0.192456
1998-04-21,0.191292,0.197541,0.196251,0.181161,0.170746,0.182484,0.193084,0.202749
1998-04-22,0.201098,0.207294,0.203748,0.190840,0.180960,0.192479,0.198262,0.206428
1998-04-23,0.192789,0.199303,0.196579,0.183307,0.174835,0.184077,0.187407,0.193919
1998-04-24,0.180508,0.187214,0.186601,0.171029,0.160804,0.171745,0.176968,0.188837
1998-04-27,0.159158,0.164924,0.165178,0.150974,0.142038,0.152450,0.154390,0.163158
1998-04-28,0.156651,0.164798,0.162776,0.147052,0.136590,0.148566,0.153187,0.160334
1998-04-29,0.160649,0.168556,0.166082,0.151164,0.140717,0.153443,0.158254,0.164987
1998-04-30,0.175649,0.183197,0.180286,0.167312,0.157472,0.169469,0.175144,0.180816
1998-05-01,0.176096,0.182225,0.182744,0.169244,0.160705,0.171588,0.173134,0.176440
1998-05-04,0.181819,0.188018,0.186961,0.173696,0.164932,0.173150,0.177014,0.176751
1998-05-05,0.176552,0.183032,0.181272,0.168237,0.159567,0.167717,0.169297,0.168179
1998-05-06,0.169548,0.176287,0.173981,0.159044,0.148800,0.158950,0.162020,0.158221
1998-05-07,0.160208,0.167167,0.165896,0.147809,0.135834,0.147044,0.150202,0.143224
1998-05-08,0.174105,0.182233,0.179758,0.161853,0.149551,0.162484,0.167101,0.164484
1998-05-11,0.167496,0.175971,0.173434,0.155522,0.144235,0.158096,0.156837,0.154105
1998-05-12,0.178244,0.186524,0.184337,0.164966,0.151716,0.167730,0.165731,0.163183
1998-05-13,0.183950,0.192327,0.188729,0.168460,0.154814,0.172153,0.169865,0.164591
1998-05-14,0.184144,0.193265,0.187587,0.167879,0.153626,0.173580,0.169884,0.162315
1998-05-15,0.174515,0.183276,0.178620,0.156927,0.142174,0.162536,0.161911,0.151849
1998-05-18,0.178681,0.187306,0.184591,0.161879,0.146426,0.165042,0.168988,0.162949
1998-05-19,0.181106,0.190224,0.187317,0.164136,0.147538,0.167728,0.171538,0.169629
1998-05-20,0.188821,0.196581,0.191940,0.175077,0.161849,0.176278,0.181509,0.179184
1998-05-21,0.178871,0.185450,0.180371,0.166899,0.154560,0.168497,0.172663,0.169228
1998-05-22,0.172769,0.179399,0.172743,0.160100,0.148684,0.161812,0.161914,0.152963
1998-05-26,0.158860,0.165924,0.159091,0.144198,0.132410,0.145197,0.143800,0.132430
1998-05-27,0.164121,0.171207,0.164203,0.152251,0.139988,0.155486,0.154988,0.151542
1998-05-28,0.163197,0.169257,0.163495,0.153897,0.142516,0.158157,0.156506,0.151918
1998-05-29,0.148237,0.153011,0.148621,0.141616,0.131953,0.145604,0.141259,0.136459
1998-06-01,0.145819,0.149199,0.146203,0.141850,0.133980,0.145320,0.139301,0.131528
