date,cum_return_xgboost,cum_return_random_forest,cum_return_lstm,cum_return_equal_weight,cum_return_hrp,cum_return_market_cap,cum_return_markowitz,cum_return_markowitz_unc
1998-01-02,0.009802,0.010139,0.010640,0.008551,0.007250,0.008959,0.009629,0.009387
1998-01-05,0.014677,0.017128,0.015184,0.013743,0.010818,0.014869,0.018216,0.019755
1998-01-06,0.007583,0.008914,0.006336,0.004472,0.001521,0.005024,0.008102,0.009583
1998-01-07,-0.001484,-0.000532,0.000238,0.001313,0.001007,0.003212,0.002487,0.003415
1998-01-08,-0.005462,-0.004159,-0.003729,-0.003278,-0.005125,-0.000475,-0.002798,-0.002691
1998-01-09,-0.036031,-0.036803,-0.033409,-0.032611,-0.033834,-0.030104,-0.034557,-0.034633
1998-01-12,-0.017404,-0.018554,-0.015583,-0.013346,-0.016424,-0.008411,-0.016004,-0.015373
1998-01-13,-0.007223,-0.007056,-0.004261,-0.004599,-0.009019,-0.000553,-0.005112,-0.004076
1998-01-14,-0.003453,-0.003790,-0.000127,-0.001133,-0.006334,0.001529,-0.003789,-0.003259
1998-01-15,-0.008198,-0.008363,-0.005091,-0.008366,-0.014797,-0.006467,-0.011887,-0.012589
1998-01-16,0.001142,0.001236,0.003861,0.002371,-0.003740,0.005084,-0.001050,-0.002101
1998-01-20,0.026651,0.027003,0.030119,0.028568,0.021169,0.030606,0.023038,0.021930
1998-01-21,0.013912,0.012943,0.015587,0.016874,0.011010,0.019715,0.011678,0.011276
1998-01-22,0.005188,0.004497,0.006158,0.009504,0.005054,0.012684,0.004401,0.003619
1998-01-23,0.002805,0.003173,0.002757,0.005368,0.000906,0.007409,-0.002318,-0.004451
1998-01-26,-0.000036,0.000017,-0.001187,0.004871,0.001912,0.009018,-0.001833,-0.004125
1998-01-27,0.018306,0.017821,0.017144,0.021263,0.017390,0.023764,0.015830,0.014415
1998-01-28,0.034535,0.035586,0.031229,0.033081,0.025500,0.034909,0.027371,0.025801
1998-01-29,0.043194,0.045183,0.040203,0.040823,0.032616,0.042405,0.035136,0.033859
1998-01-30,0.038106,0.039282,0.035333,0.036320,0.028171,0.038486,0.032171,0.031603
1998-02-02,0.060801,0.063016,0.055395,0.057171,0.048163,0.060350,0.056167,0.055999
1998-02-03,0.061901,0.063859,0.059081,0.059114,0.049292,0.063856,0.059949,0.058953
1998-02-04,0.063317,0.065859,0.061575,0.059107,0.047681,0.063521,0.058857,0.057078
1998-02-05,0.055838,0.058019,0.055347,0.052271,0.041769,0.057557,0.051680,0.049554
1998-02-06,0.062840,0.064243,0.062920,0.060083,0.048764,0.065717,0.059758,0.057899
1998-02-09,0.053912,0.055126,0.054164,0.053712,0.044347,0.060003,0.052101,0.049597
1998-02-10,0.064077,0.066274,0.065346,0.064920,0.054841,0.071613,0.063568,0.060540
1998-02-11,0.068910,0.070564,0.069100,0.069024,0.060138,0.076132,0.069969,0.067774
1998-02-12,0.070829,0.072225,0.075531,0.073843,0.064992,0.080486,0.072811,0.069556
1998-02-13,0.065202,0.066120,0.070297,0.069086,0.061266,0.074976,0.065599,0.061636
1998-02-17,0.064944,0.065613,0.072052,0.069120,0.060202,0.074034,0.062329,0.058371
1998-02-18,0.073894,0.074027,0.083653,0.080532,0.071163,0.086807,0.070876,0.065556
1998-02-19,0.071699,0.073772,0.082198,0.076496,0.065051,0.083378,0.068979,0.063694
1998-02-20,0.080360,0.082896,0.089900,0.084544,0.072941,0.091918,0.078447,0.073379
1998-02-23,0.094133,0.097699,0.099078,0.096610,0.081494,0.105397,0.091299,0.085507
1998-02-24,0.084628,0.087591,0.090202,0.088678,0.074171,0.097969,0.081588,0.074775
1998-02-25,0.100910,0.105139,0.107279,0.102714,0.085882,0.111217,0.098987,0.092185
1998-02-26,0.099389,0.103911,0.106105,0.102988,0.086972,0.111562,0.100828,0.093986
1998-02-27,0.095761,0.098010,0.099928,0.100591,0.087068,0.109571,0.095930,0.089400
1998-03-02,0.087283,0.088932,0.093385,0.093855,0.081419,0.100524,0.084602,0.076885
1998-03-03,0.088099,0.088538,0.095768,0.097303,0.086434,0.104337,0.086643,0.078648
1998-03-04,0.077472,0.077748,0.085958,0.085711,0.074338,0.092728,0.073498,0.065299
1998-03-05,0.056751,0.054088,0.066066,0.070800,0.063680,0.076924,0.060397,0.054182
1998-03-06,0.081348,0.077793,0.089351,0.094598,0.086176,0.100286,0.081683,0.075422
1998-03-09,0.071748,0.066868,0.082812,0.093416,0.090406,0.098737,0.073205,0.065543
1998-03-10,0.084981,0.081411,0.091871,0.104328,0.100341,0.110165,0.086928,0.079960
