date,cum_return_xgboost,cum_return_random_forest,cum_return_lstm,cum_return_equal_weight,cum_return_hrp,cum_return_market_cap,cum_return_markowitz,cum_return_markowitz_unc
1998-01-02,0.012317,0.012463,0.011578,0.008551,0.007250,0.008959,0.009629,0.009387
1998-01-05,0.017846,0.019707,0.018186,0.013743,0.010818,0.014869,0.018216,0.019755
1998-01-06,0.008755,0.009814,0.005028,0.004472,0.001521,0.005024,0.008102,0.009583
1998-01-07,0.001689,0.002525,0.002775,0.001313,0.001007,0.003212,0.002487,0.003415
1998-01-08,-0.001034,-0.000489,0.000178,-0.003278,-0.005125,-0.000475,-0.002798,-0.002691
1998-01-09,-0.033094,-0.033417,-0.028633,-0.032611,-0.033834,-0.030104,-0.034557,-0.034633
1998-01-12,-0.012966,-0.012746,-0.008259,-0.013346,-0.016424,-0.008411,-0.016004,-0.015373
1998-01-13,-0.001762,-0.000313,0.002596,-0.004599,-0.009019,-0.000553,-0.005112,-0.004076
1998-01-14,0.000961,0.002971,0.007123,-0.001133,-0.006334,0.001529,-0.003789,-0.003259
1998-01-15,-0.002792,-0.001232,0.000371,-0.008366,-0.014797,-0.006467,-0.011887,-0.012589
1998-01-16,0.008036,0.009591,0.009783,0.002371,-0.003740,0.005084,-0.001050,-0.002101
1998-01-20,0.032868,0.035099,0.037161,0.028568,0.021169,0.030606,0.023038,0.021930
1998-01-21,0.019854,0.020484,0.023545,0.016874,0.011010,0.019715,0.011678,0.011276
1998-01-22,0.012296,0.012522,0.015305,0.009504,0.005054,0.012684,0.004401,0.003619
1998-01-23,0.010514,0.009904,0.010467,0.005368,0.000906,0.007409,-0.002318,-0.004451
1998-01-26,0.011335,0.009629,0.008917,0.004871,0.001912,0.009018,-0.001833,-0.004125
1998-01-27,0.028884,0.026780,0.023941,0.021263,0.017390,0.023764,0.015830,0.014415
1998-01-28,0.044373,0.043179,0.036539,0.033081,0.025500,0.034909,0.027371,0.025801
1998-01-29,0.053652,0.053263,0.047329,0.040823,0.032616,0.042405,0.035136,0.033859
1998-01-30,0.047392,0.047180,0.041168,0.036320,0.028171,0.038486,0.032171,0.031603
1998-02-02,0.071312,0.071144,0.059011,0.057171,0.048163,0.060350,0.056167,0.055999
1998-02-03,0.073571,0.073201,0.059025,0.059114,0.049292,0.063856,0.059949,0.058953
1998-02-04,0.076751,0.076224,0.061637,0.059107,0.047681,0.063521,0.058857,0.057078
1998-02-05,0.070207,0.068883,0.054524,0.052271,0.041769,0.057557,0.051680,0.049554
1998-02-06,0.078923,0.077277,0.063155,0.060083,0.048764,0.065717,0.059758,0.057899
1998-02-09,0.070469,0.068985,0.054895,0.053712,0.044347,0.060003,0.052101,0.049597
1998-02-10,0.083376,0.082672,0.064473,0.064920,0.054841,0.071613,0.063568,0.060540
1998-02-11,0.085484,0.084710,0.068137,0.069024,0.060138,0.076132,0.069969,0.067774
1998-02-12,0.089283,0.088069,0.073574,0.073843,0.064992,0.080486,0.072811,0.069556
1998-02-13,0.083145,0.081876,0.069280,0.069086,0.061266,0.074976,0.065599,0.061636
1998-02-17,0.081734,0.080753,0.068914,0.069120,0.060202,0.074034,0.062329,0.058371
1998-02-18,0.093198,0.092249,0.080364,0.080532,0.071163,0.086807,0.070876,0.065556
1998-02-19,0.092450,0.092005,0.080037,0.076496,0.065051,0.083378,0.068979,0.063694
1998-02-20,0.101015,0.100952,0.087461,0.084544,0.072941,0.091918,0.078447,0.073379
1998-02-23,0.116131,0.116668,0.096862,0.096610,0.081494,0.105397,0.091299,0.085507
1998-02-24,0.108444,0.107763,0.087425,0.088678,0.074171,0.097969,0.081588,0.074775
1998-02-25,0.126381,0.126260,0.104694,0.102714,0.085882,0.111217,0.098987,0.092185
1998-02-26,0.125051,0.125699,0.104297,0.102988,0.086972,0.111562,0.100828,0.093986
1998-02-27,0.119591,0.118718,0.098602,0.100591,0.087068,0.109571,0.095930,0.089400
1998-03-02,0.109292,0.108204,0.092845,0.093855,0.081419,0.100524,0.084602,0.076885
1998-03-03,0.110694,0.108779,0.093490,0.097303,0.086434,0.104337,0.086643,0.078648
1998-03-04,0.100355,0.097706,0.083863,0.085711,0.074338,0.092728,0.073498,0.065299
1998-03-05,0.073060,0.071707,0.062047,0.070800,0.063680,0.076924,0.060397,0.054182
1998-03-06,0.097876,0.095676,0.087138,0.094598,0.086176,0.100286,0.081683,0.075422
1998-03-09,0.086643,0.083414,0.082032,0.093416,0.090406,0.098737,0.073205,0.065543
1998-03-10,0.100766,0.098462,0.091101,0.104328,0.100341,0.110165,0.086928,0.079960
1998-03-11,0.107000,0.104730,0.098696,0.109551,0.104951,0.113649,0.092577,0.085979
1998-03-12,0.115043,0.112840,0.109065,0.114766,0.109067,0.116243,0.095584,0.088649
1998-03-13,0.116001,0.113789,0.109729,0.114115,0.107862,0.114173,0.095357,0.087741
1998-03-16,0.124700,0.123074,0.122616,0.126466,0.121268,0.125248,0.107672,0.100161
1998-03-17,0.122240,0.120673,0.122048,0.126404,0.121601,0.124670,0.106190,0.099105
1998-03-18,0.122649,0.121219,0.119324,0.126726,0.123210,0.128762,0.109055,0.101696
