crisis,da_mean_crisis_xgboost,sharpe_mean_crisis_xgboost,da_mean_crisis_random_forest,sharpe_mean_crisis_random_forest,da_mean_crisis_lstm,sharpe_mean_crisis_lstm
overall,0.548739,0.493109,0.550055,0.492185,0.513910,0.473805
Dotcom Crash,0.519767,0.175568,0.512148,0.143162,0.501224,0.048892
GFC (Full),0.538462,-0.026074,0.535182,-0.049951,0.527449,0.039613
Early Credit Crunch,0.514737,-0.355087,0.506053,-0.390122,0.473421,-0.260901
Acute GFC Crash,0.564266,-0.074398,0.556094,-0.094090,0.485873,0.002199
European Debt + US Debt Ceiling,0.554691,0.457625,0.550229,0.402252,0.562243,0.446196
Monetary Policy,0.578571,0.499059,0.592857,0.484678,0.492857,0.247849
COVID-19,0.666667,0.045292,0.650000,0.013158,0.491667,0.215359
Russia/Ukraine,0.498000,0.235778,0.508000,0.236243,0.482000,0.254336
Trade Policy Shock,0.525000,0.154777,0.550000,0.082032,0.512500,-0.609846
