crisis,da_mean_crisis_xgboost,sharpe_mean_crisis_xgboost,da_mean_crisis_random_forest,sharpe_mean_crisis_random_forest,da_mean_crisis_lstm,sharpe_mean_crisis_lstm
overall,0.555404,0.510457,0.538651,0.477152,0.507801,0.467204
Dotcom Crash,0.515336,0.072111,0.504809,0.036105,0.500454,-0.027210
GFC (Full),0.551003,0.062155,0.517419,-0.000264,0.517419,0.014133
Early Credit Crunch,0.447895,-0.257995,0.432368,-0.273582,0.532895,-0.266386
Acute GFC Crash,0.496992,0.021635,0.467293,0.072554,0.535714,0.011257
European Debt + US Debt Ceiling,0.648872,0.461325,0.606015,0.230139,0.526692,0.312032
Monetary Policy,0.616667,0.452453,0.650000,0.474670,0.483333,0.135375
COVID-19,0.650000,0.032218,0.650000,0.020645,0.575000,0.067345
Russia/Ukraine,0.466667,0.181717,0.494444,0.146829,0.494444,0.260549
Trade Policy Shock,0.700000,0.480362,0.700000,0.365548,0.450000,0.126647
