crisis,da_mean_crisis_xgboost,sharpe_mean_crisis_xgboost,da_mean_crisis_random_forest,sharpe_mean_crisis_random_forest,da_mean_crisis_lstm,sharpe_mean_crisis_lstm
overall,0.602679,0.493186,0.563017,0.463446,0.510103,0.537205
Dotcom Crash,0.577068,0.000145,0.544925,-0.016611,0.523872,0.151054
GFC (Full),0.543062,-0.035276,0.514593,-0.129710,0.494498,0.043470
Early Credit Crunch,0.336316,-0.442705,0.283684,-0.514390,0.510526,-0.294670
Acute GFC Crash,0.472807,-0.217173,0.420175,-0.228330,0.552632,0.067183
European Debt + US Debt Ceiling,0.735526,0.494071,0.710526,0.356909,0.496710,0.357961
Monetary Policy,1.000000,0.660848,0.600000,0.555046,0.400000,0.260153
COVID-19,0.600000,0.131972,0.550000,0.091248,0.400000,0.147314
Russia/Ukraine,0.540000,0.222669,0.530000,0.270241,0.450000,0.205146
Trade Policy Shock,,0.201967,,0.020468,,0.077200
