date,da_xgboost,da_random_forest
1998-01-02,0.400000,0.500000
1999-01-04,0.600000,0.550000
2000-01-03,0.200000,0.300000
2001-01-02,0.500000,0.500000
2002-01-02,0.100000,0.150000
2003-01-02,0.850000,0.800000
2004-01-02,0.400000,0.600000
2005-01-03,0.450000,0.450000
2006-01-03,0.850000,0.850000
2007-01-03,0.421053,0.473684
2008-01-02,0.263158,0.368421
2009-01-02,0.684211,0.684211
2010-01-04,0.650000,0.650000
2011-01-03,0.650000,0.650000
2012-01-03,0.947368,0.947368
2013-01-02,0.950000,0.950000
2014-01-02,0.700000,0.700000
2015-01-02,0.473684,0.631579
2016-01-04,0.947368,0.631579
2017-01-03,0.850000,0.700000
2018-01-02,0.450000,0.450000
2019-01-02,0.600000,0.600000
2020-01-02,0.450000,0.500000
2021-01-04,0.600000,0.600000
2022-01-03,0.150000,0.150000
2023-01-03,0.700000,0.550000
2024-01-02,0.650000,0.650000
2025-01-02,0.750000,0.500000
