date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
1998-01-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
1998-02-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
1998-03-02,0.050000,1,100,5,0.700000,0.700000,1,200,2
1998-04-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
1998-05-01,0.050000,1,100,5,1.000000,1.000000,1,100,3
1998-06-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
1998-07-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
1998-08-03,0.050000,1,100,5,1.000000,1.000000,1,100,2
1998-09-01,0.050000,1,100,5,1.000000,1.000000,1,135,3
1998-10-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
1998-11-02,0.050000,1,100,5,1.000000,1.000000,1,135,3
1998-12-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
1999-01-04,0.050000,1,100,5,1.000000,1.000000,1,100,5
1999-02-01,0.050000,1,100,3,1.000000,1.000000,1,100,3
1999-03-01,0.050000,1,100,5,0.700000,0.700000,2,200,2
1999-04-01,0.050000,1,100,5,0.700000,0.700000,2,200,5
1999-05-03,0.050000,1,100,3,0.700000,0.700000,2,135,2
1999-06-01,0.050000,1,100,5,1.000000,1.000000,2,200,2
1999-07-01,0.050000,1,100,5,1.000000,0.700000,2,200,2
1999-08-02,0.050000,1,100,5,1.000000,1.000000,2,200,2
1999-09-01,0.050000,1,100,5,1.000000,0.700000,2,200,2
1999-10-01,0.050000,1,100,5,1.000000,1.000000,3,200,2
1999-11-01,0.050000,1,100,5,1.000000,1.000000,2,100,2
1999-12-01,0.050000,1,100,5,1.000000,0.700000,3,135,3
2000-01-03,0.050000,1,100,5,0.700000,0.700000,2,100,2
2000-02-01,0.050000,1,100,5,0.700000,1.000000,2,200,2
2000-03-01,0.050000,2,100,3,1.000000,1.000000,4,100,2
2000-04-03,0.100000,1,100,5,0.700000,0.700000,3,135,3
2000-05-01,0.050000,1,100,5,0.700000,0.700000,3,100,5
2000-06-01,0.100000,1,100,1,0.700000,0.700000,4,200,2
2000-07-03,0.050000,1,200,3,0.700000,0.700000,3,100,3
2000-08-01,0.050000,1,100,5,0.700000,0.700000,2,200,3
2000-09-01,0.050000,1,100,5,0.700000,0.700000,2,200,2
2000-10-02,0.100000,1,100,1,1.000000,1.000000,1,200,2
2000-11-01,0.100000,1,100,5,1.000000,1.000000,1,200,2
2000-12-01,0.050000,1,100,5,1.000000,0.700000,1,200,4
2001-01-02,0.050000,1,100,5,1.000000,1.000000,2,135,5
2001-02-01,0.050000,1,100,5,0.700000,0.700000,3,135,4
2001-03-01,0.200000,1,100,5,1.000000,1.000000,3,200,5
2001-04-02,0.050000,1,100,5,1.000000,1.000000,2,135,5
2001-05-01,0.050000,1,100,5,0.700000,0.700000,2,200,5
2001-06-01,0.050000,1,100,1,1.000000,1.000000,5,100,5
2001-07-02,0.050000,1,100,1,1.000000,1.000000,1,200,2
2001-08-01,0.100000,1,200,1,1.000000,1.000000,3,135,5
2001-09-04,0.050000,1,100,1,1.000000,1.000000,1,200,4
2001-10-01,0.050000,1,100,3,1.000000,1.000000,1,100,3
2001-11-01,0.050000,1,100,1,1.000000,1.000000,1,100,2
2001-12-03,0.050000,1,100,3,0.700000,0.700000,1,100,2
2002-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,2
