date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
1998-01-02,0.050000,1,100,5,0.700000,0.700000,2,135,5
1998-04-01,0.050000,1,100,3,0.700000,0.700000,2,100,5
1998-07-01,0.050000,1,100,5,0.700000,0.700000,2,100,5
1998-10-01,0.050000,1,100,5,1.000000,1.000000,2,135,5
1999-01-04,0.050000,1,100,5,1.000000,0.700000,1,200,2
1999-04-01,0.050000,1,100,3,0.700000,0.700000,2,135,2
1999-07-01,0.050000,1,100,1,0.700000,0.700000,1,200,2
1999-10-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2000-01-03,0.050000,1,100,5,1.000000,0.700000,4,100,5
2000-04-03,0.050000,1,100,3,0.700000,0.700000,3,135,2
2000-07-03,0.050000,1,100,5,0.700000,0.700000,3,100,3
2000-10-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
2001-01-02,0.050000,1,100,1,1.000000,1.000000,4,135,2
2001-04-02,0.050000,1,100,3,1.000000,1.000000,2,135,5
2001-07-02,0.100000,1,100,3,1.000000,1.000000,1,100,2
2001-10-01,0.050000,1,100,3,1.000000,1.000000,1,135,5
2002-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,2
2002-04-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2002-07-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2002-10-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2003-01-02,0.050000,1,100,1,1.000000,0.700000,1,100,5
2003-04-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2003-07-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2003-10-01,0.050000,1,100,5,1.000000,0.700000,5,200,3
2004-01-02,0.050000,1,100,1,1.000000,1.000000,1,200,2
2004-04-01,0.050000,1,100,5,0.700000,0.700000,2,100,5
2004-07-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2004-10-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2005-01-03,0.050000,1,100,1,1.000000,1.000000,2,100,2
2005-04-01,0.050000,1,100,3,0.700000,0.700000,4,200,3
2005-07-01,0.050000,3,100,1,1.000000,0.700000,5,135,4
2005-10-03,0.050000,1,100,1,1.000000,1.000000,1,135,2
2006-01-03,0.050000,1,100,5,1.000000,1.000000,1,100,2
2006-04-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2006-07-03,0.050000,1,100,5,1.000000,1.000000,3,100,2
2006-10-02,0.050000,1,100,5,1.000000,0.700000,3,100,2
2007-01-03,0.050000,1,100,3,0.700000,1.000000,5,135,5
2007-04-02,0.050000,1,100,5,0.700000,0.700000,3,200,2
2007-07-02,0.050000,1,100,5,1.000000,1.000000,2,135,5
2007-10-01,0.050000,1,100,5,1.000000,0.700000,3,200,5
2008-01-02,0.050000,1,100,5,1.000000,1.000000,2,135,4
2008-04-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2008-07-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2008-10-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
2009-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,3
2009-04-01,0.050000,1,100,3,1.000000,1.000000,1,100,5
2009-07-01,0.050000,1,100,3,1.000000,0.700000,2,135,3
2009-10-01,0.050000,1,100,5,0.700000,0.700000,2,135,5
2010-01-04,0.050000,1,100,5,1.000000,1.000000,1,200,2
2010-04-01,0.050000,4,100,3,1.000000,1.000000,5,200,3
2010-07-01,0.050000,3,100,1,1.000000,1.000000,3,135,2
2010-10-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2011-01-03,0.050000,1,100,5,1.000000,1.000000,1,135,2
2011-04-01,0.050000,1,100,3,1.000000,0.700000,1,200,2
2011-07-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2011-10-03,0.050000,1,100,1,1.000000,0.700000,5,200,4
2012-01-03,0.050000,1,100,5,0.700000,0.700000,1,100,2
2012-04-02,0.050000,1,100,5,0.700000,0.700000,1,200,4
2012-07-02,0.050000,1,100,5,1.000000,1.000000,3,100,5
2012-10-01,0.050000,1,100,3,1.000000,1.000000,4,135,3
2013-01-02,0.050000,1,200,1,0.700000,1.000000,5,135,5
2013-04-01,0.050000,1,100,1,0.700000,0.700000,1,100,2
2013-07-01,0.050000,1,100,1,1.000000,0.700000,1,100,2
2013-10-01,0.050000,1,100,3,1.000000,0.700000,1,100,2
2014-01-02,0.050000,1,100,5,1.000000,1.000000,4,100,3
2014-04-01,0.050000,2,100,5,1.000000,1.000000,1,200,2
2014-07-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2014-10-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2015-01-02,0.050000,1,100,1,1.000000,1.000000,1,100,2
2015-04-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
2015-07-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2015-10-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2016-01-04,0.200000,1,200,1,1.000000,1.000000,2,100,3
2016-04-01,0.050000,1,100,5,1.000000,1.000000,2,200,2
2016-07-01,0.050000,1,100,1,1.000000,0.700000,1,100,2
2016-10-03,0.050000,1,100,1,1.000000,0.700000,3,135,2
2017-01-03,0.050000,1,100,5,0.700000,0.700000,2,100,4
2017-04-03,0.050000,1,100,5,0.700000,0.700000,2,135,4
2017-07-03,0.050000,2,100,5,0.700000,0.700000,4,100,4
2017-10-02,0.050000,1,100,1,1.000000,1.000000,4,100,4
2018-01-02,0.050000,1,100,5,1.000000,1.000000,4,100,4
2018-04-02,0.100000,1,100,5,1.000000,1.000000,5,100,4
2018-07-02,0.050000,1,100,5,1.000000,0.700000,4,100,2
2018-10-01,0.050000,1,200,5,1.000000,1.000000,3,200,2
2019-01-02,0.050000,1,100,5,1.000000,1.000000,1,135,3
2019-04-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2019-07-01,0.050000,1,100,1,0.700000,0.700000,2,100,2
2019-10-01,0.050000,1,100,5,0.700000,0.700000,5,100,2
2020-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,2
2020-04-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2020-07-01,0.050000,1,100,3,1.000000,1.000000,1,200,2
2020-10-01,0.050000,1,100,1,0.700000,0.700000,2,100,2
2021-01-04,0.050000,1,100,5,1.000000,1.000000,3,100,5
2021-04-01,0.050000,1,100,3,1.000000,0.700000,3,200,5
2021-07-01,0.050000,1,100,1,1.000000,1.000000,3,200,5
2021-10-01,0.050000,1,100,3,1.000000,1.000000,3,200,5
2022-01-03,0.050000,1,100,3,1.000000,0.700000,3,100,5
2022-04-01,0.050000,1,100,5,0.700000,0.700000,3,200,5
2022-07-01,0.050000,1,100,3,0.700000,0.700000,2,135,2
2022-10-03,0.050000,1,100,3,1.000000,1.000000,1,200,2
2023-01-03,0.050000,1,100,3,1.000000,1.000000,1,200,3
2023-04-03,0.050000,1,100,3,1.000000,1.000000,1,200,2
2023-07-03,0.050000,1,100,3,1.000000,1.000000,1,100,2
2023-10-02,0.050000,1,100,1,1.000000,0.700000,1,100,2
2024-01-02,0.050000,1,100,5,1.000000,1.000000,1,200,2
2024-04-01,0.050000,1,100,5,1.000000,1.000000,2,200,4
2024-07-01,0.050000,1,100,3,1.000000,0.700000,2,200,5
2024-10-01,0.050000,1,100,5,0.700000,0.700000,3,100,2
2025-01-02,0.050000,1,100,5,0.700000,0.700000,2,135,5
2025-04-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2025-07-01,0.050000,1,100,3,1.000000,1.000000,1,135,4
2025-10-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
