crisis,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
ecc_sharpe,-0.200611,-0.288113,-0.158182,-0.260708,-0.292960,-0.289308,-0.294247,-0.035382
ecc_sortino,-0.257855,-0.370543,-0.206804,-0.338742,-0.380530,-0.375177,-0.380117,-0.046758
ecc_ulcer,0.274778,0.309413,0.248298,0.277526,0.274913,0.274515,0.260882,0.306688
ecc_max_dd,-0.520323,-0.555922,-0.497607,-0.523877,-0.522351,-0.504041,-0.468467,-0.525574
ecc_cum_ret,-0.138821,-0.199435,-0.112505,-0.182743,-0.203127,-0.197470,-0.183802,-0.029180
ecc_calmar,-0.109834,-0.150846,-0.092257,-0.145806,-0.163730,-0.164617,-0.164058,-0.022058
agfc_sharpe,0.147854,0.060994,0.111398,0.005773,-0.045148,-0.038514,-0.013661,0.467472
agfc_sortino,0.181022,0.074121,0.140351,0.007114,-0.056186,-0.047840,-0.017086,0.585789
agfc_ulcer,0.173517,0.195130,0.174540,0.190434,0.189940,0.186337,0.165534,0.165160
agfc_max_dd,-0.390373,-0.416465,-0.396005,-0.409194,-0.409996,-0.388156,-0.344851,-0.347961
agfc_cum_ret,0.081639,0.033956,0.062458,0.003182,-0.024665,-0.020724,-0.006768,0.312811
agfc_calmar,0.128191,0.050412,0.097011,0.004836,-0.037608,-0.033353,-0.012227,0.530335
eu_debt_sharpe,0.200259,0.184753,0.236742,0.441201,0.827528,0.525612,0.870011,1.520354
eu_debt_sortino,0.260653,0.240268,0.305500,0.566385,1.065439,0.674912,1.123202,2.187424
eu_debt_ulcer,0.086527,0.101551,0.085487,0.063763,0.043371,0.061161,0.042012,0.039703
eu_debt_max_dd,-0.199696,-0.224458,-0.201099,-0.155182,-0.123633,-0.150724,-0.122170,-0.115322
eu_debt_cum_ret,0.084640,0.084061,0.098391,0.178043,0.298634,0.211649,0.333375,0.866786
eu_debt_calmar,0.215925,0.190814,0.248483,0.572656,1.176261,0.695947,1.319837,3.322113
