crisis,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
ecc_sharpe,-0.355087,-0.390122,-0.260901,-0.329374,-0.357593,-0.286139,-0.285646,0.083479
ecc_sortino,-0.441642,-0.488780,-0.339953,-0.420168,-0.455852,-0.370368,-0.376510,0.112369
ecc_ulcer,0.363454,0.369076,0.302551,0.308860,0.308767,0.272882,0.248950,0.298756
ecc_max_dd,-0.637973,-0.627553,-0.574909,-0.562429,-0.563418,-0.502282,-0.469383,-0.545316
ecc_cum_ret,-0.289362,-0.303222,-0.202607,-0.238610,-0.256665,-0.195533,-0.180001,0.072848
ecc_calmar,-0.197263,-0.211300,-0.148354,-0.180964,-0.195641,-0.163460,-0.160137,0.051482
agfc_sharpe,-0.074398,-0.094090,0.002199,-0.077376,-0.117685,-0.039604,-0.059533,0.447826
agfc_sortino,-0.087469,-0.110971,0.002746,-0.093521,-0.142286,-0.049050,-0.076167,0.578935
agfc_ulcer,0.253017,0.248782,0.216263,0.214718,0.214217,0.186568,0.168532,0.179287
agfc_max_dd,-0.505991,-0.484036,-0.467573,-0.441075,-0.442338,-0.387854,-0.360699,-0.388612
agfc_cum_ret,-0.050072,-0.059769,0.001377,-0.044674,-0.067329,-0.021289,-0.029380,0.302485
agfc_calmar,-0.062171,-0.077724,0.001832,-0.063565,-0.095953,-0.034293,-0.050967,0.459917
eu_debt_sharpe,0.457625,0.402252,0.446196,0.400735,0.833311,0.538434,0.788653,1.472871
eu_debt_sortino,0.601049,0.536164,0.598325,0.512550,1.071805,0.691467,1.010997,2.126553
eu_debt_ulcer,0.067158,0.072903,0.065176,0.065919,0.043320,0.060672,0.043532,0.045293
eu_debt_max_dd,-0.165429,-0.173743,-0.157264,-0.165216,-0.124481,-0.150125,-0.123396,-0.127667
eu_debt_cum_ret,0.209203,0.180410,0.189270,0.166277,0.304758,0.216471,0.292311,0.892398
eu_debt_calmar,0.627078,0.518019,0.599285,0.503595,1.190763,0.713933,1.155006,3.077837
