crisis,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
ecc_sharpe,-0.442705,-0.514390,-0.294670,-0.316157,-0.350394,-0.291830,-0.296180,0.134115
ecc_sortino,-0.535901,-0.631538,-0.388007,-0.403634,-0.449713,-0.378183,-0.389389,0.175199
ecc_ulcer,0.347543,0.389684,0.294506,0.298161,0.298436,0.275056,0.259922,0.314663
ecc_max_dd,-0.577836,-0.624474,-0.528299,-0.544093,-0.544711,-0.504615,-0.468873,-0.546755
ecc_cum_ret,-0.301787,-0.361551,-0.195401,-0.224248,-0.246077,-0.199008,-0.182543,0.129283
ecc_calmar,-0.228264,-0.259343,-0.155298,-0.174872,-0.193238,-0.165802,-0.162721,0.089689
agfc_sharpe,-0.217173,-0.228330,0.067183,-0.068377,-0.117865,-0.043157,-0.021784,0.538466
agfc_sortino,-0.248323,-0.261212,0.084499,-0.082580,-0.143759,-0.053557,-0.027725,0.668102
agfc_ulcer,0.268425,0.281107,0.167336,0.211775,0.211579,0.187549,0.166567,0.178116
agfc_max_dd,-0.460158,-0.482086,-0.375822,-0.428495,-0.429270,-0.389193,-0.346298,-0.364142
agfc_cum_ret,-0.117359,-0.130242,0.035888,-0.038249,-0.065312,-0.023186,-0.010605,0.409725
agfc_calmar,-0.162414,-0.172505,0.059021,-0.055950,-0.095873,-0.037233,-0.019093,0.654171
eu_debt_sharpe,0.494071,0.356909,0.357961,0.424924,0.840702,0.531134,0.852413,1.560303
eu_debt_sortino,0.645223,0.481376,0.478627,0.543066,1.079496,0.681946,1.100757,2.291785
eu_debt_ulcer,0.066149,0.087544,0.077462,0.064952,0.043488,0.060960,0.041549,0.044088
eu_debt_max_dd,-0.156804,-0.194621,-0.184872,-0.158090,-0.124123,-0.150596,-0.119573,-0.125665
eu_debt_cum_ret,0.202046,0.151127,0.149754,0.173457,0.305961,0.213720,0.318857,0.944899
eu_debt_calmar,0.639891,0.389825,0.406772,0.548178,1.198633,0.703056,1.293418,3.285604
