label,dotcom_sharpe,dotcom_sortino,dotcom_ulcer,dotcom_max_dd,dotcom_cum_ret,dotcom_calmar,gfc_sharpe,gfc_sortino,gfc_ulcer,gfc_max_dd,gfc_cum_ret,gfc_calmar,mon_pol_sharpe,mon_pol_sortino,mon_pol_ulcer,mon_pol_max_dd,mon_pol_cum_ret,mon_pol_calmar,covid19_sharpe,covid19_sortino,covid19_ulcer,covid19_max_dd,covid19_cum_ret,covid19_calmar,russia_sharpe,russia_sortino,russia_ulcer,russia_max_dd,russia_cum_ret,russia_calmar,trade_sharpe,trade_sortino,trade_ulcer,trade_max_dd,trade_cum_ret,trade_calmar,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
=== RAW METRICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,-0.083944,-0.122225,0.277198,-0.537440,-0.114084,-0.031185,0.033344,0.042291,0.213017,-0.520323,0.045193,0.015609,0.571107,0.742972,0.061521,-0.185873,0.070803,0.674270,0.116205,0.134426,0.139145,-0.330597,0.028861,0.181566,0.391923,0.598805,0.179454,-0.344519,0.223879,0.302214,0.045573,0.063056,0.108160,-0.217578,0.005237,0.068482,,,,,,,,
random_forest,-0.136508,-0.197349,0.330596,-0.558179,-0.180046,-0.048942,-0.045635,-0.057846,0.259611,-0.555922,-0.061338,-0.020718,0.456443,0.589464,0.067584,-0.193277,0.057031,0.519796,0.087205,0.101423,0.142403,-0.334763,0.021571,0.133513,0.503357,0.791956,0.174600,-0.341879,0.301477,0.403365,0.003636,0.005039,0.111301,-0.220821,0.000418,0.005360,,,,,,,,
lstm,0.039233,0.056944,0.222954,-0.453444,0.051750,0.015581,0.059379,0.075478,0.191090,-0.497607,0.081835,0.029138,0.492115,0.641962,0.059715,-0.178565,0.059446,0.586942,0.180550,0.214762,0.132316,-0.316148,0.043461,0.288069,0.317309,0.474098,0.169357,-0.327369,0.161916,0.233221,-0.272890,-0.389042,0.097747,-0.194526,-0.027594,-0.391581,,,,,,,,
equal_weight,0.080213,0.115232,0.174447,-0.408010,0.102559,0.033618,0.059187,0.074007,0.219485,-0.523877,0.081625,0.027608,0.209470,0.271208,0.059235,-0.172566,0.022938,0.231335,0.121582,0.145192,0.123987,-0.304539,0.027198,0.185582,0.355014,0.528155,0.146883,-0.289661,0.161120,0.262336,-0.182142,-0.255548,0.087771,-0.184291,-0.017320,-0.261901,,,,,,,,
hrp,0.191960,0.271521,0.120545,-0.341926,0.237779,0.088361,0.117438,0.145223,0.211694,-0.522351,0.162984,0.053637,0.198366,0.258998,0.048084,-0.150513,0.019528,0.225523,-0.002450,-0.003001,0.122850,-0.297202,-0.000509,-0.003505,0.246969,0.356568,0.122729,-0.251763,0.091359,0.173947,-0.362640,-0.526764,0.075748,-0.159052,-0.029853,-0.517045,,,,,,,,
market_cap,-0.054789,-0.079067,0.273189,-0.487126,-0.068754,-0.020303,0.044488,0.055795,0.221162,-0.504041,0.059796,0.021199,0.150769,0.195477,0.081680,-0.202899,0.018894,0.161828,0.450956,0.537842,0.113137,-0.290239,0.105972,0.789686,0.133511,0.196327,0.183333,-0.329545,0.067987,0.099450,0.012472,0.017924,0.103796,-0.224052,0.001470,0.018607,,,,,,,,
markowitz,-0.043787,-0.062060,0.311726,-0.525206,-0.053898,-0.014663,0.161087,0.202731,0.193843,-0.468467,0.210363,0.075901,-0.147349,-0.195010,0.080635,-0.193756,-0.018210,-0.161146,0.314176,0.371713,0.113218,-0.300834,0.072789,0.514660,-0.001196,-0.001727,0.178863,-0.303096,-0.000526,-0.000851,0.110299,0.153409,0.095468,-0.206443,0.011665,0.161706,,,,,,,,
markowitz_unc,-0.272126,-0.392055,0.452536,-0.601173,-0.309411,-0.083746,0.367924,0.491380,0.217829,-0.525574,0.738028,0.202541,-0.678932,-1.014218,0.087106,-0.189544,-0.090868,-0.799933,0.721740,0.862968,0.094554,-0.269271,0.170581,1.414294,0.339587,0.523343,0.202417,-0.355059,0.207584,0.272875,-0.111720,-0.159386,0.109525,-0.231127,-0.014814,-0.179032,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
