label,dotcom_sharpe,dotcom_sortino,dotcom_ulcer,dotcom_max_dd,dotcom_cum_ret,dotcom_calmar,gfc_sharpe,gfc_sortino,gfc_ulcer,gfc_max_dd,gfc_cum_ret,gfc_calmar,mon_pol_sharpe,mon_pol_sortino,mon_pol_ulcer,mon_pol_max_dd,mon_pol_cum_ret,mon_pol_calmar,covid19_sharpe,covid19_sortino,covid19_ulcer,covid19_max_dd,covid19_cum_ret,covid19_calmar,russia_sharpe,russia_sortino,russia_ulcer,russia_max_dd,russia_cum_ret,russia_calmar,trade_sharpe,trade_sortino,trade_ulcer,trade_max_dd,trade_cum_ret,trade_calmar,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
=== RAW METRICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,0.237188,0.340241,0.113102,-0.341926,0.353202,0.126077,0.114481,0.142983,0.205806,-0.529416,0.166122,0.053879,0.319663,0.429775,0.054160,-0.168039,0.033141,0.344496,0.123820,0.150291,0.132512,-0.319148,0.028229,0.183902,0.268701,0.394126,0.133822,-0.264909,0.121842,0.218893,-0.158224,-0.221246,0.096946,-0.204845,-0.017938,-0.243899,,,,,,,,
random_forest,0.028799,0.039696,0.237302,-0.472080,0.037489,0.010906,0.068614,0.086443,0.223131,-0.533153,0.095458,0.031558,0.124326,0.163386,0.059462,-0.165955,0.012652,0.132193,0.061198,0.072790,0.145218,-0.335348,0.014002,0.086172,0.303456,0.440958,0.117897,-0.236010,0.138432,0.278076,-0.085838,-0.123598,0.088875,-0.194946,-0.009608,-0.138327,,,,,,,,
lstm,-0.036489,-0.051468,0.265390,-0.481499,-0.044165,-0.013049,-0.013931,-0.017133,0.273981,-0.563639,-0.018788,-0.006148,0.468453,0.606446,0.056651,-0.167347,0.048225,0.506063,0.055278,0.065436,0.137017,-0.326306,0.013191,0.083397,0.121664,0.176147,0.161873,-0.296020,0.051623,0.084403,-0.443778,-0.605076,0.104702,-0.213035,-0.047563,-0.604990,,,,,,,,
equal_weight,0.128469,0.183907,0.154404,-0.390455,0.173026,0.057671,0.004476,0.005503,0.255619,-0.562429,0.006299,0.002044,0.256029,0.333816,0.054558,-0.166230,0.027423,0.287570,0.069015,0.083093,0.127757,-0.308032,0.015500,0.103935,0.203612,0.293971,0.149885,-0.290814,0.089908,0.148247,-0.074859,-0.105592,0.086117,-0.186937,-0.007497,-0.112773,,,,,,,,
hrp,0.256623,0.361481,0.106480,-0.340257,0.332493,0.120105,0.069754,0.084594,0.245493,-0.563418,0.099405,0.031051,0.333052,0.433385,0.042510,-0.143085,0.032055,0.391158,-0.023492,-0.028688,0.127206,-0.304522,-0.004856,-0.032588,0.124050,0.176233,0.116900,-0.241229,0.044946,0.090325,-0.543938,-0.797617,0.077174,-0.154080,-0.044307,-0.781582,,,,,,,,
market_cap,-0.036166,-0.052152,0.260205,-0.478721,-0.045817,-0.013626,0.049820,0.062384,0.219080,-0.502282,0.067138,0.023817,0.159710,0.206820,0.081185,-0.202675,0.020033,0.171845,0.455667,0.543475,0.112684,-0.290006,0.107120,0.799346,0.153456,0.226092,0.180234,-0.324662,0.078325,0.116007,0.040673,0.058580,0.102525,-0.223204,0.004803,0.061198,,,,,,,,
markowitz,-0.066925,-0.094125,0.329397,-0.539731,-0.080305,-0.021516,0.150961,0.191553,0.187124,-0.469383,0.195741,0.070851,-0.103270,-0.136703,0.080470,-0.193339,-0.012212,-0.108534,0.228936,0.266834,0.120292,-0.314265,0.052704,0.353095,0.106210,0.151256,0.163296,-0.281266,0.044925,0.077431,-0.131717,-0.177517,0.087472,-0.183458,-0.012095,-0.184618,,,,,,,,
markowitz_unc,-0.175840,-0.249568,0.397311,-0.584186,-0.207536,-0.054667,0.442973,0.600796,0.209676,-0.545316,0.945848,0.237585,-0.799939,-1.202504,0.117311,-0.223569,-0.111053,-0.822435,0.845780,1.058132,0.094986,-0.268993,0.227836,1.943364,0.233025,0.358126,0.215739,-0.380489,0.131031,0.163544,-0.688136,-0.963269,0.113187,-0.213761,-0.070090,-0.869981,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== Z-SCORES (winsorized +-3sd) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,1.277817,1.292269,-1.160475,1.253934,1.425254,1.473863,0.024840,-0.008442,-0.754358,0.125551,-0.091450,-0.021896,0.562825,0.567944,-0.592213,0.417594,0.530669,0.549652,-0.355336,-0.348894,0.501271,-0.513938,-0.368379,-0.388030,1.071393,1.054461,-0.635353,0.522293,0.876361,1.007127,0.391636,0.392643,0.196661,-0.364889,0.297697,0.335396,,,,,,,,
random_forest,-0.086126,-0.092398,0.042150,-0.207417,-0.134958,-0.230597,-0.292746,-0.296564,-0.151617,0.014203,-0.317953,-0.309289,0.074004,0.103099,-0.369958,0.498608,0.125842,0.046018,-0.570939,-0.563272,1.317562,-1.283334,-0.552362,-0.536062,1.540181,1.476488,-1.114120,1.137952,1.301305,1.837529,0.668204,0.655844,-0.487169,0.083172,0.624057,0.642035,,,,,,,,
lstm,-0.513445,-0.512411,0.314126,-0.313170,-0.538483,-0.585116,-0.864284,-0.824367,1.617462,-0.894309,-0.684153,-0.794763,0.935163,0.876231,-0.487813,0.444495,0.828694,0.932929,-0.591322,-0.583616,0.790714,-0.853890,-0.562846,-0.540265,-0.911933,-0.909868,0.207958,-0.140500,-0.922277,-0.879939,-0.699386,-0.641936,0.853825,-0.735575,-0.862920,-0.713412,,,,,,,,
equal_weight,0.566235,0.572011,-0.760549,0.709060,0.534849,0.461489,-0.736832,-0.709017,0.978645,-0.858241,-0.603740,-0.689289,0.403585,0.400496,-0.575558,0.487919,0.417687,0.414610,-0.544026,-0.534773,0.195786,0.014017,-0.532984,-0.509157,0.193427,0.151914,-0.152459,-0.029595,0.058360,0.015880,0.710150,0.704377,-0.720845,0.445682,0.706774,0.716258,,,,,,,,
hrp,1.405021,1.390125,-1.224599,1.272676,1.322910,1.385487,-0.284848,-0.305986,0.626390,-0.887704,-0.305303,-0.315818,0.596330,0.574242,-1.080574,1.387722,0.509200,0.660346,-0.862528,-0.843979,0.160431,0.180732,-0.796229,-0.715948,-0.879754,-0.909091,-1.144084,1.026752,-1.093311,-0.796846,-1.082070,-1.160914,-1.478611,1.932831,-0.735375,-1.226332,,,,,,,,
market_cap,-0.511331,-0.515560,0.263922,-0.281975,-0.546648,-0.593652,-0.422869,-0.419164,-0.292526,0.934171,-0.408729,-0.408957,0.162551,0.178891,0.540592,-0.928983,0.271677,0.140082,0.787211,0.738715,-0.772533,0.870203,0.651812,0.544184,-0.483107,-0.459784,0.759964,-0.750699,-0.238311,-0.436495,1.151568,1.146888,0.669402,-1.195880,1.188658,1.221567,,,,,,,,
markowitz,-0.712653,-0.708940,0.933906,-0.966990,-0.717083,-0.710429,0.277424,0.239058,-1.404306,1.914598,0.003488,0.196629,-0.495542,-0.420550,0.510638,-0.566037,-0.365421,-0.525046,0.006578,-0.026518,-0.283744,-0.281987,-0.051882,-0.131753,-1.120382,-1.134168,0.250738,0.173816,-1.093858,-0.977759,0.492911,0.510510,-0.606051,0.603115,0.526609,0.507581,,,,,,,,
markowitz_unc,-1.425517,-1.425095,1.591519,-1.466118,-1.345841,-1.201046,2.299316,2.324482,-0.619691,-0.348270,2.407840,2.343383,-2.238916,-2.280354,2.054886,-1.741317,-2.318347,-2.218593,2.130362,2.162338,-1.909487,1.868198,2.212870,2.277030,0.590175,0.730049,1.827356,-1.940020,1.111731,0.230503,-1.633012,-1.607413,1.572790,-0.768455,-1.745499,-1.483093,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BORDA SCORES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borda_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.333333,23.166667,12.833333,23.333333,23.666667,21.166667,18.833333,16.666667
borda_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.732325,24.493032,9.663324,20.941706,28.173861,16.803365,18.040959,16.151428
borda_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.804584,22.315393,10.273365,20.969800,23.708566,20.497705,20.709482,19.721105
borda_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.247644,21.709128,11.174790,22.437113,21.392274,22.980916,20.836343,20.221793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== FINAL RANKINGS (1=best) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rank_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,4.000000,8.000000,3.000000,2.000000,5.000000,6.000000,7.000000
rank_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,3.000000,8.000000,4.000000,2.000000,6.000000,5.000000,7.000000
rank_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,3.000000,8.000000,4.000000,2.000000,6.000000,5.000000,7.000000
rank_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000,4.000000,8.000000,3.000000,5.000000,2.000000,6.000000,7.000000
