label,dotcom_sharpe,dotcom_sortino,dotcom_ulcer,dotcom_max_dd,dotcom_cum_ret,dotcom_calmar,gfc_sharpe,gfc_sortino,gfc_ulcer,gfc_max_dd,gfc_cum_ret,gfc_calmar,mon_pol_sharpe,mon_pol_sortino,mon_pol_ulcer,mon_pol_max_dd,mon_pol_cum_ret,mon_pol_calmar,covid19_sharpe,covid19_sortino,covid19_ulcer,covid19_max_dd,covid19_cum_ret,covid19_calmar,russia_sharpe,russia_sortino,russia_ulcer,russia_max_dd,russia_cum_ret,russia_calmar,trade_sharpe,trade_sortino,trade_ulcer,trade_max_dd,trade_cum_ret,trade_calmar,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
=== RAW METRICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equal_weight,0.124939,0.178894,0.149223,-0.383535,0.167279,0.056885,0.037785,0.046785,0.233937,-0.540589,0.053678,0.017786,0.257192,0.335234,0.054133,-0.164943,0.027217,0.287618,0.096017,0.115582,0.124922,-0.304539,0.021580,0.146822,0.241813,0.351482,0.147312,-0.291316,0.107104,0.175579,0.031574,0.044852,0.084121,-0.185190,0.003166,0.048551,,,,,,,,
hrp,0.235934,0.332078,0.110165,-0.339955,0.301197,0.110075,0.099435,0.121788,0.226732,-0.541213,0.142570,0.045622,0.293645,0.380176,0.042719,-0.142441,0.028118,0.344186,0.018443,0.022416,0.121515,-0.297202,0.003824,0.026413,0.156397,0.222731,0.115992,-0.243349,0.057100,0.113410,-0.446399,-0.654061,0.077398,-0.155594,-0.036552,-0.643128,,,,,,,,
market_cap,-0.040047,-0.057790,0.261132,-0.478733,-0.050486,-0.015045,0.041406,0.051800,0.224584,-0.507725,0.055648,0.019617,0.156524,0.203014,0.081150,-0.202273,0.019584,0.168301,0.445866,0.532088,0.113163,-0.290239,0.104601,0.778943,0.149418,0.220430,0.179770,-0.323064,0.076195,0.113468,0.009114,0.013117,0.103740,-0.224360,0.001076,0.013596,,,,,,,,
markowitz,-0.055557,-0.078199,0.327967,-0.534532,-0.067747,-0.018223,0.205899,0.262065,0.175055,-0.453714,0.273586,0.099736,-0.084368,-0.111737,0.079821,-0.192188,-0.009969,-0.089210,0.267623,0.310768,0.114818,-0.300834,0.060585,0.425726,0.034298,0.048742,0.176269,-0.299812,0.014385,0.023437,-0.406801,-0.545763,0.104969,-0.199173,-0.038170,-0.523868,,,,,,,,
markowitz_unc,-0.202412,-0.287357,0.421077,-0.591442,-0.237778,-0.062859,0.480227,0.637075,0.216260,-0.543946,1.057335,0.259464,-0.746226,-1.127218,0.115938,-0.228633,-0.106997,-0.776065,0.925443,1.194135,0.094315,-0.269271,0.236849,2.026738,0.184863,0.286085,0.227049,-0.398975,0.104000,0.124578,-0.634725,-0.857306,0.120587,-0.223097,-0.068073,-0.811118,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== Z-SCORES (winsorized +-3sd) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equal_weight,0.659435,0.668936,-0.820604,0.789303,0.682816,0.622139,-0.731739,-0.717740,0.796866,-0.599837,-0.620469,-0.698443,0.656233,0.639315,-0.727389,0.633373,0.622326,0.656507,-0.705257,-0.683566,0.940861,-0.867410,-0.686657,-0.662529,1.166082,1.114218,-0.532043,0.350943,0.927047,1.194093,1.085536,1.091861,-0.807836,0.428813,1.029406,1.101690,,,,,,,,
hrp,1.310807,1.303942,-1.126755,1.208259,1.314374,1.396794,-0.397987,-0.413802,0.488569,-0.615980,-0.410662,-0.423292,0.741112,0.711265,-1.130035,1.307146,0.638058,0.780029,-0.920088,-0.882945,0.654020,-0.342405,-0.877437,-0.811890,0.040068,-0.028060,-1.290649,1.193194,-0.384414,0.060462,-0.530733,-0.624224,-1.194577,1.461238,-0.294772,-0.663280,,,,,,,,
market_cap,-0.308792,-0.312209,0.056589,-0.125873,-0.344173,-0.425433,-0.712138,-0.697414,0.396662,0.251624,-0.615818,-0.680341,0.421837,0.427640,0.225686,-0.484415,0.488994,0.395965,0.263611,0.207778,-0.049136,0.155830,0.205364,0.121582,-0.051940,-0.048481,0.254118,-0.206503,0.116410,0.061521,1.009588,1.013940,0.320856,-0.937588,0.959728,1.012495,,,,,,,,
markowitz,-0.399812,-0.396815,0.580471,-0.662297,-0.425573,-0.471714,0.178372,0.154646,-1.722592,1.650988,-0.101437,0.111609,-0.139055,-0.076254,0.178802,-0.182418,-0.027249,-0.166339,-0.230012,-0.265857,0.090249,-0.602306,-0.267567,-0.316564,-1.569539,-1.571690,0.169322,0.201773,-1.504700,-1.580175,-0.396833,-0.358313,0.391546,-0.058955,-0.348722,-0.358962,,,,,,,,
markowitz_unc,-1.261638,-1.263853,1.310299,-1.209392,-1.227443,-1.121785,1.663492,1.674310,0.040495,-0.686795,1.748386,1.690468,-1.680127,-1.701966,1.452936,-1.273686,-1.722131,-1.666162,1.591746,1.624590,-1.635995,1.656292,1.626297,1.669400,0.415329,0.534013,1.399253,-1.539406,0.845658,0.264099,-1.167557,-1.123263,1.290011,-0.893507,-1.345640,-1.091943,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BORDA SCORES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borda_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,32.333333,32.666667,29.833333,27.833333,27.333333
borda_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,30.746771,35.118627,28.623555,28.805744,26.705303
borda_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,30.085782,32.342175,29.655902,29.044723,28.871418
borda_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,30.880494,30.973789,30.467188,28.330968,29.347560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== FINAL RANKINGS (1=best) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rank_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,3.000000,4.000000,5.000000
rank_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,4.000000,3.000000,5.000000
rank_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,3.000000,4.000000,5.000000
rank_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,3.000000,5.000000,4.000000
