label,dotcom_sharpe,dotcom_sortino,dotcom_ulcer,dotcom_max_dd,dotcom_cum_ret,dotcom_calmar,gfc_sharpe,gfc_sortino,gfc_ulcer,gfc_max_dd,gfc_cum_ret,gfc_calmar,mon_pol_sharpe,mon_pol_sortino,mon_pol_ulcer,mon_pol_max_dd,mon_pol_cum_ret,mon_pol_calmar,covid19_sharpe,covid19_sortino,covid19_ulcer,covid19_max_dd,covid19_cum_ret,covid19_calmar,russia_sharpe,russia_sortino,russia_ulcer,russia_max_dd,russia_cum_ret,russia_calmar,trade_sharpe,trade_sortino,trade_ulcer,trade_max_dd,trade_cum_ret,trade_calmar,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
=== RAW METRICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equal_weight,0.108774,0.155865,0.158285,-0.388837,0.143083,0.048440,0.020355,0.025043,0.244344,-0.544093,0.028199,0.009377,0.273263,0.356049,0.054310,-0.165468,0.029061,0.306333,0.116669,0.138771,0.124136,-0.304539,0.026052,0.177659,0.277744,0.407550,0.149695,-0.291563,0.124522,0.203129,-0.182142,-0.255548,0.087771,-0.184291,-0.017320,-0.261901,,,,,,,,
hrp,0.230455,0.324389,0.109540,-0.335194,0.292761,0.108831,0.080302,0.097873,0.236804,-0.544711,0.112463,0.036158,0.205922,0.270092,0.047480,-0.149478,0.019838,0.230714,0.008656,0.010567,0.122687,-0.297202,0.001798,0.012406,0.174482,0.250480,0.122413,-0.249997,0.064258,0.124017,-0.362640,-0.526764,0.075748,-0.159052,-0.029853,-0.517045,,,,,,,,
market_cap,-0.050822,-0.073323,0.269654,-0.484736,-0.063817,-0.018895,0.043992,0.055137,0.221761,-0.504615,0.059088,0.020930,0.153404,0.198856,0.081401,-0.202559,0.019223,0.164942,0.451376,0.538948,0.113138,-0.290239,0.106080,0.790534,0.134315,0.197639,0.182740,-0.327787,0.068362,0.100526,0.012472,0.017924,0.103796,-0.224052,0.001470,0.018607,,,,,,,,
markowitz,-0.059462,-0.083758,0.314078,-0.516201,-0.071563,-0.019968,0.166530,0.211862,0.193338,-0.468873,0.214547,0.077231,-0.229674,-0.302781,0.087903,-0.201562,-0.028205,-0.239049,0.354153,0.414673,0.113227,-0.300834,0.082361,0.585164,0.050667,0.072176,0.177221,-0.306164,0.021684,0.034534,0.110299,0.153409,0.095468,-0.206443,0.011665,0.161706,,,,,,,,
markowitz_unc,-0.174338,-0.247747,0.417550,-0.591737,-0.208424,-0.054226,0.473621,0.625964,0.221207,-0.546755,1.122076,0.269999,-0.859958,-1.288730,0.115794,-0.224879,-0.122539,-0.898207,0.615421,0.786683,0.095742,-0.269271,0.149972,1.231035,0.347552,0.532947,0.206629,-0.357712,0.206685,0.269732,-0.111720,-0.159386,0.109525,-0.231127,-0.014814,-0.179032,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== Z-SCORES (winsorized +-3sd) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equal_weight,0.616237,0.626224,-0.775968,0.729605,0.629059,0.545121,-0.736350,-0.721888,1.066402,-0.647240,-0.605424,-0.680641,0.772621,0.744104,-0.838305,0.762244,0.719566,0.786653,-0.780718,-0.769369,0.914207,-0.867410,-0.787221,-0.783189,0.688773,0.639199,-0.556378,0.374377,0.384396,0.619572,-0.414236,-0.388175,-0.502196,0.564025,-0.461238,-0.406767,,,,,,,,
hrp,1.382541,1.375856,-1.171890,1.254929,1.384271,1.469774,-0.413218,-0.426743,0.680851,-0.665199,-0.422624,-0.432175,0.629946,0.618531,-1.086507,1.284835,0.573976,0.635438,-1.218586,-1.181800,0.786237,-0.342405,-1.191730,-1.122260,-0.191562,-0.230874,-1.397580,1.406169,-0.460443,-0.244268,-1.405923,-1.425666,-1.404596,1.416353,-1.226998,-1.382472,,,,,,,,
market_cap,-0.388837,-0.393260,0.128596,-0.209519,-0.414872,-0.485844,-0.608938,-0.599932,-0.088469,0.499417,-0.538413,-0.573459,0.518679,0.514462,0.146217,-0.450043,0.564271,0.503915,0.576138,0.518001,-0.057239,0.155830,0.547494,0.474333,-0.534002,-0.523579,0.462515,-0.524827,-0.402911,-0.500773,0.655004,0.657945,0.700623,-0.778704,0.686770,0.665935,,,,,,,,
markowitz,-0.443248,-0.439679,0.489420,-0.517650,-0.453957,-0.502263,0.051587,0.035201,-1.541999,1.537588,-0.201163,-0.051105,-0.292940,-0.218371,0.382509,-0.417479,-0.184380,-0.303945,0.182013,0.118208,-0.049359,-0.602306,0.151913,0.052946,-1.247121,-1.218568,0.292350,0.011934,-1.057286,-1.221364,1.192482,1.176219,0.075536,-0.184046,1.309626,1.213164,,,,,,,,
markowitz_unc,-1.166692,-1.169141,1.329842,-1.257366,-1.144502,-1.026788,1.706919,1.713362,-0.116785,-0.724566,1.767624,1.737379,-1.628307,-1.658726,1.396085,-1.179557,-1.673433,-1.622061,1.241154,1.314961,-1.593846,1.656292,1.279544,1.378170,1.283911,1.333822,1.199093,-1.267654,1.536243,1.346833,-0.027327,-0.020323,1.130633,-1.017629,-0.308159,-0.089862,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== BORDA SCORES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borda_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,30.333333,31.333333,29.833333,29.333333,29.166667
borda_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,30.126105,34.992012,28.533141,28.985214,27.363528
borda_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,28.862124,31.616017,29.628065,29.874807,30.018987
borda_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,28.855300,29.812513,30.444914,29.818769,31.068504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== FINAL RANKINGS (1=best) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rank_equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,3.000000,4.000000,5.000000
rank_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,2.000000,1.000000,4.000000,3.000000,5.000000
rank_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,5.000000,1.000000,4.000000,3.000000,2.000000
rank_vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000000,6.000000,6.000000,5.000000,4.000000,2.000000,3.000000,1.000000
