date,log_return,cumulative_value
1998-01-02,0.008473,1.008509
1998-01-05,0.010376,1.019028
1998-01-06,-0.008443,1.010460
1998-01-07,-0.006891,1.003521
1998-01-08,-0.005906,0.997611
1998-01-09,-0.033364,0.964877
1998-01-12,0.020263,0.984628
1998-01-13,0.010881,0.995400
1998-01-14,0.002574,0.997966
1998-01-15,-0.006810,0.991192
1998-01-16,0.009740,1.000894
1998-01-20,0.026551,1.027824
1998-01-21,-0.012242,1.015319
1998-01-22,-0.007937,1.007292
1998-01-23,-0.001443,1.005840
1998-01-26,-0.001844,1.003987
1998-01-27,0.017583,1.021796
1998-01-28,0.015826,1.038095
1998-01-29,0.008114,1.046553
1998-01-30,-0.004996,1.041338
1998-02-02,0.019931,1.062301
1998-02-03,0.001489,1.063883
1998-02-04,0.000133,1.064025
1998-02-05,-0.006613,1.057012
1998-02-06,0.006352,1.063747
1998-02-09,-0.007473,1.055828
1998-02-10,0.008653,1.065004
1998-02-11,0.003804,1.069062
1998-02-12,0.002417,1.071649
1998-02-13,-0.004664,1.066663
1998-02-17,0.000350,1.067036
1998-02-18,0.008645,1.076301
1998-02-19,-0.002402,1.073718
1998-02-20,0.006469,1.080686
1998-02-23,0.008519,1.089932
1998-02-24,-0.008242,1.080986
1998-02-25,0.014371,1.096633
1998-02-26,-0.000218,1.096394
1998-02-27,-0.003107,1.092993
1998-03-02,-0.005636,1.086849
1998-03-03,0.003481,1.090640
1998-03-04,-0.009081,1.080780
1998-03-05,-0.017531,1.061998
1998-03-06,0.021295,1.084856
1998-03-09,-0.002878,1.081738
1998-03-10,0.011688,1.094456
1998-03-11,0.007232,1.102400
1998-03-12,0.010793,1.114362
1998-03-13,0.001466,1.115997
1998-03-16,0.009860,1.127055
1998-03-17,-0.000165,1.126869
1998-03-18,-0.002865,1.123645
1998-03-19,0.003308,1.127368
1998-03-20,0.010280,1.139017
1998-03-23,-0.007732,1.130243
1998-03-24,0.013140,1.145193
1998-03-25,0.001580,1.147005
1998-03-26,-0.000299,1.146661
1998-03-27,-0.008552,1.136897
1998-03-30,-0.005553,1.130602
1998-03-31,0.007971,1.139650
1998-04-01,0.007590,1.148333
1998-04-02,0.012095,1.162306
1998-04-03,0.002638,1.165376
1998-04-06,-0.000550,1.164736
1998-04-07,-0.008332,1.155071
1998-04-08,-0.012770,1.140414
1998-04-09,0.004243,1.145263
1998-04-13,-0.003737,1.140992
1998-04-14,0.002931,1.144340
1998-04-15,0.002296,1.146971
1998-04-16,-0.007298,1.138630
1998-04-17,0.023976,1.166260
1998-04-20,0.008984,1.176785
1998-04-21,0.008438,1.186757
1998-04-22,0.009680,1.198300
1998-04-23,-0.007534,1.189307
1998-04-24,-0.012278,1.174793
1998-04-27,-0.020055,1.151468
1998-04-28,-0.003922,1.146961
1998-04-29,0.004112,1.151687
1998-04-30,0.016148,1.170435
1998-05-01,-0.000255,1.170138
1998-05-04,0.002921,1.173561
