rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.073940,0.037253,0.069308,0.071371,0.093134,0.108740,0.052155,0.050909,0.125923,0.088680,0.039460,0.056483,0.049989,0.036138,0.046518
1998-02-02,0.037877,0.046067,0.050678,0.057425,0.043123,0.121723,0.051404,0.038537,0.091087,0.035921,0.041216,0.063458,0.043404,0.036172,0.041907
1998-03-02,0.080682,0.044871,0.061949,0.065598,0.055566,0.087439,0.086648,0.058814,0.071729,0.064774,0.062677,0.088641,0.070135,0.061810,0.038666
1998-04-01,0.081664,0.052361,0.062151,0.075659,0.063641,0.068351,0.054821,0.057631,0.074446,0.068294,0.076588,0.086187,0.048449,0.057191,0.072567
1998-05-01,0.060482,0.073448,0.048269,0.079193,0.068088,0.085225,0.062389,0.087580,0.049633,0.052356,0.068822,0.081531,0.053194,0.061977,0.067813
1998-06-01,0.048406,0.056169,0.056190,0.062510,0.122332,0.075000,0.061598,0.060744,0.095194,0.058628,0.043460,0.077729,0.056480,0.053204,0.072355
1998-07-01,0.053867,0.066008,0.063612,0.053837,0.096708,0.069332,0.069127,0.069043,0.065506,0.086490,0.069834,0.063172,0.066100,0.053244,0.054121
1998-08-03,0.049473,0.048854,0.091214,0.057915,0.043286,0.058846,0.075116,0.071799,0.053837,0.079502,0.068170,0.070050,0.080491,0.102194,0.049255
1998-09-01,0.056296,0.049723,0.072869,0.058744,0.094693,0.050959,0.105851,0.046766,0.057436,0.040811,0.054667,0.103235,0.071709,0.067828,0.068412
1998-10-01,0.098099,0.053850,0.062298,0.061460,0.050162,0.049936,0.049766,0.085137,0.091187,0.065119,0.056611,0.077593,0.064818,0.070718,0.063245
1998-11-02,0.062475,0.068446,0.074152,0.053806,0.049455,0.081943,0.077642,0.067089,0.064543,0.065928,0.058123,0.084665,0.076691,0.046524,0.068519
1998-12-01,0.071176,0.061981,0.093913,0.071062,0.048392,0.074320,0.079228,0.078519,0.059663,0.043273,0.061395,0.061560,0.069050,0.065143,0.061325
1999-01-04,0.068617,0.068437,0.041191,0.066752,0.056987,0.055005,0.062527,0.074732,0.056970,0.097279,0.050998,0.084980,0.050017,0.083779,0.081729
1999-02-01,0.062949,0.069371,0.065983,0.082851,0.072363,0.054882,0.047768,0.079946,0.067277,0.069798,0.098110,0.054567,0.053159,0.050801,0.070175
1999-03-01,0.031508,0.035172,0.033492,0.031295,0.081074,0.079492,0.041282,0.059570,0.048979,0.081590,0.037731,0.067892,0.067401,0.035400,0.068123
1999-04-01,0.075340,0.073913,0.046379,0.061751,0.063090,0.042430,0.030402,0.056763,0.051259,0.058655,0.057216,0.041123,0.057347,0.038858,0.045472
1999-05-03,0.084082,0.084163,0.050879,0.039093,0.101253,0.040012,0.056219,0.060223,0.072801,0.081451,0.046609,0.107435,0.058770,0.065942,0.051068
1999-06-01,0.068463,0.057163,0.051622,0.040981,0.073947,0.078448,0.044310,0.063654,0.080897,0.065212,0.080898,0.094236,0.063539,0.069214,0.067418
1999-07-01,0.057279,0.081061,0.066196,0.061249,0.064208,0.039363,0.046338,0.079757,0.073400,0.064933,0.062506,0.100727,0.074673,0.072601,0.055709
1999-08-02,0.069933,0.063640,0.057675,0.075440,0.063516,0.056871,0.092376,0.068160,0.067050,0.053942,0.062221,0.102175,0.062742,0.062185,0.042076
1999-09-01,0.089638,0.040738,0.064706,0.087937,0.053411,0.033089,0.069305,0.081312,0.073764,0.083579,0.055571,0.066806,0.058380,0.073930,0.067835
1999-10-01,0.066027,0.070801,0.066711,0.060095,0.078584,0.078480,0.070393,0.038803,0.048789,0.044325,0.091205,0.064316,0.057089,0.104871,0.059511
1999-11-01,0.077101,0.049579,0.063758,0.063858,0.072346,0.074252,0.075347,0.049112,0.068179,0.042519,0.069232,0.053627,0.113443,0.052986,0.074662
1999-12-01,0.068395,0.057013,0.055123,0.043814,0.085889,0.063506,0.103876,0.094758,0.056734,0.069353,0.075589,0.045460,0.062983,0.055878,0.061627
2000-01-03,0.089358,0.074331,0.075230,0.049205,0.086847,0.078114,0.071003,0.059573,0.061048,0.062538,0.073979,0.045732,0.056668,0.067734,0.048641
2000-02-01,0.084030,0.057307,0.078283,0.076334,0.074783,0.092884,0.037780,0.061171,0.058101,0.063999,0.078614,0.060929,0.052408,0.057343,0.066035
2000-03-01,0.070693,0.069318,0.065353,0.044136,0.074517,0.082638,0.062054,0.064293,0.072151,0.073289,0.062104,0.067469,0.072372,0.074930,0.044681
2000-04-03,0.052154,0.055373,0.059162,0.089762,0.144588,0.065207,0.045944,0.045500,0.057988,0.067228,0.075728,0.061323,0.075218,0.051858,0.052966
2000-05-01,0.085208,0.036906,0.070648,0.064874,0.054336,0.070957,0.064197,0.038557,0.044802,0.084173,0.113095,0.073404,0.055770,0.075490,0.067582
2000-06-01,0.089851,0.064099,0.075100,0.043698,0.065865,0.073943,0.084977,0.036814,0.058301,0.070737,0.087358,0.080354,0.068093,0.053129,0.047680
2000-07-03,0.081614,0.086090,0.077442,0.060274,0.093287,0.053357,0.065222,0.059710,0.072389,0.071953,0.049738,0.068675,0.040753,0.050974,0.068523
2000-08-01,0.050028,0.084004,0.057025,0.035912,0.063024,0.027412,0.071678,0.057565,0.052290,0.044738,0.055114,0.040189,0.070598,0.060036,0.030387
2000-09-01,0.054327,0.048355,0.059140,0.048490,0.094515,0.044647,0.086065,0.085565,0.050071,0.087464,0.075536,0.068786,0.056104,0.067352,0.073585
2000-10-02,0.067231,0.064712,0.071426,0.100948,0.061897,0.083002,0.049209,0.053150,0.053430,0.075390,0.061584,0.082962,0.038555,0.095814,0.040691
2000-11-01,0.053857,0.052271,0.073273,0.088760,0.064273,0.052877,0.080483,0.069596,0.077775,0.037328,0.067095,0.092326,0.069190,0.066258,0.054636
2000-12-01,0.047357,0.042021,0.039967,0.062703,0.056966,0.072761,0.079276,0.080056,0.044857,0.046077,0.042978,0.050775,0.068800,0.032816,0.032590
2001-01-02,0.048110,0.064407,0.067762,0.053055,0.062192,0.066383,0.072484,0.059518,0.066681,0.061711,0.101975,0.069400,0.081868,0.075355,0.049098
2001-02-01,0.072359,0.052080,0.060287,0.082170,0.040488,0.093988,0.045452,0.082854,0.069891,0.051028,0.066387,0.087688,0.089034,0.062759,0.043531
2001-03-01,0.084584,0.062169,0.079317,0.045104,0.061190,0.083965,0.055876,0.053211,0.083425,0.052442,0.073891,0.064822,0.072188,0.052967,0.074849
2001-04-02,0.054455,0.073413,0.065805,0.053003,0.063791,0.061470,0.066659,0.072019,0.050727,0.057165,0.085107,0.097575,0.072129,0.063854,0.062829
2001-05-01,0.071429,0.072100,0.049016,0.067558,0.072602,0.052168,0.058763,0.078076,0.060965,0.049826,0.063712,0.066792,0.100518,0.053423,0.083053
2001-06-01,0.059981,0.068294,0.087076,0.087355,0.092179,0.062721,0.063184,0.074431,0.073580,0.049245,0.050963,0.053018,0.058051,0.067093,0.052829
2001-07-02,0.082071,0.043372,0.069279,0.044317,0.076435,0.042481,0.076718,0.086281,0.061960,0.090654,0.050459,0.081408,0.064788,0.054472,0.075306
2001-08-01,0.052195,0.046029,0.085282,0.082896,0.052258,0.061459,0.045335,0.086196,0.069407,0.062414,0.066759,0.065923,0.056633,0.087291,0.079922
2001-09-04,0.103169,0.048604,0.091517,0.048756,0.060603,0.092088,0.056781,0.075215,0.046112,0.055248,0.079471,0.053531,0.081361,0.049438,0.058106
2001-10-01,0.071852,0.047832,0.083299,0.051442,0.051581,0.067490,0.053582,0.092269,0.105343,0.047329,0.093230,0.064955,0.072753,0.041663,0.055380
2001-11-01,0.045282,0.050348,0.112035,0.052419,0.075437,0.079402,0.051303,0.093361,0.063120,0.077287,0.053834,0.067541,0.063583,0.057087,0.057961
2001-12-03,0.060641,0.061625,0.094504,0.087415,0.078826,0.049838,0.057807,0.055467,0.046570,0.081266,0.076894,0.065578,0.054764,0.065073,0.063731
2002-01-02,0.035205,0.047773,0.062687,0.031255,0.042646,0.054503,0.066514,0.035964,0.040052,0.052299,0.103724,0.066741,0.047169,0.067895,0.045576
2002-02-01,0.057306,0.052000,0.036534,0.087589,0.077520,0.069866,0.045948,0.073090,0.072571,0.052773,0.119728,0.091319,0.053729,0.063805,0.046222
2002-03-01,0.057336,0.043143,0.082927,0.074814,0.080013,0.068319,0.072790,0.075248,0.094490,0.074005,0.060540,0.042837,0.051264,0.047940,0.074332
