rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,20,16.000000,64.000000,0.010000,0.046780,0.284193,0.080765,0.244154,0.028385,-58.816374,0.172932,0.500000,0.500000,1.000000,0.000000
1998-02-02,1998,1997,20,16.000000,32.000000,0.010000,0.045196,0.360250,0.129780,0.311132,-0.561267,-66.466442,-0.502256,0.400000,0.000000,0.498472,0.000000
1998-03-02,1998,1997,20,16.000000,32.000000,0.010000,0.042344,0.307362,0.094471,0.264901,-0.136498,-22.145719,-0.269173,0.450000,0.530330,0.522775,0.000000
1998-04-01,1998,1997,20,16.000000,32.000000,0.010000,0.047392,0.288317,0.083127,0.250000,-0.000021,-38.292238,,0.450000,0.000000,0.442239,0.000000
1998-05-01,1998,1997,20,16.000000,64.000000,0.010000,0.043216,0.287271,0.082525,0.248073,0.007223,-80.842926,0.156391,0.550000,0.540062,0.400656,0.000000
1998-06-01,1998,1997,20,16.000000,64.000000,0.010000,0.046224,0.297567,0.088546,0.258544,-0.065218,-12.312850,0.024060,0.500000,0.529150,0.407918,0.000000
1998-07-01,1998,1997,20,16.000000,32.000000,0.010000,0.046351,0.275710,0.076016,0.231355,0.085523,-66.577024,0.242105,0.700000,0.703526,0.489320,0.000000
1998-08-03,1998,1997,20,16.000000,64.000000,0.010000,0.044600,0.289254,0.083668,0.247128,-0.006533,-18.562397,0.160902,0.150000,0.324443,0.589433,0.000000
1998-09-01,1998,1997,20,16.000000,32.000000,0.010000,0.046035,0.272970,0.074513,0.236764,0.103605,-25.578301,0.407519,0.650000,0.635642,0.542000,0.000000
1998-10-01,1998,1997,20,16.000000,32.000000,0.010000,0.044087,0.281249,0.079101,0.236499,0.048409,-5.537808,0.207519,0.500000,,0.485978,0.000000
1998-11-02,1998,1997,20,32.000000,32.000000,0.010000,0.046582,0.307735,0.094701,0.263963,-0.139259,-18.563480,-0.123308,0.550000,0.594089,0.318724,0.000000
1998-12-01,1998,1997,20,16.000000,32.000000,0.010000,0.043495,0.288691,0.083342,0.257480,-0.002614,-40.256789,0.112782,0.550000,0.534522,0.304309,0.000000
1999-01-04,1999,1998,20,16.000000,64.000000,0.010000,0.044559,0.292190,0.085375,0.246561,-0.027067,-18.351518,-0.066165,0.350000,0.433013,0.722431,0.000000
1999-02-01,1999,1998,20,16.000000,32.000000,0.010000,0.043851,0.253475,0.064249,0.217760,0.227075,-60.193327,0.581955,0.700000,0.696311,0.501122,0.000000
1999-03-01,1999,1998,20,16.000000,32.000000,0.010000,0.045656,0.314475,0.098895,0.276721,-0.189712,-37.829680,-0.036090,0.600000,0.559017,0.488773,0.000000
