date,log_return,cumulative_value
1998-01-02,0.011512,1.011578
1998-01-05,0.006511,1.018186
1998-01-06,-0.013007,1.005028
1998-01-07,-0.002244,1.002775
1998-01-08,-0.002593,1.000178
1998-01-09,-0.029230,0.971367
1998-01-12,0.020758,0.991741
1998-01-13,0.010886,1.002596
1998-01-14,0.004504,1.007123
1998-01-15,-0.006726,1.000371
1998-01-16,0.009365,1.009783
1998-01-20,0.026751,1.037161
1998-01-21,-0.013215,1.023545
1998-01-22,-0.008084,1.015305
1998-01-23,-0.004776,1.010467
1998-01-26,-0.001535,1.008917
1998-01-27,0.014781,1.023941
1998-01-28,0.012229,1.036539
1998-01-29,0.010355,1.047329
1998-01-30,-0.005899,1.041168
1998-02-02,0.016992,1.059011
1998-02-03,0.000014,1.059025
1998-02-04,0.002463,1.061637
1998-02-05,-0.006723,1.054524
1998-02-06,0.008151,1.063155
1998-02-09,-0.007800,1.054895
1998-02-10,0.009039,1.064473
1998-02-11,0.003436,1.068137
1998-02-12,0.005078,1.073574
1998-02-13,-0.004008,1.069280
1998-02-17,-0.000342,1.068914
1998-02-18,0.010654,1.080364
1998-02-19,-0.000303,1.080037
1998-02-20,0.006850,1.087461
1998-02-23,0.008608,1.096862
1998-02-24,-0.008641,1.087425
1998-02-25,0.015756,1.104694
1998-02-26,-0.000360,1.104297
1998-02-27,-0.005170,1.098602
1998-03-02,-0.005254,1.092845
1998-03-03,0.000590,1.093490
1998-03-04,-0.008843,1.083863
1998-03-05,-0.020334,1.062047
1998-03-06,0.023351,1.087138
1998-03-09,-0.004707,1.082032
1998-03-10,0.008346,1.091101
1998-03-11,0.006937,1.098696
1998-03-12,0.009393,1.109065
1998-03-13,0.000599,1.109729
1998-03-16,0.011546,1.122616
1998-03-17,-0.000506,1.122048
1998-03-18,-0.002431,1.119324
1998-03-19,0.005494,1.125491
1998-03-20,0.009884,1.136671
1998-03-23,-0.001786,1.134642
1998-03-24,0.011810,1.148122
1998-03-25,-0.000348,1.147723
1998-03-26,-0.001102,1.146459
1998-03-27,-0.004630,1.141163
1998-03-30,-0.003271,1.137436
1998-03-31,0.008818,1.147511
1998-04-01,0.003866,1.151956
1998-04-02,0.011326,1.165077
1998-04-03,0.001679,1.167035
1998-04-06,0.011468,1.180495
1998-04-07,-0.010491,1.168176
1998-04-08,-0.011392,1.154944
1998-04-09,0.003535,1.159034
1998-04-13,-0.002949,1.155622
1998-04-14,0.004489,1.160821
1998-04-15,0.002818,1.164097
1998-04-16,-0.008516,1.154226
1998-04-17,0.024159,1.182450
1998-04-20,0.014688,1.199947
1998-04-21,0.013978,1.216837
1998-04-22,0.007497,1.225993
1998-04-23,-0.007169,1.217235
1998-04-24,-0.009978,1.205150
1998-04-27,-0.021423,1.179607
1998-04-28,-0.002402,1.176777
1998-04-29,0.003306,1.180674
1998-04-30,0.014204,1.197564
1998-05-01,0.002458,1.200512
1998-05-04,0.004217,1.205585
1998-05-05,-0.005689,1.198746
1998-05-06,-0.007291,1.190037
1998-05-07,-0.008085,1.180455
1998-05-08,0.013862,1.196932
1998-05-11,-0.006324,1.189386
1998-05-12,0.010903,1.202425
1998-05-13,0.004392,1.207718
1998-05-14,-0.001142,1.206340
1998-05-15,-0.008967,1.195571
1998-05-18,0.005971,1.202730
1998-05-19,0.002726,1.206013
1998-05-20,0.004623,1.211601
1998-05-21,-0.011569,1.197665
1998-05-22,-0.007628,1.188564
1998-05-26,-0.013652,1.172448
1998-05-27,0.005112,1.178456
1998-05-28,-0.000708,1.177623
1998-05-29,-0.014874,1.160236
1998-06-01,-0.002418,1.157434
1998-06-02,0.004205,1.162311
