rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.086467,0.062893,0.068179,0.057833,0.070741,0.061902,0.056160,0.089946,0.054058,0.051358,0.089547,0.077221,0.079873,0.057374,0.036447
1998-04-01,0.076953,0.088477,0.052991,0.065509,0.058611,0.095370,0.078418,0.059724,0.038381,0.073960,0.069496,0.060496,0.064333,0.061221,0.056060
1998-07-01,0.067259,0.056034,0.058740,0.062727,0.057667,0.108087,0.121742,0.044473,0.074144,0.048465,0.063710,0.048050,0.062428,0.061039,0.065435
1998-10-01,0.047628,0.072209,0.107129,0.052965,0.072035,0.061231,0.091105,0.061961,0.063143,0.056262,0.053134,0.050285,0.112142,0.053195,0.045577
1999-01-04,0.053109,0.065669,0.055078,0.059161,0.080085,0.069526,0.087048,0.079639,0.066917,0.042011,0.078839,0.062426,0.102542,0.050372,0.047579
1999-04-01,0.067250,0.048056,0.055169,0.052180,0.101503,0.086000,0.088442,0.058895,0.091488,0.046514,0.055454,0.049505,0.064470,0.084935,0.050141
1999-07-01,0.069125,0.066340,0.047521,0.061931,0.083972,0.049868,0.071933,0.059929,0.095719,0.062235,0.036428,0.070472,0.082100,0.064250,0.078175
1999-10-01,0.060495,0.082823,0.065725,0.054178,0.052311,0.050316,0.049881,0.058740,0.092063,0.068808,0.051330,0.092865,0.067109,0.084389,0.068968
2000-01-03,0.048158,0.060055,0.112491,0.052033,0.078075,0.058958,0.062499,0.042950,0.064236,0.066332,0.052839,0.071909,0.059222,0.093818,0.076426
2000-04-03,0.063857,0.045092,0.064798,0.065035,0.066080,0.076985,0.071037,0.072989,0.094348,0.054606,0.049978,0.065043,0.054422,0.083166,0.072565
2000-07-03,0.048353,0.058984,0.080399,0.040994,0.063291,0.068993,0.059616,0.088087,0.066776,0.077172,0.102485,0.047819,0.061981,0.074057,0.060992
2000-10-02,0.056288,0.107775,0.082969,0.040995,0.067623,0.042727,0.097320,0.088608,0.043373,0.082483,0.073416,0.058691,0.043234,0.067209,0.047290
2001-01-02,0.053484,0.070427,0.059533,0.061310,0.087676,0.065330,0.055202,0.107999,0.054413,0.071662,0.085297,0.074620,0.050687,0.050175,0.052184
2001-04-02,0.049935,0.072833,0.064987,0.045067,0.080830,0.051915,0.081717,0.108194,0.054828,0.057766,0.064657,0.106588,0.064473,0.054688,0.041522
2001-07-02,0.066091,0.063882,0.049014,0.053898,0.068727,0.082800,0.062616,0.072110,0.058128,0.074106,0.086389,0.061440,0.071484,0.075718,0.053597
2001-10-01,0.076909,0.079820,0.044588,0.030607,0.062252,0.057081,0.051717,0.075392,0.048551,0.105298,0.088548,0.069584,0.049023,0.084682,0.075948
2002-01-02,0.053113,0.053731,0.070260,0.087486,0.081670,0.056340,0.079477,0.047820,0.049686,0.060713,0.056411,0.074468,0.058468,0.090280,0.080076
2002-04-01,0.057187,0.038421,0.076350,0.059116,0.109561,0.061423,0.059869,0.064349,0.047474,0.050497,0.049167,0.091864,0.059439,0.113453,0.061830
2002-07-01,0.059434,0.086382,0.047542,0.070193,0.123579,0.076531,0.049981,0.060656,0.061882,0.064490,0.058733,0.072215,0.036756,0.078980,0.052647
2002-10-01,0.084376,0.069927,0.052858,0.062262,0.048538,0.104001,0.039634,0.073585,0.064943,0.060036,0.052507,0.084915,0.075016,0.078529,0.048874
2003-01-02,0.069735,0.069077,0.072533,0.060931,0.060602,0.077202,0.067307,0.069393,0.055971,0.053843,0.052778,0.084319,0.063837,0.064389,0.078084
2003-04-01,0.050635,0.074658,0.058743,0.056904,0.063005,0.077042,0.057403,0.071794,0.062248,0.099287,0.053463,0.078603,0.076242,0.049579,0.070393
2003-07-01,0.079295,0.063908,0.047422,0.045411,0.084375,0.065986,0.063434,0.103902,0.067874,0.111192,0.057522,0.052621,0.052999,0.047002,0.057058
2003-10-01,0.081453,0.051008,0.067521,0.087492,0.094894,0.059562,0.058727,0.087866,0.046628,0.073237,0.040915,0.059960,0.057350,0.046765,0.086621
2004-01-02,0.134640,0.077071,0.087276,0.056962,0.072370,0.052482,0.043176,0.044792,0.053075,0.051497,0.039918,0.058166,0.075915,0.049366,0.103295
2004-04-01,0.111610,0.041190,0.083833,0.051366,0.078789,0.063324,0.047619,0.088273,0.047452,0.046800,0.066422,0.057561,0.067571,0.070839,0.077353
2004-07-01,0.093762,0.082544,0.063977,0.038055,0.042181,0.051591,0.064981,0.119643,0.062932,0.057823,0.088885,0.068840,0.041096,0.068539,0.055152
2004-10-01,0.090339,0.061927,0.047151,0.062742,0.061552,0.079605,0.095071,0.087030,0.048138,0.057213,0.082990,0.051554,0.067663,0.050581,0.056444
2005-01-03,0.057601,0.095435,0.054632,0.060442,0.072828,0.065871,0.095835,0.062315,0.063524,0.053625,0.080919,0.046456,0.077356,0.052446,0.060714
2005-04-01,0.051015,0.066914,0.069444,0.046949,0.041142,0.094225,0.078247,0.077001,0.068819,0.064279,0.076730,0.087623,0.060318,0.062305,0.054991
2005-07-01,0.065314,0.055779,0.058087,0.065469,0.060634,0.088475,0.062128,0.075417,0.077084,0.064964,0.056039,0.059446,0.087414,0.059638,0.064112
2005-10-03,0.069774,0.079224,0.063342,0.055731,0.065413,0.063319,0.068664,0.071035,0.054808,0.057801,0.064361,0.059769,0.086916,0.082032,0.057812
2006-01-03,0.155465,0.060430,0.081076,0.059625,0.074807,0.048574,0.051965,0.065657,0.056948,0.048052,0.035450,0.048218,0.088446,0.071191,0.054098
2006-04-03,0.079240,0.060711,0.053410,0.065413,0.059201,0.080609,0.079735,0.087405,0.082807,0.071755,0.045069,0.047810,0.055459,0.063658,0.067718
2006-07-03,0.062188,0.070733,0.050396,0.058830,0.075207,0.060975,0.113939,0.078376,0.070764,0.060772,0.056217,0.053017,0.058372,0.062805,0.067410
2006-10-02,0.067024,0.062638,0.082296,0.058474,0.064750,0.061945,0.069040,0.087876,0.068990,0.067712,0.082990,0.059748,0.077139,0.039373,0.050004
2007-01-03,0.058211,0.086845,0.086852,0.050793,0.073278,0.050981,0.059466,0.059916,0.051216,0.062459,0.082822,0.077904,0.084412,0.058789,0.056057
2007-04-02,0.039377,0.055609,0.058206,0.066980,0.052187,0.067045,0.037443,0.046314,0.042925,0.075555,0.040031,0.054229,0.089791,0.028961,0.045347
2007-07-02,0.050901,0.085687,0.103112,0.059741,0.078138,0.052311,0.093976,0.059226,0.066388,0.054151,0.065971,0.053419,0.060053,0.059671,0.057254
2007-10-01,0.061427,0.066462,0.066892,0.076546,0.059810,0.078311,0.058140,0.062064,0.050412,0.081072,0.056866,0.065971,0.070125,0.060397,0.085503
2008-01-02,0.076793,0.053800,0.058438,0.069564,0.068357,0.081886,0.054801,0.092979,0.065591,0.059878,0.055029,0.072977,0.063333,0.050010,0.076565
2008-04-01,0.091760,0.046922,0.072997,0.068543,0.063921,0.092796,0.057025,0.093761,0.049047,0.072095,0.074238,0.056186,0.049843,0.064004,0.046862
2008-07-01,0.089759,0.092139,0.078307,0.055692,0.062008,0.099285,0.083572,0.056620,0.062939,0.050357,0.039888,0.045970,0.051707,0.067732,0.064026
2008-10-01,0.061834,0.072414,0.085100,0.036450,0.103999,0.043941,0.046259,0.055982,0.046463,0.039077,0.030563,0.043898,0.047362,0.054690,0.031968
2009-01-02,0.069730,0.097490,0.045903,0.067787,0.094223,0.085008,0.062207,0.086116,0.065180,0.058896,0.045032,0.045947,0.058420,0.064257,0.053805
2009-04-01,0.063157,0.101800,0.063637,0.057197,0.086493,0.122000,0.067017,0.046999,0.078111,0.056800,0.052511,0.035995,0.059005,0.056576,0.052702
2009-07-01,0.056101,0.053614,0.051730,0.045594,0.077400,0.137398,0.081361,0.065250,0.053698,0.047424,0.072822,0.038536,0.065905,0.067195,0.085972
2009-10-01,0.046517,0.092933,0.076859,0.052012,0.071628,0.088612,0.052308,0.060270,0.042762,0.066997,0.070549,0.076183,0.074453,0.078702,0.049215
2010-01-04,0.076396,0.095158,0.052136,0.061271,0.073448,0.072897,0.058559,0.064689,0.071161,0.065991,0.048990,0.079059,0.053753,0.051813,0.074678
2010-04-01,0.087345,0.059158,0.065454,0.055198,0.044108,0.065000,0.041127,0.086205,0.084339,0.051870,0.048281,0.094608,0.081051,0.073958,0.062299
2010-07-01,0.055258,0.085785,0.069040,0.050237,0.067123,0.056815,0.045913,0.038523,0.072449,0.097024,0.072680,0.114342,0.076651,0.040839,0.057322
2010-10-01,0.046151,0.064853,0.053056,0.061989,0.091583,0.058830,0.049272,0.101582,0.079839,0.074796,0.059829,0.086793,0.051484,0.059743,0.060199
2011-01-03,0.061178,0.067684,0.076767,0.059876,0.087162,0.066695,0.051513,0.081961,0.038671,0.067699,0.045206,0.061462,0.093843,0.083004,0.057279
2011-04-01,0.108710,0.047600,0.052379,0.056860,0.086084,0.056458,0.058892,0.083172,0.047474,0.048227,0.082520,0.072942,0.074360,0.061642,0.062678
2011-07-01,0.045306,0.080627,0.057447,0.050445,0.077931,0.104861,0.050233,0.073389,0.057957,0.059346,0.069049,0.057607,0.061398,0.074193,0.080210
2011-10-03,0.060663,0.045269,0.071518,0.048902,0.070937,0.062073,0.079477,0.063178,0.075086,0.053289,0.059333,0.079777,0.048863,0.052216,0.129416
2012-01-03,0.044240,0.060931,0.051261,0.062677,0.063610,0.088868,0.057799,0.051969,0.070867,0.045517,0.032134,0.082730,0.091391,0.059880,0.136125
2012-04-02,0.069723,0.052843,0.092198,0.064779,0.092312,0.086188,0.059857,0.059689,0.058884,0.054966,0.041710,0.071059,0.045090,0.065260,0.085441
2012-07-02,0.084480,0.064387,0.047523,0.058583,0.065924,0.057180,0.077469,0.082831,0.074419,0.053746,0.053566,0.065035,0.062299,0.066127,0.086431
2012-10-01,0.104728,0.056988,0.055217,0.043904,0.101245,0.050732,0.101415,0.062142,0.049790,0.054875,0.049610,0.073978,0.056387,0.059330,0.079659
2013-01-02,0.071579,0.065802,0.061236,0.080377,0.082605,0.061691,0.090353,0.049430,0.063163,0.044710,0.053561,0.076999,0.079281,0.056722,0.062491
2013-04-01,0.080326,0.077743,0.073488,0.050565,0.078839,0.058498,0.054773,0.057614,0.067309,0.059070,0.069415,0.094436,0.072974,0.044280,0.060669
2013-07-01,0.051179,0.066941,0.073724,0.047103,0.059440,0.074438,0.056428,0.077301,0.043546,0.056052,0.059133,0.133891,0.081932,0.054571,0.064321
2013-10-01,0.070950,0.061900,0.056302,0.071685,0.094254,0.085880,0.054442,0.060149,0.031996,0.070666,0.078616,0.076064,0.065588,0.061831,0.059678
2014-01-02,0.076381,0.059724,0.058007,0.058154,0.063592,0.072797,0.064857,0.050359,0.059390,0.080844,0.070501,0.081365,0.085802,0.056857,0.061371
2014-04-01,0.083475,0.054662,0.054096,0.048372,0.059223,0.072470,0.066763,0.095637,0.074423,0.075111,0.081574,0.084427,0.054206,0.048392,0.047170
2014-07-01,0.070988,0.064966,0.038867,0.044245,0.082267,0.098613,0.081902,0.086981,0.047113,0.055003,0.088345,0.079785,0.059811,0.058338,0.042778
2014-10-01,0.075755,0.051028,0.057975,0.050013,0.076188,0.080272,0.067366,0.078025,0.058907,0.074018,0.083055,0.048914,0.078159,0.064994,0.055331
2015-01-02,0.052733,0.051606,0.048223,0.084216,0.057091,0.079909,0.046885,0.073475,0.068837,0.060628,0.050644,0.043380,0.093984,0.120258,0.068131
2015-04-01,0.090814,0.087586,0.042822,0.082105,0.083669,0.049463,0.058178,0.061571,0.070183,0.066435,0.062120,0.068598,0.064138,0.056897,0.055423
2015-07-01,0.088215,0.061405,0.071676,0.063252,0.044621,0.059037,0.067296,0.094170,0.069255,0.075085,0.064397,0.071370,0.062304,0.049605,0.058313
2015-10-01,0.068854,0.068635,0.057947,0.059333,0.060393,0.061419,0.071927,0.088344,0.058561,0.047082,0.069592,0.089035,0.070254,0.061884,0.066741
2016-01-04,0.075583,0.078872,0.048163,0.036705,0.047339,0.047760,0.097381,0.075181,0.051435,0.038489,0.134824,0.097551,0.070042,0.056267,0.044408
2016-04-01,0.060001,0.084004,0.083267,0.038418,0.058641,0.059811,0.085978,0.066860,0.066030,0.033713,0.132834,0.068501,0.058608,0.042393,0.060942
2016-07-01,0.064519,0.083154,0.119174,0.042378,0.075423,0.047673,0.078904,0.056045,0.052615,0.039851,0.072543,0.074673,0.064128,0.054352,0.074568
2016-10-03,0.054670,0.051371,0.105645,0.059898,0.077645,0.054442,0.045102,0.059761,0.056763,0.063461,0.054877,0.094360,0.092891,0.052230,0.076884
2017-01-03,0.060536,0.056448,0.085718,0.055977,0.064639,0.057049,0.057099,0.062240,0.065304,0.078321,0.071165,0.062453,0.084038,0.057078,0.081936
2017-04-03,0.067824,0.059705,0.060780,0.072283,0.084909,0.058669,0.053181,0.072629,0.065045,0.054667,0.058569,0.066153,0.059970,0.081165,0.084449
2017-07-03,0.051796,0.066344,0.052731,0.041333,0.046707,0.046511,0.039656,0.041526,0.051227,0.095052,0.063204,0.063479,0.045207,0.051178,0.044051
2017-10-02,0.063518,0.079114,0.068989,0.055288,0.044802,0.067582,0.053370,0.069842,0.062211,0.083329,0.073139,0.067740,0.054379,0.075985,0.080713
2018-01-02,0.102566,0.053060,0.055967,0.039060,0.063191,0.067730,0.056066,0.052393,0.060990,0.063742,0.072457,0.101514,0.060354,0.099033,0.051876
2018-04-02,0.077913,0.049695,0.051983,0.039471,0.054876,0.047162,0.049307,0.063399,0.052659,0.054611,0.064636,0.067761,0.051608,0.038322,0.036597
2018-07-02,0.085074,0.057743,0.056090,0.047808,0.100688,0.071556,0.095925,0.059008,0.073834,0.084304,0.057859,0.049961,0.041891,0.058719,0.059540
2018-10-01,0.063415,0.081207,0.061434,0.060398,0.104954,0.064919,0.064062,0.070535,0.074403,0.060356,0.065566,0.055943,0.065694,0.060402,0.046713
2019-01-02,0.071554,0.059293,0.083009,0.047050,0.078819,0.081806,0.055600,0.079248,0.075397,0.049428,0.063650,0.064871,0.081034,0.062533,0.046708
2019-04-01,0.090270,0.051112,0.051919,0.065018,0.106251,0.048373,0.045700,0.065617,0.062394,0.070093,0.066833,0.069581,0.061694,0.073949,0.071197
2019-07-01,0.072682,0.052420,0.057633,0.060297,0.099401,0.051441,0.089687,0.050030,0.058261,0.062408,0.056528,0.086901,0.073805,0.078300,0.050207
2019-10-01,0.072630,0.089305,0.038037,0.079293,0.096174,0.074659,0.068515,0.051528,0.052931,0.070292,0.056739,0.076582,0.049960,0.065897,0.057458
2020-01-02,0.064957,0.098196,0.046200,0.041930,0.071633,0.064381,0.083453,0.062403,0.078039,0.077271,0.059518,0.068801,0.060963,0.054432,0.067823
2020-04-01,0.054223,0.089457,0.072211,0.059153,0.055789,0.062796,0.081595,0.054961,0.054315,0.066147,0.080357,0.089532,0.047431,0.055254,0.076779
2020-07-01,0.073243,0.057028,0.057589,0.051369,0.065971,0.058804,0.076062,0.049916,0.068416,0.086033,0.081928,0.082488,0.070135,0.065182,0.055835
2020-10-01,0.053001,0.063785,0.079542,0.060041,0.066969,0.054994,0.062040,0.070347,0.048354,0.072015,0.091462,0.074636,0.060242,0.082119,0.060455
2021-01-04,0.070982,0.088557,0.061376,0.057251,0.058355,0.079094,0.075524,0.096914,0.065275,0.065457,0.065434,0.048252,0.045888,0.070180,0.051460
