rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,20,25.600000,0.200000,38.400000,0.010000,0.035007,0.344336,0.119830,0.293833,-0.441559,-1.510580,-0.040902,0.220000,0.246297,1.000000,0.000000
1998-04-01,1998,1997,20,25.600000,0.200000,44.800000,0.010000,0.040327,0.336065,0.113480,0.283627,-0.365176,-7.244612,-0.072782,0.250000,0.097828,0.501988,0.000000
1998-07-01,1998,1997,20,22.400000,0.220000,38.400000,0.010000,0.037440,0.313943,0.098691,0.270446,-0.187260,-6.335463,0.214737,0.680000,0.209615,0.557831,0.000000
1998-10-01,1998,1997,20,25.600000,0.200000,32.000000,0.010000,0.035053,0.312735,0.097932,0.253803,-0.178134,0.754538,0.400257,0.020000,,0.729717,0.000000
1999-01-04,1999,1998,20,22.400000,0.240000,32.000000,0.010000,0.039722,0.317491,0.100951,0.269755,-0.214452,-5.833071,0.106466,0.370000,0.139333,0.752726,0.000000
1999-04-01,1999,1998,20,22.400000,0.240000,32.000000,0.010000,0.039346,0.306367,0.094184,0.258690,-0.133046,-5.941624,0.146466,0.400000,0.242931,0.579413,0.000000
1999-07-01,1999,1998,20,28.800000,0.220000,38.400000,0.010000,0.034052,0.321977,0.104123,0.274024,-0.252612,-16.529876,-0.031880,0.630000,0.178809,0.582863,0.000000
1999-10-01,1999,1998,20,25.600000,0.200000,38.400000,0.010000,0.034800,0.336784,0.115109,0.282803,-0.384774,-1.009546,-0.129323,0.470000,0.056854,0.598601,0.000000
2000-01-03,2000,1999,20,22.400000,0.220000,38.400000,0.010000,0.030552,0.333450,0.112111,0.280220,-0.348709,-2.848692,0.036090,0.500000,0.148098,0.865824,0.000000
2000-04-03,2000,1999,20,25.600000,0.200000,38.400000,0.010000,0.029927,0.341532,0.117457,0.283017,-0.413022,-3.941417,-0.062556,0.690000,0.075593,0.793441,0.000000
2000-07-03,2000,1999,20,22.400000,0.220000,32.000000,0.010000,0.028967,0.338552,0.114922,0.286210,-0.382515,-6.614992,-0.201504,0.570000,0.323866,0.770879,0.000000
2000-10-02,2000,1999,20,22.400000,0.200000,38.400000,0.010000,0.034075,0.342425,0.118365,0.291732,-0.423944,-4.904287,-0.118496,0.490000,0.109545,0.558766,0.000000
2001-01-02,2001,2000,20,19.200000,0.200000,32.000000,0.010000,0.033989,0.343840,0.119093,0.290743,-0.432693,-6.909125,-0.229799,0.730000,0.000000,0.704139,0.000000
2001-04-02,2001,2000,20,25.600000,0.220000,32.000000,0.010000,0.034547,0.335980,0.113482,0.275137,-0.365192,-4.280207,-0.143759,0.320000,0.075593,0.623147,0.000000
2001-07-02,2001,2000,20,28.800000,0.220000,57.600000,0.010000,0.035640,0.340427,0.117495,0.288335,-0.413478,-6.591081,-0.055338,0.560000,0.337614,0.654452,0.000000
2001-10-01,2001,2000,20,25.600000,0.240000,32.000000,0.010000,0.031483,0.308819,0.095601,0.256495,-0.150093,-1.506541,0.175639,0.460000,0.449556,0.622102,0.000000
2002-01-02,2002,2001,20,16.000000,0.220000,44.800000,0.010000,0.035627,0.296432,0.088178,0.254533,-0.060790,-29.817885,0.038797,0.520000,0.320848,0.783616,0.000000
2002-04-01,2002,2001,20,19.200000,0.200000,38.400000,0.010000,0.032901,0.317115,0.101110,0.267594,-0.216364,-9.065669,-0.160602,0.700000,0.125245,0.507238,0.000000
2002-07-01,2002,2001,20,32.000000,0.220000,51.200000,0.010000,0.038560,0.316916,0.100892,0.263037,-0.213736,-9.482251,0.006617,0.860000,0.000000,0.683352,0.000000
2002-10-01,2002,2001,20,22.400000,0.240000,38.400000,0.010000,0.037296,0.327451,0.107325,0.273895,-0.291127,-5.677367,-0.250827,0.440000,0.198987,0.590008,0.000000
2003-01-02,2003,2002,20,25.600000,0.200000,38.400000,0.010000,0.038501,0.356887,0.128295,0.296781,-0.543394,-30.328321,-0.165414,0.800000,0.000000,0.741596,0.000000
2003-04-01,2003,2002,20,28.800000,0.220000,44.800000,0.010000,0.037409,0.316523,0.100260,0.260182,-0.206131,-3.720050,0.153083,0.090000,0.129777,0.499192,0.000000
2003-07-01,2003,2002,20,25.600000,0.220000,44.800000,0.010000,0.039272,0.346529,0.121139,0.290903,-0.457311,-15.428337,-0.323956,0.390000,0.146199,0.560644,0.000000
2003-10-01,2003,2002,20,25.600000,0.220000,32.000000,0.010000,0.039369,0.306169,0.093785,0.253205,-0.128236,-11.356061,0.120147,0.310000,0.402417,0.519416,0.000000
2004-01-02,2004,2003,20,25.600000,0.200000,32.000000,0.010000,0.036317,0.336343,0.113437,0.284353,-0.364652,-36.744256,-0.109774,0.440000,0.092113,0.669710,0.000000
2004-04-01,2004,2003,20,28.800000,0.220000,38.400000,0.010000,0.033382,0.315920,0.100245,0.264320,-0.205954,-29.628738,0.245414,0.450000,0.269476,0.586843,0.000000
2004-07-01,2004,2003,20,25.600000,0.220000,38.400000,0.010000,0.035296,0.359860,0.129860,0.302349,-0.562229,-9.420088,-0.276391,0.420000,0.000000,0.638636,0.000000
2004-10-01,2004,2003,20,25.600000,0.220000,38.400000,0.010000,0.036464,0.329235,0.109633,0.277813,-0.318888,-20.652630,0.085414,0.340000,0.215934,0.653833,0.000000
2005-01-03,2005,2004,20,22.400000,0.200000,32.000000,0.010000,0.038399,0.317715,0.101140,0.261406,-0.216717,-23.354722,0.124211,0.640000,0.249825,0.632066,0.000000
2005-04-01,2005,2004,20,25.600000,0.260000,38.400000,0.010000,0.034661,0.302549,0.092757,0.257163,-0.115868,-32.555432,0.263158,0.500000,0.381508,0.521844,0.000000
2005-07-01,2005,2004,20,32.000000,0.200000,38.400000,0.010000,0.035028,0.365359,0.133773,0.305589,-0.609298,-25.309774,-0.220150,0.600000,0.000000,0.611852,0.000000
2005-10-03,2005,2004,20,28.800000,0.200000,32.000000,0.010000,0.036020,0.334485,0.112290,0.284828,-0.350857,-21.208478,-0.068271,0.410000,0.111741,0.514058,0.000000
2006-01-03,2006,2005,20,25.600000,0.220000,32.000000,0.010000,0.038631,0.350954,0.123938,0.296351,-0.490985,-21.383403,-0.336541,0.460000,0.056569,0.753365,0.000000
2006-04-03,2006,2005,20,16.000000,0.220000,38.400000,0.010000,0.039603,0.304916,0.093116,0.259108,-0.120190,-41.307660,0.006435,0.480000,0.084853,0.497520,0.000000
2006-07-03,2006,2005,20,25.600000,0.220000,38.400000,0.010000,0.035636,0.341708,0.116906,0.283711,-0.406388,-8.033670,-0.270376,0.010000,,0.626007,0.000000
2006-10-02,2006,2005,20,22.400000,0.220000,32.000000,0.010000,0.036273,0.309131,0.095833,0.259317,-0.152874,-14.516185,0.146767,0.370000,0.253290,0.631004,0.000000
2007-01-03,2007,2006,20,28.800000,0.200000,32.000000,0.010000,0.035477,0.338744,0.114894,0.285541,-0.382178,-62.342604,-0.396090,0.670000,0.073030,0.851387,0.000000
2007-04-02,2007,2006,20,25.600000,0.240000,32.000000,0.010000,0.035553,0.329357,0.109510,0.277210,-0.317415,-13.003780,-0.021286,0.260000,0.000000,0.553179,0.000000
2007-07-02,2007,2006,20,22.400000,0.240000,32.000000,0.010000,0.038510,0.318614,0.102028,0.269808,-0.227409,-18.980740,0.011729,0.420000,0.292706,0.577478,0.000000
2007-10-01,2007,2006,20,25.600000,0.200000,38.400000,0.010000,0.036866,0.313499,0.098676,0.259982,-0.187079,-16.191855,0.060150,0.390000,0.266520,0.523433,0.000000
2008-01-02,2008,2007,20,32.000000,0.200000,44.800000,0.010000,0.038043,0.365007,0.133546,0.297810,-0.606570,-8.400692,-0.315188,0.740000,0.083267,0.583312,0.000000
2008-04-01,2008,2007,20,16.000000,0.240000,38.400000,0.010000,0.036802,0.301591,0.091595,0.259842,-0.101898,-7.211336,0.199098,0.690000,0.252691,0.552503,0.000000
2008-07-01,2008,2007,20,25.600000,0.240000,38.400000,0.010000,0.035653,0.335613,0.112854,0.280582,-0.357636,-2.364644,-0.052030,0.600000,0.095743,0.575312,0.000000
2008-10-01,2008,2007,20,25.600000,0.220000,44.800000,0.010000,0.035806,0.341391,0.118057,0.279914,-0.420238,-3.302231,-0.083459,0.700000,0.000000,0.536943,0.000000
2009-01-02,2009,2008,19,32.000000,0.200000,32.000000,0.010000,0.036488,0.323879,0.105603,0.271457,-0.270752,-6.800855,0.096491,0.873684,0.265091,0.804012,0.000000
2009-04-01,2009,2008,19,25.600000,0.240000,32.000000,0.010000,0.036817,0.340743,0.117592,0.278931,-0.415018,-2.524856,-0.044561,0.410526,0.221279,0.548929,0.000000
2009-07-01,2009,2008,19,25.600000,0.200000,32.000000,0.010000,0.034379,0.356113,0.127870,0.298040,-0.538707,-3.936589,-0.550175,0.210526,0.201152,0.604499,0.000000
2009-10-01,2009,2008,20,22.400000,0.240000,38.400000,0.010000,0.034052,0.300934,0.090989,0.246518,-0.094601,-6.769364,0.316090,0.180000,0.255867,0.494777,0.000000
2010-01-04,2010,2009,20,22.400000,0.200000,32.000000,0.010000,0.033838,0.278940,0.078136,0.238287,0.060015,-43.462360,0.260752,0.560000,0.504945,0.745804,0.000000
2010-04-01,2010,2009,20,28.800000,0.220000,38.400000,0.010000,0.033562,0.324656,0.106065,0.274621,-0.275967,-14.847712,-0.154586,0.780000,0.000000,0.642409,0.000000
2010-07-01,2010,2009,20,25.600000,0.200000,38.400000,0.010000,0.030933,0.311401,0.097360,0.257953,-0.171254,-3.985588,0.114887,0.190000,0.256891,0.545398,0.000000
2010-10-01,2010,2009,20,22.400000,0.240000,32.000000,0.010000,0.032663,0.314660,0.099456,0.265283,-0.196464,-10.587809,-0.031579,0.350000,0.285669,0.653657,0.000000
2011-01-03,2011,2010,20,25.600000,0.220000,38.400000,0.010000,0.032839,0.289132,0.083862,0.247325,-0.008861,-32.697273,0.215038,0.570000,0.509598,0.721961,0.000000
2011-04-01,2011,2010,20,25.600000,0.200000,32.000000,0.010000,0.033301,0.261949,0.069075,0.215549,0.169023,-36.194918,0.585564,0.700000,0.553777,0.572851,0.000000
2011-07-01,2011,2010,20,19.200000,0.220000,32.000000,0.010000,0.036804,0.295364,0.087685,0.251808,-0.054861,-12.092291,0.188271,0.570000,0.288021,0.619226,0.000000
2011-10-03,2011,2010,20,16.000000,0.220000,32.000000,0.010000,0.036851,0.307184,0.094586,0.258780,-0.137872,-3.454807,-0.065865,0.260000,0.079472,0.566072,0.000000
2012-01-03,2012,2011,20,16.000000,0.200000,38.400000,0.010000,0.033900,0.311029,0.097278,0.263591,-0.170259,-4.055494,0.099850,0.260000,0.298138,0.694739,0.000000
2012-04-02,2012,2011,20,19.200000,0.240000,38.400000,0.010000,0.036317,0.320644,0.103178,0.276107,-0.241244,-26.411493,0.070720,0.490000,0.109539,0.480201,0.000000
2012-07-02,2012,2011,20,25.600000,0.220000,32.000000,0.010000,0.035777,0.328186,0.107863,0.280387,-0.297598,-11.704247,-0.165714,0.240000,0.088113,0.413672,0.000000
2012-10-01,2012,2011,20,22.400000,0.220000,32.000000,0.010000,0.034317,0.331457,0.110152,0.281360,-0.325142,-38.731958,-0.175352,0.650000,0.103280,0.511344,0.000000
2013-01-02,2013,2012,20,28.800000,0.200000,38.400000,0.010000,0.040824,0.354065,0.125503,0.291251,-0.509815,-11.446151,-0.327519,0.130000,0.104875,0.629283,0.000000
2013-04-01,2013,2012,20,32.000000,0.200000,32.000000,0.010000,0.035999,0.351147,0.124042,0.296685,-0.492240,-23.017077,-0.108571,0.470000,0.097980,0.605736,0.000000
2013-07-01,2013,2012,20,28.800000,0.220000,32.000000,0.010000,0.035493,0.297062,0.088816,0.246843,-0.068466,-50.410168,0.353985,0.630000,0.409741,0.607253,0.000000
2013-10-01,2013,2012,20,25.600000,0.200000,32.000000,0.010000,0.035685,0.313469,0.099120,0.264629,-0.192424,-6.231690,0.108271,0.130000,,0.533316,0.000000
2014-01-02,2014,2013,20,22.400000,0.200000,38.400000,0.010000,0.031220,0.332211,0.111278,0.285547,-0.338688,-30.894971,-0.064361,0.440000,0.113707,0.713689,0.000000
2014-04-01,2014,2013,20,22.400000,0.220000,44.800000,0.010000,0.036049,0.355579,0.127185,0.298358,-0.530045,-21.389262,-0.190376,0.440000,0.075210,0.453997,0.000000
2014-07-01,2014,2013,20,16.000000,0.220000,38.400000,0.010000,0.034776,0.302367,0.092201,0.264769,-0.109186,-46.966063,0.228571,0.450000,0.332504,0.384917,0.000000
2014-10-01,2014,2013,20,28.800000,0.200000,38.400000,0.010000,0.036237,0.370687,0.137453,0.303752,-0.653569,-14.190088,-0.179248,0.290000,0.069007,0.493647,0.000000
