date,log_return,cumulative_value
1998-01-02,0.011578,1.011646
1998-01-05,0.005313,1.017035
1998-01-06,-0.008086,1.008844
1998-01-07,-0.007663,1.001143
1998-01-08,-0.003927,0.997220
1998-01-09,-0.030265,0.967492
1998-01-12,0.018273,0.985335
1998-01-13,0.009581,0.994818
1998-01-14,0.002292,0.997100
1998-01-15,-0.004765,0.992360
1998-01-16,0.008172,1.000503
1998-01-20,0.024382,1.025199
1998-01-21,-0.010083,1.014914
1998-01-22,-0.008524,1.006303
1998-01-23,-0.002688,1.003602
1998-01-26,-0.001312,1.002289
1998-01-27,0.020189,1.022731
1998-01-28,0.013518,1.036651
1998-01-29,0.007586,1.044544
1998-01-30,-0.004298,1.040067
1998-02-02,0.021198,1.062349
1998-02-03,0.004430,1.067063
1998-02-04,0.002136,1.069346
1998-02-05,-0.006581,1.062334
1998-02-06,0.008160,1.071039
1998-02-09,-0.009720,1.060678
1998-02-10,0.009109,1.070385
1998-02-11,0.005320,1.076095
1998-02-12,0.003382,1.079741
1998-02-13,-0.005775,1.073523
1998-02-17,-0.001363,1.072058
1998-02-18,0.009126,1.081887
1998-02-19,-0.000671,1.081160
1998-02-20,0.008048,1.089895
1998-02-23,0.010942,1.101894
1998-02-24,-0.008485,1.092587
1998-02-25,0.015765,1.109952
1998-02-26,-0.001552,1.108231
1998-02-27,-0.004267,1.103511
1998-03-02,-0.009003,1.093618
1998-03-03,0.001048,1.094768
1998-03-04,-0.009438,1.084482
1998-03-05,-0.021452,1.061465
1998-03-06,0.022298,1.085402
1998-03-09,-0.009872,1.074739
1998-03-10,0.009711,1.085224
1998-03-11,0.006375,1.092159
1998-03-12,0.004709,1.097314
1998-03-13,0.001645,1.099121
1998-03-16,0.011437,1.111761
1998-03-17,-0.002629,1.108841
1998-03-18,-0.000196,1.108623
1998-03-19,0.006452,1.115797
1998-03-20,0.006708,1.123307
1998-03-23,-0.004431,1.118345
1998-03-24,0.012742,1.132687
1998-03-25,0.002410,1.135423
1998-03-26,-0.001310,1.133934
1998-03-27,-0.005225,1.128026
1998-03-30,-0.006745,1.120449
1998-03-31,0.009801,1.131487
1998-04-01,0.005261,1.137463
1998-04-02,0.010571,1.149552
1998-04-03,0.002576,1.152519
1998-04-06,0.001824,1.154602
1998-04-07,-0.009204,1.144022
1998-04-08,-0.009360,1.133372
1998-04-09,0.004154,1.138089
1998-04-13,-0.002499,1.135253
1998-04-14,0.005341,1.141334
1998-04-15,0.007013,1.149378
1998-04-16,-0.007141,1.141199
1998-04-17,0.023190,1.167967
1998-04-20,0.010383,1.180159
1998-04-21,0.012103,1.194527
1998-04-22,0.011598,1.208472
1998-04-23,-0.010633,1.195679
1998-04-24,-0.013336,1.179834
1998-04-27,-0.020199,1.156240
1998-04-28,-0.002739,1.153079
1998-04-29,0.005395,1.159317
1998-04-30,0.014289,1.175998
1998-05-01,0.003945,1.180641
1998-05-04,0.003953,1.185312
1998-05-05,-0.006979,1.177069
1998-05-06,-0.006340,1.169628
1998-05-07,-0.010695,1.157181
1998-05-08,0.013407,1.172805
1998-05-11,-0.008879,1.162441
1998-05-12,0.010620,1.174852
1998-05-13,0.005199,1.180983
1998-05-14,-0.000527,1.180364
1998-05-15,-0.008394,1.170503
1998-05-18,0.002387,1.173292
1998-05-19,0.002780,1.176561
1998-05-20,0.005220,1.182711
1998-05-21,-0.008268,1.172975
1998-05-22,-0.007124,1.164648
1998-05-26,-0.015846,1.146337
1998-05-27,0.006228,1.153504
1998-05-28,0.001394,1.155113
1998-05-29,-0.014441,1.138552
1998-06-01,-0.004217,1.133760
1998-06-02,0.007581,1.142390
1998-06-03,-0.013433,1.127152
1998-06-04,0.018829,1.148578
1998-06-05,0.020295,1.172120
1998-06-08,-0.000328,1.171739
1998-06-09,0.009502,1.182931
1998-06-10,-0.005394,1.176570
1998-06-11,-0.012904,1.161487
1998-06-12,0.008110,1.170942
1998-06-15,-0.019435,1.148409
1998-06-16,0.012467,1.162824
1998-06-17,0.013508,1.178639
1998-06-18,-0.000051,1.178581
1998-06-19,0.003005,1.182139
1998-06-22,0.004271,1.187197
1998-06-23,0.019750,1.210889
1998-06-24,0.016244,1.230741
1998-06-25,-0.007208,1.221895
1998-06-26,0.009134,1.233116
1998-06-29,0.008381,1.243516
1998-06-30,-0.007710,1.233977
1998-07-01,0.007698,1.243506
1998-07-02,-0.000069,1.243423
1998-07-06,0.005559,1.250355
1998-07-07,0.003509,1.254749
1998-07-08,0.014347,1.272879
1998-07-09,-0.002016,1.270317
1998-07-10,0.008427,1.281070
1998-07-13,0.007249,1.290389
1998-07-14,0.007486,1.300095
1998-07-15,-0.008570,1.289001
1998-07-16,0.009208,1.300932
1998-07-17,0.009431,1.313254
1998-07-20,0.004400,1.319040
1998-07-21,-0.020425,1.292372
1998-07-22,0.003035,1.296289
1998-07-23,-0.025048,1.264223
1998-07-24,0.008818,1.275420
1998-07-27,0.008414,1.286197
1998-07-28,-0.018980,1.262017
1998-07-29,-0.000216,1.261741
1998-07-30,0.019243,1.286256
1998-07-31,-0.021188,1.259291
1998-08-03,-0.004766,1.253299
1998-08-04,-0.040584,1.203454
1998-08-05,0.013499,1.219817
1998-08-06,0.009396,1.231335
1998-08-07,-0.009508,1.219684
1998-08-10,-0.002015,1.217232
1998-08-11,-0.011788,1.202966
1998-08-12,0.008787,1.213591
1998-08-13,-0.005685,1.206707
1998-08-14,-0.010943,1.193576
1998-08-17,0.024828,1.223580
1998-08-18,0.019419,1.247571
1998-08-19,0.000276,1.247914
1998-08-20,-0.010122,1.235342
1998-08-21,-0.002913,1.231751
1998-08-24,0.005603,1.238677
1998-08-25,0.005897,1.246007
1998-08-26,0.002516,1.249149
1998-08-27,-0.038337,1.202169
1998-08-28,-0.017774,1.180988
1998-08-31,-0.082934,1.086996
1998-09-01,0.045406,1.137492
1998-09-02,-0.009823,1.126369
1998-09-03,-0.005166,1.120578
1998-09-04,-0.013451,1.105606
1998-09-08,0.047770,1.159702
1998-09-09,-0.020908,1.135718
1998-09-10,-0.023615,1.109209
1998-09-11,0.027871,1.140554
1998-09-14,0.012236,1.154598
1998-09-15,0.009793,1.165963
1998-09-16,0.000064,1.166035
1998-09-17,-0.029477,1.132175
1998-09-18,0.004617,1.137407
1998-09-21,0.007471,1.145944
1998-09-22,0.009254,1.156599
1998-09-23,0.034328,1.196983
1998-09-24,-0.019688,1.173648
1998-09-25,0.000528,1.174255
1998-09-28,0.008052,1.183741
1998-09-29,0.002476,1.186673
1998-09-30,-0.022234,1.160579
1998-10-01,-0.028823,1.127604
1998-10-02,0.014033,1.143537
1998-10-05,-0.013620,1.128092
1998-10-06,-0.008947,1.118059
1998-10-07,-0.019840,1.096095
1998-10-08,-0.007616,1.087756
1998-10-09,0.016938,1.106344
1998-10-12,0.007560,1.114750
1998-10-13,-0.001200,1.113413
1998-10-14,0.014027,1.129142
1998-10-15,0.047304,1.183829
1998-10-16,0.003358,1.187830
1998-10-19,0.000973,1.188983
1998-10-20,0.001500,1.190756
1998-10-21,0.015118,1.208884
1998-10-22,0.012363,1.223921
1998-10-23,-0.000305,1.223544
1998-10-26,0.005589,1.230387
1998-10-27,-0.009940,1.218217
1998-10-28,-0.001251,1.216697
1998-10-29,0.020569,1.241988
1998-10-30,0.008810,1.252979
1998-11-02,0.012285,1.268460
1998-11-03,0.001679,1.270589
1998-11-04,-0.001639,1.268507
1998-11-05,0.019976,1.294102
1998-11-06,0.010455,1.307708
1998-11-09,-0.010641,1.293866
1998-11-10,0.002264,1.296800
1998-11-11,-0.006959,1.287809
1998-11-12,-0.006443,1.279541
1998-11-13,0.005686,1.286842
