rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.092143,0.063514,0.056709,0.049125,0.073259,0.039659,0.063618,0.069239,0.070083,0.083913,0.062294,0.058101,0.056235,0.096237,0.065871
1998-07-01,0.067279,0.062164,0.063785,0.072371,0.057359,0.051109,0.053944,0.056759,0.072687,0.088032,0.072378,0.091966,0.063985,0.053714,0.072468
1999-01-04,0.038397,0.039096,0.044608,0.044691,0.069211,0.059256,0.065672,0.045981,0.064108,0.039803,0.051846,0.085046,0.058808,0.079926,0.046882
1999-07-01,0.074993,0.067394,0.056309,0.051262,0.070637,0.073724,0.053785,0.084781,0.056727,0.064226,0.057728,0.125406,0.061134,0.048602,0.053291
2000-01-03,0.082596,0.092388,0.051803,0.047700,0.079737,0.083454,0.058583,0.079883,0.073546,0.051089,0.071676,0.065108,0.048123,0.054392,0.059921
2000-07-03,0.070486,0.051517,0.048577,0.043120,0.061063,0.054250,0.047194,0.051618,0.068031,0.050842,0.076263,0.050817,0.040114,0.065982,0.053459
2001-01-02,0.075482,0.060877,0.050576,0.042707,0.058143,0.098136,0.058194,0.094058,0.057758,0.087373,0.083445,0.061777,0.066442,0.045011,0.060019
2001-07-02,0.071282,0.070877,0.045898,0.047387,0.049372,0.095850,0.051568,0.119844,0.039165,0.056779,0.069697,0.066471,0.076030,0.090301,0.049478
2002-01-02,0.080336,0.056211,0.061288,0.043775,0.055844,0.085213,0.047296,0.104989,0.037904,0.069947,0.067282,0.046555,0.133348,0.056609,0.053403
2002-07-01,0.069721,0.098049,0.063151,0.040076,0.086868,0.064061,0.077974,0.101824,0.048836,0.077097,0.046965,0.046087,0.082629,0.046910,0.049752
2003-01-02,0.062843,0.062418,0.069435,0.067203,0.072704,0.046151,0.083590,0.082331,0.048670,0.079959,0.072549,0.060205,0.072223,0.056263,0.063457
2003-07-01,0.066559,0.057870,0.061608,0.065504,0.107720,0.035793,0.090375,0.051557,0.068281,0.067055,0.057438,0.061829,0.052675,0.083697,0.072041
2004-01-02,0.075363,0.069801,0.055994,0.062404,0.062951,0.058964,0.062781,0.066829,0.058617,0.064732,0.092656,0.085617,0.071948,0.059737,0.051606
2004-07-01,0.072064,0.055720,0.052173,0.100423,0.081667,0.053707,0.054532,0.056445,0.056803,0.070226,0.089077,0.085454,0.049633,0.043143,0.078932
2005-01-03,0.109978,0.049013,0.046601,0.075153,0.054821,0.056562,0.076163,0.069124,0.042959,0.078465,0.069539,0.115094,0.054119,0.055153,0.047259
2005-07-01,0.112881,0.048800,0.041100,0.078196,0.046795,0.063721,0.076706,0.091443,0.042636,0.059974,0.041714,0.093977,0.071999,0.074039,0.056019
2006-01-03,0.083571,0.067509,0.045112,0.039863,0.045209,0.053055,0.084000,0.092321,0.065085,0.059266,0.081272,0.112408,0.065656,0.052467,0.053206
2006-07-03,0.091679,0.081285,0.051870,0.055877,0.059484,0.042068,0.095029,0.105902,0.042857,0.068972,0.067657,0.071545,0.069557,0.042339,0.053878
2007-01-03,0.062742,0.050923,0.057621,0.066901,0.088698,0.069288,0.072091,0.085648,0.044919,0.057885,0.079988,0.088327,0.050744,0.067512,0.056712
2007-07-02,0.106183,0.068382,0.045948,0.084820,0.069829,0.056785,0.073073,0.060419,0.061562,0.044243,0.057103,0.061836,0.059970,0.091795,0.058053
2008-01-02,0.047565,0.062320,0.055241,0.069526,0.073346,0.051392,0.104062,0.081475,0.059401,0.066998,0.050859,0.082701,0.086201,0.054124,0.054789
2008-07-01,0.061209,0.047698,0.057935,0.050969,0.067041,0.073680,0.073041,0.075299,0.088034,0.071749,0.059679,0.067191,0.069643,0.061388,0.075445
2009-01-02,0.068856,0.061425,0.070830,0.068494,0.065805,0.052273,0.063896,0.083257,0.068703,0.077536,0.051662,0.062717,0.069173,0.069776,0.065596
2009-07-01,0.093639,0.078666,0.053583,0.067207,0.047022,0.069370,0.066501,0.065456,0.078100,0.054911,0.065615,0.050379,0.066126,0.080034,0.063389
2010-01-04,0.058658,0.075845,0.055718,0.074415,0.059638,0.072802,0.062947,0.050247,0.075668,0.042428,0.074233,0.056647,0.074741,0.073037,0.092974
2010-07-01,0.056127,0.072977,0.042520,0.069846,0.071208,0.071387,0.045501,0.067675,0.056914,0.055137,0.054910,0.062876,0.044357,0.109734,0.118830
2011-01-03,0.072324,0.051927,0.054482,0.044645,0.083086,0.068397,0.057881,0.051506,0.052606,0.063192,0.065682,0.092668,0.115554,0.068742,0.057308
2011-07-01,0.079828,0.061104,0.056523,0.038636,0.082973,0.060006,0.065761,0.081059,0.098441,0.056922,0.047870,0.069287,0.076415,0.062718,0.062459
2012-01-03,0.062135,0.062870,0.057768,0.037464,0.090359,0.064747,0.054839,0.071677,0.100549,0.044094,0.051734,0.080013,0.071656,0.072285,0.077808
2012-07-02,0.064134,0.049209,0.048435,0.042354,0.074646,0.070886,0.095299,0.062414,0.091711,0.057044,0.053481,0.051796,0.054473,0.107726,0.076391
2013-01-02,0.062003,0.067379,0.061956,0.044727,0.075378,0.051257,0.078450,0.094406,0.076425,0.056266,0.061128,0.046549,0.065486,0.101762,0.056828
2013-07-01,0.092724,0.043600,0.061900,0.058480,0.070183,0.050064,0.126713,0.051902,0.056096,0.058679,0.047615,0.051729,0.094594,0.065242,0.070479
2014-01-02,0.058441,0.047862,0.049878,0.065759,0.074733,0.046945,0.071805,0.070547,0.055975,0.064327,0.073379,0.120236,0.074971,0.060173,0.064969
2014-07-01,0.078133,0.046030,0.058461,0.042254,0.057119,0.043421,0.116961,0.091783,0.039789,0.048200,0.066528,0.141864,0.059582,0.056447,0.053429
2015-01-02,0.063937,0.048299,0.044956,0.049627,0.073493,0.074714,0.084771,0.044315,0.076967,0.068959,0.092523,0.099006,0.062731,0.064192,0.051511
2015-07-01,0.072567,0.060843,0.044939,0.051472,0.061184,0.076081,0.096410,0.072955,0.059964,0.098174,0.082684,0.071322,0.063535,0.043644,0.044225
2016-01-04,0.058698,0.083014,0.058438,0.069064,0.091042,0.059925,0.069108,0.089205,0.051544,0.066274,0.061358,0.093083,0.040633,0.052737,0.055878
2016-07-01,0.091374,0.089380,0.036850,0.047165,0.063500,0.064771,0.071796,0.092493,0.053727,0.047113,0.078563,0.077012,0.070089,0.056792,0.059377
2017-01-03,0.142995,0.084752,0.048836,0.056169,0.041119,0.067334,0.038373,0.061088,0.039683,0.036952,0.047175,0.061050,0.096076,0.051437,0.126961
2017-07-03,0.121582,0.040002,0.056220,0.039168,0.050764,0.046159,0.041972,0.060273,0.033792,0.034479,0.057617,0.103441,0.101580,0.094628,0.118323
2018-01-02,0.066493,0.063644,0.054820,0.041354,0.080349,0.052063,0.049734,0.076343,0.046743,0.079284,0.072135,0.068198,0.071768,0.095014,0.082058
2018-07-02,0.057778,0.061729,0.037249,0.044901,0.066983,0.062786,0.060502,0.079077,0.063528,0.074484,0.079129,0.097030,0.055212,0.108090,0.051522
2019-01-02,0.124988,0.051073,0.057492,0.058695,0.078118,0.054373,0.065886,0.070149,0.055837,0.085439,0.088116,0.054216,0.046707,0.063874,0.045037
2019-07-01,0.054964,0.084535,0.053144,0.038268,0.092491,0.047867,0.076068,0.087730,0.061576,0.076518,0.059391,0.059526,0.032011,0.137696,0.038216
2020-01-02,0.052010,0.044507,0.043901,0.073243,0.110898,0.054614,0.085226,0.067068,0.058624,0.062405,0.078386,0.076389,0.063627,0.080785,0.048314
2020-07-01,0.059261,0.059259,0.083170,0.043356,0.102115,0.051770,0.064243,0.073158,0.066735,0.062879,0.089940,0.067864,0.050266,0.059085,0.066900
2021-01-04,0.084537,0.053842,0.063712,0.051476,0.074724,0.051047,0.084385,0.070082,0.055295,0.068387,0.057370,0.100521,0.061001,0.067838,0.055782
2021-07-01,0.057583,0.052190,0.057015,0.047694,0.047115,0.039468,0.096306,0.080803,0.061047,0.094033,0.069022,0.049201,0.087263,0.104068,0.057192
2022-01-03,0.061948,0.046960,0.081883,0.050211,0.079749,0.062596,0.098880,0.078193,0.063697,0.064263,0.090400,0.061315,0.049324,0.054019,0.056563
2022-07-01,0.076416,0.057620,0.050667,0.059594,0.075078,0.057058,0.095093,0.077977,0.051764,0.055827,0.074330,0.115817,0.059859,0.044535,0.048367
2023-01-03,0.078984,0.083471,0.059230,0.051047,0.095896,0.053914,0.064982,0.047846,0.056467,0.065128,0.050926,0.084322,0.073731,0.076752,0.057303
2023-07-03,0.106640,0.080692,0.054848,0.049150,0.086026,0.075433,0.042913,0.047729,0.069436,0.064451,0.050897,0.070358,0.059627,0.064410,0.077390
2024-01-02,0.094061,0.066988,0.089586,0.050040,0.076123,0.050010,0.068424,0.070037,0.045040,0.069076,0.059727,0.053152,0.056445,0.078048,0.073244
2024-07-01,0.116023,0.061418,0.080867,0.065312,0.074475,0.040236,0.054279,0.076054,0.049626,0.049893,0.051982,0.059301,0.075643,0.049590,0.095300
2025-01-02,0.084872,0.064685,0.070972,0.052175,0.057653,0.051498,0.088860,0.091024,0.066692,0.057936,0.039878,0.077926,0.066119,0.075537,0.054174
2025-07-01,0.109437,0.066706,0.073980,0.067444,0.059033,0.056213,0.065191,0.084132,0.039324,0.084793,0.045311,0.062276,0.062033,0.060735,0.063391
