rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,20,16.000000,0.300000,0.010000,0.045319,0.349448,0.122114,0.296400,-0.469037,-0.828064,-0.102256,0.400000,0.000000,1.000000,0.000000
1998-07-01,1998,1997,20,16.000000,0.300000,0.010000,0.051814,0.265282,0.070375,0.222210,0.153388,-0.972082,0.460381,0.600000,0.617213,0.792185,0.000000
1999-01-04,1999,1998,20,16.000000,0.300000,0.010000,0.044272,0.353368,0.124869,0.291501,-0.502182,-3.881512,-0.044378,0.400000,0.377964,0.877041,0.000000
1999-07-01,1999,1998,20,16.000000,0.100000,0.001000,0.037584,0.256721,0.065906,0.207044,0.207151,-1.753012,0.464662,0.700000,0.700000,0.703249,0.000000
2000-01-03,2000,1999,20,16.000000,0.300000,0.010000,0.042572,0.319681,0.102196,0.264938,-0.229424,-2.433721,-0.040663,0.500000,0.492366,0.616023,0.000000
2000-07-03,2000,1999,20,16.000000,0.100000,0.010000,0.039389,0.366599,0.134395,0.292439,-0.616781,-2.379643,-0.036090,0.550000,0.424264,0.719218,0.000000
2001-01-02,2001,2000,20,16.000000,0.100000,0.010000,0.046543,0.352723,0.124413,0.271984,-0.496703,-8.249068,0.183459,0.600000,0.654654,0.779011,0.000000
2001-07-02,2001,2000,20,16.000000,0.300000,0.010000,0.048103,0.364081,0.132555,0.301838,-0.594647,-31.322921,0.045113,0.600000,0.568535,0.682407,0.000000
2002-01-02,2002,2001,20,16.000000,0.300000,0.010000,0.046643,0.297363,0.088425,0.254027,-0.063758,-8.252893,0.324812,0.500000,0.529150,0.949127,0.000000
2002-07-01,2002,2001,20,16.000000,0.300000,0.010000,0.044454,0.344951,0.118991,0.270561,-0.431475,-29.036064,0.031579,0.400000,0.436436,0.546016,0.000000
2003-01-02,2003,2002,20,16.000000,0.300000,0.010000,0.046006,0.306112,0.093704,0.257927,-0.127270,-18.157103,0.081203,0.500000,0.420084,0.702521,0.000000
2003-07-01,2003,2002,20,16.000000,0.100000,0.010000,0.043319,0.373294,0.139348,0.319061,-0.676370,-10.099047,0.245482,0.550000,0.395285,0.633076,0.000000
2004-01-02,2004,2003,20,16.000000,0.100000,0.010000,0.042255,0.366958,0.134658,0.288949,-0.619947,-74.749867,-0.227068,0.450000,0.408248,0.881641,0.000000
2004-07-01,2004,2003,20,16.000000,0.100000,0.010000,0.044633,0.321467,0.103341,0.277915,-0.243198,-10.847283,0.079699,0.450000,0.462910,0.453106,0.000000
2005-01-03,2005,2004,20,16.000000,0.300000,0.010000,0.046248,0.337360,0.113812,0.279721,-0.369166,-45.873269,0.072180,0.400000,0.353553,0.753825,0.000000
2005-07-01,2005,2004,20,16.000000,0.300000,0.010000,0.046575,0.287940,0.082910,0.250150,0.002591,-34.045269,0.114348,0.500000,0.306186,0.458726,0.000000
2006-01-03,2006,2005,20,16.000000,0.100000,0.010000,0.046249,0.341488,0.116614,0.274564,-0.402880,-40.373207,0.127820,0.500000,0.458258,0.607409,0.000000
2006-07-03,2006,2005,20,16.000000,0.300000,0.010000,0.042589,0.368391,0.135712,0.305383,-0.632624,-7.799815,-0.109774,0.650000,0.794719,0.604404,0.000000
2007-01-03,2007,2006,19,16.000000,0.100000,0.010000,0.044579,0.374828,0.140496,0.288176,-0.690633,-39.905589,0.261404,0.684211,0.674200,0.514441,0.000000
2007-07-02,2007,2006,19,16.000000,0.100000,0.010000,0.047276,0.364974,0.133206,0.317162,-0.602910,-15.929262,-0.181020,0.631579,0.623610,0.666400,0.000000
2008-01-02,2008,2007,19,16.000000,0.100000,0.010000,0.044743,0.336946,0.113533,0.266780,-0.366175,-8.566742,0.040351,0.421053,0.381881,0.717457,0.000000
2008-07-01,2008,2007,19,16.000000,0.300000,0.010000,0.045599,0.299075,0.089446,0.251765,-0.076334,-4.578060,0.140351,0.473684,0.485071,0.513506,0.000000
2009-01-02,2009,2008,19,16.000000,0.100000,0.010000,0.044495,0.329094,0.108303,0.261098,-0.303242,-14.940828,0.135088,0.684211,0.674200,0.790158,0.000000
2009-07-01,2009,2008,19,16.000000,0.100000,0.010000,0.044910,0.312101,0.097407,0.268882,-0.172128,-2.447565,0.254386,0.473684,0.000000,0.510884,0.000000
2010-01-04,2010,2009,20,16.000000,0.100000,0.010000,0.035499,0.326810,0.106805,0.273521,-0.284866,-20.899007,0.124812,0.500000,0.688247,0.771360,0.000000
2010-07-01,2010,2009,20,16.000000,0.300000,0.010000,0.044296,0.420441,0.176771,0.342783,-1.126564,-2.729331,-0.206015,0.500000,0.000000,0.625386,0.000000
2011-01-03,2011,2010,20,16.000000,0.300000,0.010000,0.047750,0.434155,0.188490,0.351787,-1.267553,-31.749492,-0.470677,0.300000,0.284268,0.783092,0.000000
2011-07-01,2011,2010,20,16.000000,0.100000,0.010000,0.045854,0.376011,0.141384,0.310089,-0.700862,-11.223506,-0.021053,0.450000,0.449467,0.840216,0.000000
2012-01-03,2012,2011,19,32.000000,0.100000,0.010000,0.043388,0.286915,0.082320,0.240328,0.009411,-10.446000,0.335088,0.736842,0.707107,0.700039,0.000000
2012-07-02,2012,2011,20,16.000000,0.100000,0.010000,0.044164,0.330421,0.109178,0.291389,-0.313421,-25.287239,0.034586,0.450000,0.376051,0.546114,0.000000
2013-01-02,2013,2012,20,16.000000,0.100000,0.010000,0.045207,0.357685,0.127939,0.278317,-0.539113,-8.040997,0.085714,0.450000,0.396059,0.511194,0.000000
2013-07-01,2013,2012,20,16.000000,0.100000,0.010000,0.047377,0.293086,0.085899,0.232008,-0.033374,-8.248445,0.257143,0.600000,0.552771,0.677897,0.000000
2014-01-02,2014,2013,20,16.000000,0.300000,0.010000,0.044986,0.338502,0.114584,0.288719,-0.378449,-31.574330,-0.022556,0.500000,0.492366,0.789791,0.000000
2014-07-01,2014,2013,20,16.000000,0.300000,0.010000,0.047854,0.363743,0.132309,0.285924,-0.591687,-26.430065,-0.187970,0.500000,0.314485,0.614294,0.000000
2015-01-02,2015,2014,19,16.000000,0.100000,0.010000,0.046879,0.303622,0.092186,0.230742,-0.109306,-30.034536,0.231579,0.473684,0.476731,0.808692,0.000000
2015-07-01,2015,2014,19,16.000000,0.300000,0.010000,0.043912,0.453898,0.206023,0.350374,-1.479143,-22.872755,-0.552632,0.315789,0.308607,0.518998,0.000000
2016-01-04,2016,2015,19,16.000000,0.100000,0.010000,0.043120,0.382088,0.145991,0.326968,-0.756759,-12.065308,-0.252632,0.421053,0.426401,0.681601,0.000000
2016-07-01,2016,2015,20,16.000000,0.300000,0.010000,0.045894,0.393663,0.154971,0.317117,-0.864311,-6.720259,-0.302256,0.500000,0.327327,0.737269,0.000000
2017-01-03,2017,2016,20,16.000000,0.300000,0.010000,0.043144,0.250455,0.062728,0.217834,0.245381,-9.519726,0.550376,0.800000,0.856349,0.766529,0.000000
2017-07-03,2017,2016,20,16.000000,0.300000,0.010000,0.039083,0.273423,0.074760,0.234077,0.100629,-3.104524,0.362406,0.600000,,0.590409,0.000000
2018-01-02,2018,2017,20,16.000000,0.100000,0.010000,0.043295,0.331759,0.110064,0.263567,-0.324078,-18.887816,0.114286,0.600000,0.594588,0.565287,0.000000
2018-07-02,2018,2017,20,16.000000,0.300000,0.010000,0.040704,0.336376,0.113149,0.288767,-0.361185,-12.323981,-0.225564,0.450000,0.288675,0.617161,0.000000
2019-01-02,2019,2018,20,16.000000,0.300000,0.010000,0.048311,0.363778,0.132335,0.309720,-0.591995,-3.336072,0.066165,0.400000,,0.614263,0.000000
2019-07-01,2019,2018,20,32.000000,0.300000,0.010000,0.047979,0.347284,0.120606,0.261201,-0.450900,-9.386038,0.123308,0.650000,0.000000,0.527303,0.000000
2020-01-02,2020,2019,20,16.000000,0.300000,0.010000,0.046636,0.294312,0.086619,0.242162,-0.042038,-7.355072,0.223392,0.600000,0.603023,0.724902,0.000000
2020-07-01,2020,2019,20,32.000000,0.300000,0.010000,0.040692,0.292068,0.085304,0.238866,-0.026212,-1.096760,0.305263,0.400000,0.440959,0.695269,0.000000
2021-01-04,2021,2020,20,16.000000,0.300000,0.010000,0.046338,0.338728,0.114736,0.267133,-0.380287,-3.923625,0.133835,0.650000,0.541603,0.911109,0.000000
2021-07-01,2021,2020,20,32.000000,0.300000,0.010000,0.039927,0.366511,0.134330,0.308270,-0.616003,-2.557729,-0.112782,0.350000,0.363137,0.504786,0.000000
2022-01-03,2022,2021,20,16.000000,0.100000,0.010000,0.040661,0.391485,0.153261,0.326713,-0.843738,-7.754610,-0.336842,0.400000,0.440959,0.656377,0.000000
2022-07-01,2022,2021,20,16.000000,0.300000,0.001000,0.046177,0.343181,0.117773,0.297357,-0.416819,-12.142692,-0.231579,0.450000,0.426401,0.462428,0.000000
2023-01-03,2023,2022,20,16.000000,0.300000,0.010000,0.044142,0.275330,0.075807,0.231934,0.088041,0.229320,0.338346,0.550000,0.565685,0.812773,0.000000
2023-07-03,2023,2022,20,32.000000,0.300000,0.010000,0.046667,0.335289,0.112419,0.268777,-0.352403,-13.565062,0.052632,0.400000,0.422577,0.292532,0.000000
2024-01-02,2024,2023,20,16.000000,0.300000,0.010000,0.040884,0.317057,0.100525,0.262025,-0.209327,-0.060316,0.164157,0.450000,0.396059,0.561693,0.000000
2024-07-01,2024,2023,20,16.000000,0.300000,0.010000,0.044120,0.345232,0.119185,0.301244,-0.433806,-1.499910,-0.192481,0.350000,0.342997,0.459680,0.000000
2025-01-02,2025,2024,20,16.000000,0.100000,0.010000,0.044275,0.277329,0.076911,0.257518,0.074753,-6.970811,0.381135,0.600000,0.628971,0.565711,0.000000
2025-07-01,2025,2024,20,16.000000,0.300000,0.010000,0.044859,0.348675,0.121574,0.281355,-0.462549,-2.458953,-0.091868,0.550000,0.513553,0.858003,0.000000
