date,log_return,cumulative_value
1998-01-02,0.010575,1.010631
1998-01-05,0.005926,1.016639
1998-01-06,-0.008474,1.008060
1998-01-07,-0.006779,1.001249
1998-01-08,-0.004304,0.996949
1998-01-09,-0.030830,0.966683
1998-01-12,0.018905,0.985135
1998-01-13,0.011238,0.996267
1998-01-14,0.003652,0.999912
1998-01-15,-0.005086,0.994840
1998-01-16,0.008661,1.003493
1998-01-20,0.025877,1.029800
1998-01-21,-0.014349,1.015129
1998-01-22,-0.010117,1.004912
1998-01-23,-0.003538,1.001364
1998-01-26,-0.004482,0.996887
1998-01-27,0.018865,1.015872
1998-01-28,0.013977,1.030171
1998-01-29,0.008263,1.038720
1998-01-30,-0.004253,1.034313
1998-02-02,0.019753,1.054946
1998-02-03,0.004550,1.059758
1998-02-04,0.002289,1.062188
1998-02-05,-0.005802,1.056043
1998-02-06,0.007452,1.063943
1998-02-09,-0.008689,1.054737
1998-02-10,0.011332,1.066757
1998-02-11,0.003762,1.070776
1998-02-12,0.006103,1.077330
1998-02-13,-0.005148,1.071798
1998-02-17,0.001678,1.073599
1998-02-18,0.010830,1.085292
1998-02-19,-0.001304,1.083880
1998-02-20,0.007315,1.091838
1998-02-23,0.008581,1.101251
1998-02-24,-0.008083,1.092386
1998-02-25,0.015580,1.109538
1998-02-26,-0.001016,1.108408
1998-02-27,-0.005870,1.101919
1998-03-02,-0.007073,1.094152
1998-03-03,0.002160,1.096516
1998-03-04,-0.008987,1.086707
1998-03-05,-0.018423,1.066863
1998-03-06,0.021202,1.089725
1998-03-09,-0.006473,1.082692
1998-03-10,0.008612,1.092054
1998-03-11,0.007507,1.100283
1998-03-12,0.006327,1.107267
1998-03-13,0.001195,1.108591
1998-03-16,0.011362,1.121258
1998-03-17,0.000013,1.121272
1998-03-18,-0.002330,1.118663
1998-03-19,0.006339,1.125777
1998-03-20,0.007026,1.133714
1998-03-23,-0.003595,1.129646
1998-03-24,0.013344,1.144822
1998-03-25,0.001146,1.146136
1998-03-26,-0.000213,1.145891
1998-03-27,-0.004454,1.140799
1998-03-30,-0.004608,1.135554
1998-03-31,0.008552,1.145307
1998-04-01,0.004658,1.150653
1998-04-02,0.010077,1.162308
1998-04-03,0.004341,1.167366
1998-04-06,0.002477,1.170268
1998-04-07,-0.009596,1.159086
1998-04-08,-0.012711,1.144446
1998-04-09,0.005344,1.150578
1998-04-13,-0.002893,1.147255
1998-04-14,0.006813,1.155097
1998-04-15,0.004606,1.160429
1998-04-16,-0.007578,1.151669
1998-04-17,0.021289,1.176451
1998-04-20,0.010868,1.189310
1998-04-21,0.014090,1.206188
1998-04-22,0.008716,1.216744
1998-04-23,-0.007880,1.207193
1998-04-24,-0.009970,1.195220
1998-04-27,-0.020487,1.170981
1998-04-28,-0.005094,1.165035
1998-04-29,0.004304,1.170060
1998-04-30,0.014658,1.187335
1998-05-01,0.005103,1.193411
1998-05-04,0.004792,1.199143
1998-05-05,-0.005726,1.192295
1998-05-06,-0.007964,1.182838
1998-05-07,-0.008860,1.172404
1998-05-08,0.012517,1.187172
1998-05-11,-0.005963,1.180115
1998-05-12,0.011827,1.194156
1998-05-13,0.003451,1.198287
1998-05-14,-0.001564,1.196415
1998-05-15,-0.010356,1.184091
1998-05-18,0.006723,1.192079
1998-05-19,0.004960,1.198009
1998-05-20,0.006565,1.205890
1998-05-21,-0.008081,1.196183
1998-05-22,-0.008072,1.186565
1998-05-26,-0.015420,1.168407
1998-05-27,0.007182,1.176829
1998-05-28,0.001468,1.178559
1998-05-29,-0.012521,1.163891
1998-06-01,-0.000932,1.162807
1998-06-02,0.006098,1.169920
1998-06-03,-0.013824,1.153858
1998-06-04,0.018205,1.175058
1998-06-05,0.020874,1.199842
1998-06-08,-0.001040,1.198595
1998-06-09,0.010744,1.211544
1998-06-10,-0.005122,1.205351
1998-06-11,-0.012639,1.190213
