rebalance_date,mom_1w,mom_1m,mom_3m,mom_6m,mom_12_1,ma_ratio,dist_52w_high,max_dd_12m,vol_1m,vol_6m,vol_12m,vol_ratio,bb_position,rsi,sharpe_6m
1998-01-02,0.046188,0.055865,0.115447,0.055343,0.053084,0.080694,0.071862,0.102239,0.064307,0.062166,0.047445,0.050954,0.053446,0.081508,0.059451
1999-01-04,0.056879,0.104019,0.081514,0.050375,0.049015,0.063357,0.079624,0.093430,0.073249,0.056218,0.080491,0.047652,0.053187,0.057001,0.053989
2000-01-03,0.088718,0.075952,0.057919,0.061121,0.059692,0.069818,0.057213,0.059964,0.064501,0.060398,0.077787,0.086279,0.063568,0.060541,0.056529
2001-01-02,0.105491,0.061108,0.044636,0.043745,0.068970,0.062264,0.047240,0.056383,0.067485,0.043461,0.071979,0.081271,0.099577,0.092746,0.053646
2002-01-02,0.049368,0.064095,0.065390,0.034697,0.069363,0.071175,0.066389,0.078535,0.062560,0.053941,0.097920,0.061598,0.084038,0.071140,0.069791
2003-01-02,0.052125,0.043657,0.084210,0.051380,0.045331,0.045446,0.078484,0.081903,0.078198,0.047278,0.112267,0.067614,0.080456,0.088377,0.043274
2004-01-02,0.053841,0.040195,0.061328,0.051609,0.056780,0.051967,0.081779,0.081642,0.099629,0.058460,0.051752,0.127757,0.067128,0.059671,0.056463
2005-01-03,0.045478,0.115109,0.059909,0.062261,0.052239,0.046604,0.062529,0.068702,0.050907,0.061818,0.056571,0.095011,0.127581,0.042616,0.052666
2006-01-03,0.082167,0.088720,0.065221,0.060898,0.081340,0.058206,0.098350,0.044626,0.030716,0.060643,0.057006,0.081902,0.074703,0.045970,0.069532
2007-01-03,0.067544,0.119068,0.087250,0.062439,0.051626,0.045943,0.061660,0.053404,0.052518,0.087273,0.064950,0.053939,0.073833,0.069149,0.049403
2008-01-02,0.037954,0.091890,0.089727,0.053796,0.074176,0.042365,0.069533,0.066799,0.073165,0.065853,0.046405,0.047559,0.102505,0.061962,0.076311
2009-01-02,0.061710,0.082568,0.071668,0.053664,0.069057,0.066704,0.075629,0.082935,0.048584,0.065118,0.045774,0.067543,0.109004,0.059465,0.040576
2010-01-04,0.085353,0.076718,0.039331,0.048076,0.092890,0.118114,0.082165,0.075399,0.052816,0.050962,0.044285,0.061784,0.076570,0.050965,0.044572
2011-01-03,0.093655,0.059547,0.069537,0.045231,0.084656,0.057612,0.049247,0.079354,0.066447,0.055310,0.078980,0.060240,0.050783,0.071743,0.077659
2012-01-03,0.076664,0.084535,0.063175,0.055753,0.102113,0.106878,0.041600,0.064759,0.054506,0.045581,0.058348,0.048221,0.055531,0.070855,0.071483
2013-01-02,0.064813,0.075742,0.050049,0.082483,0.077665,0.113724,0.053561,0.055263,0.047792,0.044438,0.057363,0.071169,0.051415,0.100546,0.053979
2014-01-02,0.076829,0.073224,0.070729,0.066512,0.070783,0.086202,0.050593,0.053805,0.074428,0.026711,0.073864,0.053645,0.077030,0.068634,0.077012
2015-01-02,0.074673,0.124585,0.033085,0.074131,0.069188,0.040148,0.056511,0.058990,0.052650,0.056174,0.072646,0.066727,0.085140,0.082226,0.053126
2016-01-04,0.076205,0.051601,0.050057,0.059721,0.047723,0.047606,0.071078,0.053004,0.077340,0.061820,0.075984,0.077433,0.086156,0.076268,0.088004
2017-01-03,0.103952,0.081394,0.049945,0.073970,0.060416,0.053155,0.042533,0.076815,0.052814,0.066871,0.057659,0.076971,0.063776,0.076892,0.062836
2018-01-02,0.107141,0.069320,0.039805,0.055579,0.074496,0.051783,0.073630,0.113838,0.042730,0.082112,0.042798,0.050543,0.066799,0.076929,0.052497
2019-01-02,0.099249,0.079461,0.034336,0.073305,0.062676,0.060001,0.044774,0.065533,0.063524,0.114446,0.052278,0.055137,0.071614,0.065177,0.058489
2020-01-02,0.073511,0.068984,0.047277,0.101155,0.039317,0.078496,0.069360,0.058406,0.063566,0.085975,0.068179,0.066082,0.077272,0.046861,0.055558
2021-01-04,0.072629,0.032529,0.082031,0.056346,0.063791,0.045039,0.115451,0.063146,0.066901,0.077401,0.063442,0.047655,0.080054,0.050169,0.083416
2022-01-03,0.045723,0.059069,0.052632,0.077587,0.091398,0.061281,0.074644,0.090150,0.048137,0.067658,0.057405,0.049792,0.046017,0.073606,0.104901
2023-01-03,0.052664,0.049332,0.054585,0.064348,0.075818,0.055546,0.058034,0.086283,0.080186,0.083774,0.057729,0.071840,0.048351,0.074133,0.087376
2024-01-02,0.050406,0.058176,0.044523,0.045176,0.079596,0.053153,0.051091,0.081174,0.092226,0.052034,0.071496,0.050208,0.079493,0.087619,0.103629
2025-01-02,0.061183,0.085133,0.061158,0.045029,0.086317,0.074260,0.057798,0.055690,0.078078,0.044468,0.049903,0.073234,0.065311,0.096016,0.066423
