rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.01,1.0
1998-01-01,MSFT,0.1,0.0
1998-01-01,XOM,0.01,0.0
1998-01-01,GE,0.05355,0.0
1998-01-01,INTC,0.06239,0.0
1998-01-01,MRK,0.01,0.0
1998-01-01,PG,0.1,0.0
1998-01-01,IBM,0.1,0.0
1998-01-01,PFE,0.1,0.0
1998-01-01,BMY,0.1,0.0
1998-01-01,WMT,0.04877,0.0
1998-01-01,JNJ,0.01,0.0
1998-01-01,LLY,0.1,0.0
1998-01-01,VZ,0.04529,0.0
1998-01-01,DIS,0.01,0.0
1998-01-01,AIG,0.01,0.0
1998-01-01,C,0.1,0.0
1998-01-01,CSCO,0.01,0.0
1998-01-01,PEP,0.01,0.0
1998-01-01,T,0.01,0.0
1998-04-01,KO,0.01,0.6616650029444368
1998-04-01,MSFT,0.1,0.0
1998-04-01,XOM,0.01,0.0
1998-04-01,GE,0.08594,0.0
1998-04-01,INTC,0.1,0.0
1998-04-01,MRK,0.01,0.0
1998-04-01,PG,0.01,0.0
1998-04-01,IBM,0.01,0.0
1998-04-01,PFE,0.1,0.0
1998-04-01,BMY,0.1,0.0
1998-04-01,WMT,0.1,0.0
1998-04-01,JNJ,0.01,0.0
1998-04-01,LLY,0.01,0.0
1998-04-01,VZ,0.1,0.0
1998-04-01,DIS,0.01,0.0
1998-04-01,AIG,0.07861,0.0
1998-04-01,C,0.03546,0.0
1998-04-01,CSCO,0.01,0.0
1998-04-01,PEP,0.01,0.0
1998-04-01,T,0.1,0.0
1998-07-01,KO,0.01,0.44925260919509313
1998-07-01,MSFT,0.1,0.0
1998-07-01,XOM,0.03853,0.0
1998-07-01,GE,0.01,0.0
1998-07-01,INTC,0.01,0.0
1998-07-01,MRK,0.01,0.0
1998-07-01,PG,0.0914,0.0
1998-07-01,IBM,0.1,0.0
1998-07-01,PFE,0.1,0.0
1998-07-01,BMY,0.1,0.0
1998-07-01,WMT,0.1,0.0
1998-07-01,JNJ,0.01,0.0
1998-07-01,LLY,0.01,0.0
1998-07-01,VZ,0.06882,0.0
1998-07-01,DIS,0.01,0.0
1998-07-01,AIG,0.1,0.0
1998-07-01,C,0.04203,0.0
1998-07-01,CSCO,0.01,0.0
1998-07-01,PEP,0.01,0.0
1998-07-01,T,0.06921,0.0
1998-10-01,KO,0.01,0.3964503892951573
1998-10-01,MSFT,0.1,0.0
1998-10-01,XOM,0.1,0.0
1998-10-01,GE,0.01,0.0
1998-10-01,INTC,0.01,0.0
1998-10-01,MRK,0.01,0.0
1998-10-01,PG,0.01,0.0
1998-10-01,IBM,0.1,0.0
1998-10-01,PFE,0.1,0.0
1998-10-01,BMY,0.09,0.0
1998-10-01,WMT,0.1,0.0
1998-10-01,JNJ,0.01,0.0
1998-10-01,LLY,0.1,0.0
1998-10-01,VZ,0.1,0.0
1998-10-01,DIS,0.01,0.0
1998-10-01,AIG,0.01,0.0
1998-10-01,C,0.01,0.0
1998-10-01,CSCO,0.01,0.0
