rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.01,1.0
1998-01-01,MSFT,0.1,0.0
1998-01-01,XOM,0.01,0.0
1998-01-01,GE,0.05355,0.0
1998-01-01,INTC,0.06239,0.0
1998-01-01,MRK,0.01,0.0
1998-01-01,PG,0.1,0.0
1998-01-01,IBM,0.1,0.0
1998-01-01,PFE,0.1,0.0
1998-01-01,BMY,0.1,0.0
1998-01-01,WMT,0.04877,0.0
1998-01-01,JNJ,0.01,0.0
1998-01-01,LLY,0.1,0.0
1998-01-01,VZ,0.04529,0.0
1998-01-01,DIS,0.01,0.0
1998-01-01,AIG,0.01,0.0
1998-01-01,C,0.1,0.0
1998-01-01,CSCO,0.01,0.0
1998-01-01,PEP,0.01,0.0
1998-01-01,T,0.01,0.0
1998-07-01,KO,0.01,0.5243386478541907
1998-07-01,MSFT,0.1,0.0
1998-07-01,XOM,0.03853,0.0
1998-07-01,GE,0.01,0.0
1998-07-01,INTC,0.01,0.0
1998-07-01,MRK,0.01,0.0
1998-07-01,PG,0.0914,0.0
1998-07-01,IBM,0.1,0.0
1998-07-01,PFE,0.1,0.0
1998-07-01,BMY,0.1,0.0
1998-07-01,WMT,0.1,0.0
1998-07-01,JNJ,0.01,0.0
1998-07-01,LLY,0.01,0.0
1998-07-01,VZ,0.06882,0.0
1998-07-01,DIS,0.01,0.0
1998-07-01,AIG,0.1,0.0
1998-07-01,C,0.04203,0.0
1998-07-01,CSCO,0.01,0.0
1998-07-01,PEP,0.01,0.0
1998-07-01,T,0.06921,0.0
1999-01-01,MSFT,0.1,0.4647683396250376
1999-01-01,GE,0.01,0.0
1999-01-01,INTC,0.01,0.0
1999-01-01,WMT,0.1,0.0
1999-01-01,XOM,0.02715,0.0
1999-01-01,KO,0.01,0.0
1999-01-01,IBM,0.1,0.0
1999-01-01,MRK,0.01,0.0
1999-01-01,PFE,0.1,0.0
1999-01-01,CSCO,0.05896,0.0
1999-01-01,BMY,0.1,0.0
1999-01-01,PG,0.01,0.0
1999-01-01,C,0.01,0.0
1999-01-01,JNJ,0.01,0.0
1999-01-01,BAC,0.01,0.0
1999-01-01,LLY,0.02388,0.0
1999-01-01,VZ,0.1,0.0
1999-01-01,HD,0.1,0.0
1999-01-01,AIG,0.01,0.0
1999-01-01,T,0.1,0.0
1999-07-01,MSFT,0.1,0.35267230168256475
1999-07-01,GE,0.01,0.0
1999-07-01,INTC,0.01,0.0
1999-07-01,WMT,0.1,0.0
1999-07-01,XOM,0.09234,0.0
1999-07-01,KO,0.01,0.0
1999-07-01,IBM,0.1,0.0
1999-07-01,MRK,0.01,0.0
1999-07-01,PFE,0.01,0.0
1999-07-01,CSCO,0.1,0.0
1999-07-01,BMY,0.03712,0.0
1999-07-01,PG,0.01,0.0
1999-07-01,C,0.01,0.0
1999-07-01,JNJ,0.07054,0.0
1999-07-01,BAC,0.01,0.0
1999-07-01,LLY,0.01,0.0
1999-07-01,VZ,0.1,0.0
1999-07-01,HD,0.1,0.0
