rebalance_date,invest_year,select_year,ticker,assigned_weight,opt_method,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.05767,max_sharpe,1.0,0.0
1998-01-02,1998,1997,MSFT,0.09689,max_sharpe,0.0,0.0
1998-01-02,1998,1997,XOM,0.03909,max_sharpe,0.0,0.0
1998-01-02,1998,1997,GE,0.16573,max_sharpe,0.0,0.0
1998-01-02,1998,1997,INTC,0.05727,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PG,0.03384,max_sharpe,0.0,0.0
1998-01-02,1998,1997,IBM,0.07086,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PFE,0.07787,max_sharpe,0.0,0.0
1998-01-02,1998,1997,BMY,0.00953,max_sharpe,0.0,0.0
1998-01-02,1998,1997,LLY,0.11635,max_sharpe,0.0,0.0
1998-01-02,1998,1997,VZ,0.01557,max_sharpe,0.0,0.0
1998-01-02,1998,1997,AIG,0.03573,max_sharpe,0.0,0.0
1998-01-02,1998,1997,C,0.12024,max_sharpe,0.0,0.0
1998-01-02,1998,1997,CSCO,0.04409,max_sharpe,0.0,0.0
1998-01-02,1998,1997,T,0.05927,max_sharpe,0.0,0.0
1998-07-01,1998,1997,KO,0.11932,max_sharpe,0.779159,0.0
1998-07-01,1998,1997,MSFT,0.22915,max_sharpe,0.0,0.0
1998-07-01,1998,1997,XOM,0.02119,max_sharpe,0.0,0.0
1998-07-01,1998,1997,GE,0.09334,max_sharpe,0.0,0.0
1998-07-01,1998,1997,PG,0.00264,max_sharpe,0.0,0.0
1998-07-01,1998,1997,IBM,0.04618,max_sharpe,0.0,0.0
1998-07-01,1998,1997,PFE,0.19402,max_sharpe,0.0,0.0
1998-07-01,1998,1997,BMY,0.0586,max_sharpe,0.0,0.0
1998-07-01,1998,1997,JNJ,0.00529,max_sharpe,0.0,0.0
1998-07-01,1998,1997,LLY,0.07637,max_sharpe,0.0,0.0
1998-07-01,1998,1997,AIG,0.11369,max_sharpe,0.0,0.0
1998-07-01,1998,1997,CSCO,0.03789,max_sharpe,0.0,0.0
1998-07-01,1998,1997,T,0.00232,max_sharpe,0.0,0.0
1999-01-04,1999,1998,MSFT,0.29762,max_sharpe,0.629635,0.0
1999-01-04,1999,1998,XOM,0.06126,max_sharpe,0.0,0.0
1999-01-04,1999,1998,IBM,0.08312,max_sharpe,0.0,0.0
1999-01-04,1999,1998,PFE,0.18632,max_sharpe,0.0,0.0
1999-01-04,1999,1998,CSCO,0.0302,max_sharpe,0.0,0.0
1999-01-04,1999,1998,BMY,0.10314,max_sharpe,0.0,0.0
1999-01-04,1999,1998,JNJ,0.03158,max_sharpe,0.0,0.0
1999-01-04,1999,1998,LLY,0.06824,max_sharpe,0.0,0.0
1999-01-04,1999,1998,HD,0.0287,max_sharpe,0.0,0.0
1999-01-04,1999,1998,T,0.10981,max_sharpe,0.0,0.0
1999-07-01,1999,1998,MSFT,0.18797,max_sharpe,0.715021,0.0
1999-07-01,1999,1998,GE,0.0035,max_sharpe,0.0,0.0
1999-07-01,1999,1998,XOM,0.13124,max_sharpe,0.0,0.0
1999-07-01,1999,1998,IBM,0.126,max_sharpe,0.0,0.0
1999-07-01,1999,1998,MRK,0.02897,max_sharpe,0.0,0.0
1999-07-01,1999,1998,PFE,0.08488,max_sharpe,0.0,0.0
1999-07-01,1999,1998,CSCO,0.14288,max_sharpe,0.0,0.0
1999-07-01,1999,1998,BMY,0.09632,max_sharpe,0.0,0.0
1999-07-01,1999,1998,JNJ,0.10576,max_sharpe,0.0,0.0
1999-07-01,1999,1998,VZ,0.04586,max_sharpe,0.0,0.0
1999-07-01,1999,1998,AIG,0.00509,max_sharpe,0.0,0.0
1999-07-01,1999,1998,T,0.04152,max_sharpe,0.0,0.0
2000-01-03,2000,1999,MSFT,0.1941,max_sharpe,0.85158,0.0
2000-01-03,2000,1999,CSCO,0.17689,max_sharpe,0.0,0.0
2000-01-03,2000,1999,WMT,0.06492,max_sharpe,0.0,0.0
2000-01-03,2000,1999,GE,0.13222,max_sharpe,0.0,0.0
2000-01-03,2000,1999,XOM,0.12671,max_sharpe,0.0,0.0
2000-01-03,2000,1999,HD,0.04174,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PG,0.03689,max_sharpe,0.0,0.0
2000-01-03,2000,1999,QCOM,0.13315,max_sharpe,0.0,0.0
2000-01-03,2000,1999,BMY,0.03346,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PFE,0.00065,max_sharpe,0.0,0.0
2000-01-03,2000,1999,VZ,0.05928,max_sharpe,0.0,0.0
2000-07-03,2000,1999,CSCO,0.30854,max_sharpe,0.799824,0.0
2000-07-03,2000,1999,GE,0.21922,max_sharpe,0.0,0.0
2000-07-03,2000,1999,XOM,0.1355,max_sharpe,0.0,0.0
2000-07-03,2000,1999,HD,0.06334,max_sharpe,0.0,0.0
2000-07-03,2000,1999,ORCL,0.0376,max_sharpe,0.0,0.0
2000-07-03,2000,1999,AIG,0.04169,max_sharpe,0.0,0.0
2000-07-03,2000,1999,JNJ,0.01341,max_sharpe,0.0,0.0
2000-07-03,2000,1999,QCOM,0.01214,max_sharpe,0.0,0.0
2000-07-03,2000,1999,PFE,0.16857,max_sharpe,0.0,0.0
2001-01-02,2001,2000,XOM,0.18693,max_sharpe,0.728102,0.0
2001-01-02,2001,2000,GE,0.07229,max_sharpe,0.0,0.0
2001-01-02,2001,2000,CSCO,0.14846,max_sharpe,0.0,0.0
2001-01-02,2001,2000,PFE,0.13949,max_sharpe,0.0,0.0
2001-01-02,2001,2000,WMT,0.10242,max_sharpe,0.0,0.0
2001-01-02,2001,2000,AIG,0.20063,max_sharpe,0.0,0.0
2001-01-02,2001,2000,ORCL,0.06707,max_sharpe,0.0,0.0
2001-01-02,2001,2000,JNJ,0.00606,max_sharpe,0.0,0.0
2001-01-02,2001,2000,IBM,0.03606,max_sharpe,0.0,0.0
2001-01-02,2001,2000,BMY,0.02173,max_sharpe,0.0,0.0
2001-01-02,2001,2000,HD,0.00409,max_sharpe,0.0,0.0
2001-01-02,2001,2000,LLY,0.01476,max_sharpe,0.0,0.0
2001-07-02,2001,2000,XOM,0.17038,max_sharpe,0.681999,0.0
2001-07-02,2001,2000,GE,0.03164,max_sharpe,0.0,0.0
2001-07-02,2001,2000,PFE,0.11155,max_sharpe,0.0,0.0
2001-07-02,2001,2000,WMT,0.10262,max_sharpe,0.0,0.0
2001-07-02,2001,2000,MSFT,0.13985,max_sharpe,0.0,0.0
2001-07-02,2001,2000,C,0.03054,max_sharpe,0.0,0.0
2001-07-02,2001,2000,AIG,0.18131,max_sharpe,0.0,0.0
