rebalance_date,invest_year,select_year,ticker,assigned_weight,opt_method,turnover,tc_drag_bps
1998-01-02,1998,1997,KO,0.05767,max_sharpe,1.0,0.0
1998-01-02,1998,1997,MSFT,0.09689,max_sharpe,0.0,0.0
1998-01-02,1998,1997,XOM,0.03909,max_sharpe,0.0,0.0
1998-01-02,1998,1997,GE,0.16573,max_sharpe,0.0,0.0
1998-01-02,1998,1997,INTC,0.05727,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PG,0.03384,max_sharpe,0.0,0.0
1998-01-02,1998,1997,IBM,0.07086,max_sharpe,0.0,0.0
1998-01-02,1998,1997,PFE,0.07787,max_sharpe,0.0,0.0
1998-01-02,1998,1997,BMY,0.00953,max_sharpe,0.0,0.0
1998-01-02,1998,1997,LLY,0.11635,max_sharpe,0.0,0.0
1998-01-02,1998,1997,VZ,0.01557,max_sharpe,0.0,0.0
1998-01-02,1998,1997,AIG,0.03573,max_sharpe,0.0,0.0
1998-01-02,1998,1997,C,0.12024,max_sharpe,0.0,0.0
1998-01-02,1998,1997,CSCO,0.04409,max_sharpe,0.0,0.0
1998-01-02,1998,1997,T,0.05927,max_sharpe,0.0,0.0
1999-01-04,1999,1998,MSFT,0.29762,max_sharpe,0.975819,0.0
1999-01-04,1999,1998,XOM,0.06126,max_sharpe,0.0,0.0
1999-01-04,1999,1998,IBM,0.08312,max_sharpe,0.0,0.0
1999-01-04,1999,1998,PFE,0.18632,max_sharpe,0.0,0.0
1999-01-04,1999,1998,CSCO,0.0302,max_sharpe,0.0,0.0
1999-01-04,1999,1998,BMY,0.10314,max_sharpe,0.0,0.0
1999-01-04,1999,1998,JNJ,0.03158,max_sharpe,0.0,0.0
1999-01-04,1999,1998,LLY,0.06824,max_sharpe,0.0,0.0
1999-01-04,1999,1998,HD,0.0287,max_sharpe,0.0,0.0
1999-01-04,1999,1998,T,0.10981,max_sharpe,0.0,0.0
2000-01-03,2000,1999,MSFT,0.1941,max_sharpe,1.237246,0.0
2000-01-03,2000,1999,CSCO,0.17689,max_sharpe,0.0,0.0
2000-01-03,2000,1999,WMT,0.06492,max_sharpe,0.0,0.0
2000-01-03,2000,1999,GE,0.13222,max_sharpe,0.0,0.0
2000-01-03,2000,1999,XOM,0.12671,max_sharpe,0.0,0.0
2000-01-03,2000,1999,HD,0.04174,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PG,0.03689,max_sharpe,0.0,0.0
2000-01-03,2000,1999,QCOM,0.13315,max_sharpe,0.0,0.0
2000-01-03,2000,1999,BMY,0.03346,max_sharpe,0.0,0.0
2000-01-03,2000,1999,PFE,0.00065,max_sharpe,0.0,0.0
2000-01-03,2000,1999,VZ,0.05928,max_sharpe,0.0,0.0
2001-01-02,2001,2000,XOM,0.18693,max_sharpe,0.991004,0.0
2001-01-02,2001,2000,GE,0.07229,max_sharpe,0.0,0.0
2001-01-02,2001,2000,CSCO,0.14846,max_sharpe,0.0,0.0
2001-01-02,2001,2000,PFE,0.13949,max_sharpe,0.0,0.0
2001-01-02,2001,2000,WMT,0.10242,max_sharpe,0.0,0.0
2001-01-02,2001,2000,AIG,0.20063,max_sharpe,0.0,0.0
2001-01-02,2001,2000,ORCL,0.06707,max_sharpe,0.0,0.0
2001-01-02,2001,2000,JNJ,0.00606,max_sharpe,0.0,0.0
2001-01-02,2001,2000,IBM,0.03606,max_sharpe,0.0,0.0
2001-01-02,2001,2000,BMY,0.02173,max_sharpe,0.0,0.0
2001-01-02,2001,2000,HD,0.00409,max_sharpe,0.0,0.0
2001-01-02,2001,2000,LLY,0.01476,max_sharpe,0.0,0.0
2002-01-02,2002,2001,MSFT,0.05871,max_sharpe,1.073763,0.0
2002-01-02,2002,2001,XOM,0.05752,max_sharpe,0.0,0.0
2002-01-02,2002,2001,WMT,0.2438,max_sharpe,0.0,0.0
2002-01-02,2002,2001,PFE,0.07567,max_sharpe,0.0,0.0
2002-01-02,2002,2001,IBM,0.1384,max_sharpe,0.0,0.0
2002-01-02,2002,2001,JNJ,0.20475,max_sharpe,0.0,0.0
2002-01-02,2002,2001,AIG,0.11788,max_sharpe,0.0,0.0
2002-01-02,2002,2001,HD,0.10327,max_sharpe,0.0,0.0
2003-01-02,2003,2002,WMT,0.51471,max_sharpe,0.858062,0.0
2003-01-02,2003,2002,JNJ,0.42847,max_sharpe,0.0,0.0
2003-01-02,2003,2002,IBM,0.05682,max_sharpe,0.0,0.0
2004-01-02,2004,2003,C,0.54303,max_sharpe,1.6837,0.0
2004-01-02,2004,2003,JNJ,0.15815,max_sharpe,0.0,0.0
2004-01-02,2004,2003,PG,0.02192,max_sharpe,0.0,0.0
2004-01-02,2004,2003,WFC,0.21561,max_sharpe,0.0,0.0
2004-01-02,2004,2003,CVX,0.06129,max_sharpe,0.0,0.0
2005-01-03,2005,2004,BAC,0.43947,max_sharpe,1.380338,0.0
2005-01-03,2005,2004,JNJ,0.18785,max_sharpe,0.0,0.0
2005-01-03,2005,2004,CVX,0.21503,max_sharpe,0.0,0.0
2005-01-03,2005,2004,WFC,0.05822,max_sharpe,0.0,0.0
2005-01-03,2005,2004,UPS,0.09943,max_sharpe,0.0,0.0
2006-01-03,2006,2005,BAC,0.45754,max_sharpe,0.787058,0.0
2006-01-03,2006,2005,PG,0.37667,max_sharpe,0.0,0.0
2006-01-03,2006,2005,CVX,0.16579,max_sharpe,0.0,0.0
2007-01-03,2007,2006,XOM,0.13258,max_sharpe,0.65461,0.0
2007-01-03,2007,2006,BAC,0.21855,max_sharpe,0.0,0.0
2007-01-03,2007,2006,PG,0.34919,max_sharpe,0.0,0.0
2007-01-03,2007,2006,CVX,0.10495,max_sharpe,0.0,0.0
2007-01-03,2007,2006,WFC,0.19472,max_sharpe,0.0,0.0
2008-01-02,2008,2007,PG,0.14923,max_sharpe,1.442415,0.0
2008-01-02,2008,2007,GOOGL,0.3541,max_sharpe,0.0,0.0
2008-01-02,2008,2007,CVX,0.17059,max_sharpe,0.0,0.0
2008-01-02,2008,2007,AAPL,0.32608,max_sharpe,0.0,0.0
2009-01-02,2009,2008,XOM,0.42885,max_sharpe,1.443298,0.0
2009-01-02,2009,2008,GOOGL,0.57115,max_sharpe,0.0,0.0
2010-01-04,2010,2009,GOOGL,0.15601,max_sharpe,1.68797,0.0
2010-01-04,2010,2009,AAPL,0.72548,max_sharpe,0.0,0.0
2010-01-04,2010,2009,KO,0.1185,max_sharpe,0.0,0.0
2011-01-03,2011,2010,AAPL,0.4629,max_sharpe,0.872861,0.0
2011-01-03,2011,2010,IBM,0.01828,max_sharpe,0.0,0.0
2011-01-03,2011,2010,ORCL,0.09793,max_sharpe,0.0,0.0
