rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_min_samples_split,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.29699514483012895,0.08820611605266926,0.2626108947791577,-0.06112620815241199,-60.0966783819261,-0.05864661654135337,0.4,0.28867513459481287,1,230,1,5,-0.18116995822869897,0.9999999999999998,0.0
1998-02-02,1998,1997,20,0.27891308692397787,0.07779251005746245,0.24007991629392414,0.06415025494782023,-55.66539211822941,0.2796992481203007,0.8,0.6110100926607787,1,100,4,2,-0.16044860323182464,0.39094173869560406,0.0
1998-03-02,1998,1997,20,0.30012773911092033,0.09007665978383267,0.2621358299439213,-0.08362898988069367,-27.924150840021706,-0.2541353383458646,0.6,0.414578098794425,5,100,10,2,0.0034790060363598663,0.4830997143084563,0.0
1998-04-01,1998,1997,20,0.30034121487136656,0.09020484535040836,0.2496155346238671,-0.0851710718846117,-38.675541867928324,-0.1639097744360902,0.5,0.4605661864718383,1,180,10,5,0.0633336167959061,0.39243306150557944,0.0
1998-05-01,1998,1997,20,0.2976818788959665,0.08861450102303285,0.25773039889825244,-0.06603911005152296,-89.9865746326321,-0.16842105263157892,0.4,0.3535533905932738,1,230,10,2,-0.03887919862033096,0.3888150663683539,0.0
1998-06-01,1998,1997,20,0.2859797793952733,0.08178443422296919,0.2357952634746628,0.016127107092099968,-15.121497990563388,0.10075187969924812,0.65,0.4,1,50,1,2,-0.005067917138330769,0.5126773860354943,0.0
1998-07-01,1998,1997,20,0.3177743114550383,0.10098051302072371,0.2893968731052444,-0.21480316415908218,-68.38412877800553,-0.17142857142857143,0.3,0.28426762180748055,10,100,1,2,0.25519817659093225,0.6093316443103152,0.0
1998-08-03,1998,1997,20,0.2912686937794329,0.08483745197597703,0.25562786144909944,-0.0206009260267912,-17.171128277474907,0.05263157894736842,0.2,0.39735970711951313,1,135,10,2,-0.08755755188053715,0.5084527729469067,0.0
1998-09-01,1998,1997,20,0.3132411055337656,0.09811999019601567,0.2754960496814803,-0.18039085950094025,-26.088875337347424,-0.41804511278195483,0.35,0.24618298195866545,1,230,10,2,0.026528498409078116,0.5168242462273113,0.0
1998-10-01,1998,1997,20,0.3105606624661887,0.09644792507143798,0.27002623979749096,-0.16027579033308847,-6.581646260702755,-0.19849624060150375,0.9,,1,50,1,5,0.015834311648756372,0.4681895008058097,0.0
1998-11-02,1998,1997,20,0.2909145729541994,0.08463128875712421,0.247037462110889,-0.018120767002997917,-22.12570353408272,0.10526315789473684,0.5,0.0,1,100,10,5,-0.002872927095280975,0.4880641597026782,0.0
1998-12-01,1998,1997,20,0.30317553630665284,0.09191540581482657,0.2583505843039817,-0.10574924288513166,-43.11155747067602,-0.18646616541353384,0.55,0.3450327796711771,2,50,10,2,-0.06488949035446323,0.5480031625724023,0.0
1999-01-04,1999,1998,20,0.28536265885822426,0.08143184707063526,0.24365047627314582,0.020368757044989305,-22.18094068489093,0.08571428571428572,0.6,0.414578098794425,1,50,1,10,-0.1201009893785061,0.892146915791963,0.0
1999-02-01,1999,1998,20,0.2862434664385055,0.08193532207873182,0.2502037380957313,0.014311914842323858,-59.67380372812987,0.14586466165413534,0.4,0.3481553119113957,1,135,10,5,-0.264783385775456,0.5137837785598993,0.0
1999-03-01,1999,1998,20,0.32233815683261546,0.10390188735024782,0.27993312370065887,-0.24994751699546214,-38.757651844665,-0.28120300751879695,0.65,0.5863019699779287,5,180,1,2,-0.05822966411477193,0.6849612389552865,0.0
1999-04-01,1999,1998,20,0.25958818276981327,0.06738602463373397,0.21519408186258185,0.1893410570377868,-21.620137293623248,0.4466165413533834,0.65,0.6513389472789296,20,50,1,5,-0.24117765635833033,0.5702549854547327,0.0
1999-05-03,1999,1998,20,0.34780801573702363,0.12097041581092569,0.30518631894234927,-0.4552831977254219,-66.3733735504254,-0.12932330827067667,0.45,0.3960590171906697,20,135,10,2,0.12635732699181934,0.5976001118228265,0.0
1999-06-01,1999,1998,20,0.26554436673709514,0.07051381070580487,0.22504406187834497,0.15171355541888898,-12.79730579256553,0.4661654135338345,0.7,0.6859943405700354,10,180,1,2,-0.18677773218767668,0.43129926233846305,0.0
1999-07-01,1999,1998,20,0.29810167137519444,0.08886460647668441,0.2570132830944749,-0.06904789746387263,-65.77071526328108,-0.2421052631578947,0.35,0.3450327796711771,1,135,10,2,-0.2072772331504218,0.6972271743577853,0.0
1999-08-02,1999,1998,20,0.2563467740876913,0.06571366858516584,0.22170488418701534,0.20945962604311763,-31.73885687777897,0.47067669172932325,0.55,0.46291004988627577,5,50,10,2,-0.1478405534771432,0.3942124653338001,0.0
1999-09-01,1999,1998,20,0.3271782022219372,0.10704557600917886,0.2913199239351268,-0.28776632792997137,-46.95679340063609,-0.4676691729323308,0.5,0.529150262212918,2,50,2,10,-0.020542246745230308,0.6257217504800968,0.0
1999-10-01,1999,1998,20,0.3152395490158159,0.099375973263695,0.2831960480089589,-0.19550043023993968,-11.204619575624935,-0.28421052631578947,0.65,0.6567895774291853,10,50,10,5,0.10796649158179583,0.62302601068337,0.0
1999-11-01,1999,1998,20,0.29702598841675804,0.08822443779495207,0.25630013422899844,-0.06134662008964886,-52.137635910858734,-0.09924812030075188,0.4,0.0,2,50,4,5,0.08147544067231871,0.5690161883222091,0.0
1999-12-01,1999,1998,20,0.2838682155179311,0.08058116378133458,0.23754195162721675,0.030602540976426118,-15.66725945848782,0.24511278195488717,0.7,0.674199862463242,2,50,1,5,0.02702821720369286,0.6715246556651636,0.0
2000-01-03,2000,1999,20,0.3309113231139151,0.10950230376500192,0.274820715766679,-0.31732094754889517,-22.448647690411402,-0.4030075187969925,0.5,0.4898979485566356,1,100,2,5,-0.06785493385308539,0.7009582466776583,0.0
2000-02-01,2000,1999,20,0.23740869637473344,0.056362889114350376,0.21223733520532884,0.3219502061431533,-15.102711215364288,0.6446032798840174,0.9,0.9354143466934853,1,50,1,2,0.3024487449726423,0.4481470471276747,0.0
2000-03-01,2000,1999,20,0.2968077948929306,0.08809486710920393,0.25876269921811995,-0.059787874997941914,-8.010500816011273,-0.03609022556390977,0.5,0.42008402520840293,1,230,10,2,-0.21002190429345702,0.5478711118023396,0.0
2000-04-03,2000,1999,20,0.3313159753028648,0.10977027549088851,0.2680440309366399,-0.3205446675595609,-31.101972097931906,-0.17627149902230332,0.55,0.3651483716701107,1,50,1,2,0.2740617226686337,0.32965447764033995,0.0
2000-05-01,2000,1999,20,0.3237348149045231,0.10480423038126582,0.277879170637938,-0.2608027715039496,-19.144911063053655,-0.3759398496240601,0.45,0.42640143271122083,1,180,10,10,-0.2493495489317139,0.3064408800796934,0.0
2000-06-01,2000,1999,20,0.29257368039342957,0.08559935845895668,0.24273360167824323,-0.029766718303238182,-31.11901194046949,0.24060150375939846,0.5,0.529150262212918,2,50,1,10,-0.3119357579504618,0.7172289224938798,0.0
2000-07-03,2000,1999,20,0.3011133998027981,0.09066927954079973,0.2637678447357517,-0.09075825011488381,-49.82203760224243,-0.030075187969924807,0.55,0.5504818825631803,1,100,10,2,-0.08787536244626093,0.747640477760689,0.0
2000-08-01,2000,1999,20,0.3023326003617754,0.09140500124151299,0.2547562577600852,-0.09960903749188565,-23.05749003781227,-0.045112781954887216,0.55,0.5504818825631803,5,50,10,2,0.062115478803555724,0.6830593934268311,0.0
2000-09-01,2000,1999,20,0.28326867229199054,0.08024114070206714,0.24608699043692947,0.03469304418565833,-13.282913070377205,0.17744360902255638,0.7,0.6846531968814576,1,230,10,10,-0.031194861844129784,0.8107086876426661,0.0
2000-10-02,2000,1999,20,0.31098452272868615,0.09671137337678873,0.2746365808171406,-0.16344509325460144,-19.075491123406497,-0.2270676691729323,0.25,0.20100756305184242,1,180,10,10,-0.10420508793648087,0.5352269139320278,0.0
2000-11-01,2000,1999,20,0.27095459787421267,0.0734163941091763,0.2401270272121873,0.11679525883697695,-22.52085023137303,0.4631578947368421,0.45,0.42640143271122083,1,135,10,2,-0.0196219450769608,0.496299784559454,0.0
2000-12-01,2000,1999,20,0.3258641968419544,0.106187474783452,0.2808744931608658,-0.2774433056655876,-28.059451185919976,-0.6060150375939849,0.45,0.4242640687119285,1,100,1,10,-0.048016538566656,0.7661989574019664,0.0
