rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_depth,best_n_estimators,best_min_leaf,best_min_samples_split,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.3053839410408453,0.09325935144563849,0.2635004037555939,-0.12191700987234277,0.5216989726357126,0.06616541353383458,0.55,0.0,5,50,2,10,0.09954615420359214,1.0000000000000002,0.0
1999-01-04,1999,1998,20,0.2757684951940154,0.07604826294157171,0.23278536517451998,0.08513367889838552,0.09098095577336796,0.3080984747868463,0.55,0.554700196225229,1,230,1,2,0.03649522527736726,0.7807279901618971,0.0
2000-01-03,2000,1999,20,0.3450375355765599,0.11905090095674584,0.30013337004105023,-0.43219128970521314,-3.211470271193546,-0.3037593984962406,0.45,0.42640143271122083,20,50,1,10,0.24015876357061738,0.7612815017094545,0.0
2001-01-02,2001,2000,20,0.28431872405849307,0.08083713685024953,0.24628272766740938,0.027523165711283992,-5.305880307345601,-0.03909774436090225,0.55,0.5590169943749475,2,50,1,2,0.15310080011403682,0.7384203866648905,0.0
2002-01-02,2002,2001,20,0.31023708289018515,0.09624704760021162,0.26915249659106,-0.15785921925066604,-6.178961469648571,-0.5703040602511003,0.55,0.5270462766947299,1,50,4,10,-0.11658678005780887,0.7628340903041844,0.0
2003-01-02,2003,2002,20,0.2805822024844963,0.07872637235105086,0.24427227537577428,0.05291582134074169,-0.5569453468464665,-0.0461255054350269,0.5,0.42008402520840293,1,50,1,5,-0.19155528544704015,0.6314467558875938,0.0
2004-01-02,2004,2003,20,0.3175835605863202,0.10085931795468492,0.2704969580128505,-0.21334517840222444,-6.074278387131914,-0.5468036359699939,0.4,0.3779644730092272,1,135,1,2,0.03078882033182928,0.49720430014557954,0.0
2005-01-03,2005,2004,20,0.28785283559478825,0.08285925495996019,0.2461117610090285,0.0031969328125091012,-30.829530556209143,-0.003007518796992481,0.45,0.0,1,230,10,2,-0.01164924844399895,1.1705931760515615,0.0
2006-01-03,2006,2005,20,0.29030329961668966,0.08427600576833749,0.24932652407042394,-0.013846685934887137,-3.128046049722996,-0.1518796992481203,0.85,0.0,1,180,1,2,-0.01205898915729775,0.9676375677688158,0.0
2007-01-03,2007,2006,19,0.2978590672525195,0.08872002394454093,0.26008211543218956,-0.0675976214659757,-4.637144944555227,-0.2378236297398824,0.47368421052631576,0.408248290463863,1,50,1,2,0.020549272730315038,0.6681548298460179,0.0
2008-01-02,2008,2007,19,0.312089829610044,0.0974000617460263,0.26571681803168057,-0.17204740967718335,-3.539681322938491,-0.2356447897661363,0.05263157894736842,0.0,1,100,2,10,0.04558536527702639,0.6405415427034091,0.0
2009-01-02,2009,2008,19,0.2846134998453854,0.0810048442942392,0.24721263334092522,0.025241706992655044,-0.5563555940814611,0.29473684210526313,0.5263157894736842,0.47809144373375745,2,180,10,2,0.03923766540521967,0.7458156669822961,0.0
2010-01-04,2010,2009,20,0.2940519658131796,0.08646655859859535,0.2515043071612251,-0.040199201186109645,-6.8777455223004935,0.04360902255639097,0.65,0.0,1,135,1,2,-0.13519482057863352,0.975441552439817,0.0
2011-01-03,2011,2010,20,0.3134558670000192,0.09825458055673372,0.2639874770665241,-0.18200999165995446,-5.310382412754521,-0.2526315789473684,0.65,0.4916891718944416,2,180,1,5,-0.11588558420578154,0.6326385170002307,0.0
2012-01-03,2012,2011,19,0.2952113651287532,0.08714975010118202,0.25697466708219296,-0.04870199288422361,-5.031361773535104,0.02280701754385965,0.9473684210526315,0.0,1,50,1,2,-0.14963978797655542,0.6614004007303316,0.0
2013-01-02,2013,2012,20,0.3019985885435075,0.09120314748227074,0.255174293693835,-0.09718072159122682,-0.8621272398791495,-0.037593984962406006,0.8,0.8885233166386386,5,50,10,2,-0.06676161327227659,0.7894161001874873,0.0
2014-01-02,2014,2013,20,0.28727758728668973,0.08252841215726163,0.24786926128637213,0.007176996604371211,-5.908191551117325,0.05714285714285714,0.7,0.3779644730092272,1,100,1,2,-0.11547899039790055,0.648619091926457,0.0
2015-01-02,2015,2014,19,0.2855637217518806,0.08154663918078547,0.24722002774247945,0.01872210852454803,-11.192666912732875,0.46532063587991157,0.631578947368421,0.5477225575051661,1,100,2,10,-0.14787496483919726,0.7700490297714904,0.0
2016-01-04,2016,2015,19,0.28973082789919197,0.08394395263515118,0.24563694268116346,-0.010125563376319313,-2.867703805914565,0.20193159670260313,0.47368421052631576,,1,230,1,2,0.053073294517224534,1.1290974478429754,0.0
2017-01-03,2017,2016,20,0.26310080631883553,0.0692220342856214,0.22635603316146743,0.1672537228797426,-0.11523806578190787,0.38195488721804516,0.7,0.816496580927726,5,135,1,10,0.07976378167642606,0.8621313321061297,0.0
2018-01-02,2018,2017,20,0.32086541360851384,0.10295461365016267,0.2665341670038265,-0.23855174315985184,-13.463708841140543,-0.10375939849624059,0.45,0.44946657497549475,2,100,1,2,0.25934741620499446,0.6022134032979598,0.0
2019-01-02,2019,2018,20,0.24944918012435446,0.06222489346471264,0.21348739825793261,0.25142985305608867,0.3561766468863753,0.5329202104182579,0.6,0.7608859102526822,1,180,2,2,0.08466481544053805,0.5546564859132196,0.0
2020-01-02,2020,2019,20,0.30129325531469114,0.09077762569812367,0.22856961561342012,-0.09206166253381842,-1.1757441853111144,0.13689357869182167,0.45,0.0,2,100,1,2,-0.1701326233333591,0.8299466579259444,0.0
