rebalance_date,n_stocks,best_learning_rate,best_max_depth,best_reg_lambda,best_n_estimators,best_gamma,RMSE,MSE,MAE,R_squared,Spearman,Directional_Accuracy,Geometric_Score
1998-01-02,20,0.01,1,5,200,0.0,0.28922176816876644,0.08364923118266768,0.250128373503685,-0.006306540543370653,-0.000758176479685776,0.5,0.0
1998-02-02,20,0.01,1,5,200,0.0,0.29376962685676344,0.08630059366356202,0.25340495109558103,-0.03820263053909212,-0.175717239922013,0.65,0.0
1998-03-02,20,0.01,1,3,200,0.0,0.28355256145723234,0.08040205510895754,0.24544609934091569,0.032757231771939455,0.20671563864820428,0.55,0.0
1998-04-01,20,0.01,1,3,50,0.0,0.2911849058398108,0.08478864938893949,0.2517672848701477,-0.02001382723536227,-0.04649532012357523,0.45,0.0
1998-05-01,20,0.01,1,1,100,0.0,0.28551248583838296,0.08151737956961284,0.24676482796669003,0.01933979465127411,0.13091455071080477,0.4,0.0
1998-06-01,20,0.01,1,1,100,0.0,0.284789540081079,0.0811050821395925,0.24441342473030087,0.0242997637342256,0.16968282285254374,0.75,0.0
1998-07-01,20,0.01,1,5,200,0.0,0.2869481158899729,0.0823392212128053,0.2491631686687469,0.009452977891063918,0.02410550413980216,0.4,0.0
1998-08-03,20,0.05,1,5,50,0.0,0.2956746449553866,0.08742349566949392,0.25897997766733166,-0.051711226099175,-0.2147707070923455,0.25,0.45883146774112354
1998-09-01,20,0.05,1,1,50,0.0,0.2855568081272133,0.08154269066780209,0.24612665176391596,0.0190353002369672,0.11366209729118272,0.65,0.5504818825631803
1998-10-01,20,0.05,1,5,50,0.0,0.2812812659394559,0.07911915056850291,0.24560906738042831,0.04819066985259657,0.3924677392761539,0.95,
1998-11-02,20,0.01,5,1,50,0.0,0.2897833980836175,0.08397441780488835,0.24964673042297364,-0.010218560058807169,-0.012030075187969924,0.7,0.0
1998-12-01,20,0.05,1,5,50,0.0,0.2833330145219453,0.08027759711809289,0.24536485046148301,0.03425447075978483,0.26290065452471734,0.7,0.5345224838248488
1999-01-04,20,0.01,2,1,50,0.0,0.2863015391530885,0.08196857132142746,0.24695852398872375,0.013911923952752425,0.05352449841327685,0.8,0.0
1999-02-01,20,0.01,3,5,50,0.0,0.28605853672271486,0.0818294864319408,0.2469069167971611,0.0155851256307874,0.17237496873960823,0.4,0.0
1999-03-01,20,0.01,3,5,50,0.0,0.2904509303598012,0.08436174294687408,0.2518813639879227,-0.014878110639086728,-0.1275480779532362,0.75,0.0
