rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected
1998-01-02,1998,1997,MSFT,0.09486013650894165,1.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,IBM,0.09486013650894165,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,MRK,0.09486013650894165,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,INTC,0.09486013650894165,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,KO,0.060795657336711884,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,XOM,0.060795657336711884,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,JNJ,0.060795657336711884,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,PFE,0.04876409098505974,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,C,0.04876409098505974,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,CSCO,0.04876409098505974,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,LLY,0.04876409098505974,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,AIG,0.040623683482408524,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,T,0.040623683482408524,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,DIS,0.040623683482408524,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,PG,0.040623683482408524,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,VZ,0.040623683482408524,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,GE,0.009999406524002552,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,BMY,0.009999406524002552,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,WMT,0.009999406524002552,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-01-02,1998,1997,PEP,0.009999406524002552,0.0,0.0,0.05,5,10,0.001,300,1.0,1.0,0.06747
1998-02-02,1998,1997,LLY,0.09734329581260681,0.658737,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,C,0.09734329581260681,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,PFE,0.09734329581260681,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,BMY,0.09734329581260681,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,KO,0.083645761013031,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,JNJ,0.08121827244758606,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,IBM,0.06862883269786835,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,CSCO,0.06862883269786835,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,INTC,0.06862883269786835,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,DIS,0.03846495971083641,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,MSFT,0.038430195301771164,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,PEP,0.033416252583265305,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,T,0.031050778925418854,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
1998-02-02,1998,1997,VZ,0.031050778925418854,0.0,0.0,0.005,5,3,0.005,100,1.0,1.0,-0.033197
