rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
1998-01-02,1998,1997,CSCO,0.10000624507665634,1.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,INTC,0.10000624507665634,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,BMY,0.10000624507665634,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,LLY,0.10000624507665634,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,C,0.10000624507665634,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,IBM,0.09456767141819,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,MSFT,0.07556638866662979,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,T,0.0579986572265625,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,JNJ,0.0494469478726387,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,MRK,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,DIS,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,GE,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,WMT,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,AIG,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,PG,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,PFE,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,PEP,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,KO,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
1998-01-02,1998,1997,XOM,0.02021719701588154,0.0,0.0,0.05,1,1,0.5,300,3,1.0,1.0,0.0397
