Category,Metric,Value
Returns,Cumulative Return,1039.22%
Returns,Annualized Return,9.10%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,17.37%
Risk,Maximum Drawdown,-45.62%
Risk,DD Duration to Trough (days),1414
Risk,Recovery Duration (days),743
Risk,Value at Risk (95%),-1.64%
Risk,CVaR / Expected Shortfall,-2.60%
Ratios,Sharpe Ratio,0.524
Ratios,Sortino Ratio,0.738
Ratios,Calmar Ratio,0.199
Ratios,Omega Ratio,1.099
Benchmark,Beta,0.847
Benchmark,Alpha (Annualized),2.95%
Benchmark,Information Ratio,0.268
Dotcom Crash,Max Drawdown (%),-34.18%
Dotcom Crash,Days: Peak to Trough,595
Dotcom Crash,Days: Trough to Breakeven,1464
Dotcom Crash,Days: Peak to Breakeven (Total),2059
Dotcom Crash,Cumulative Return (Crisis),26.31%
Dotcom Crash,Annualized Return (Crisis),3.31%
Dotcom Crash,Annualized Volatility (Crisis),15.45%
Dotcom Crash,Sharpe Ratio (Crisis),0.214
Dotcom Crash,Sortino Ratio (Crisis),0.303
GFC,Max Drawdown (%),-45.62%
GFC,Days: Peak to Trough,517
GFC,Days: Trough to Breakeven,1074
GFC,Days: Peak to Breakeven (Total),1591
GFC,Cumulative Return (Crisis),21.61%
GFC,Annualized Return (Crisis),3.65%
GFC,Annualized Volatility (Crisis),21.52%
GFC,Sharpe Ratio (Crisis),0.169
GFC,Sortino Ratio (Crisis),0.236
Monetary Policy,Max Drawdown (%),-15.03%
Monetary Policy,Days: Peak to Trough,94
Monetary Policy,Days: Trough to Breakeven,101
Monetary Policy,Days: Peak to Breakeven (Total),195
Monetary Policy,Cumulative Return (Crisis),1.96%
Monetary Policy,Annualized Return (Crisis),3.41%
Monetary Policy,Annualized Volatility (Crisis),16.82%
Monetary Policy,Sharpe Ratio (Crisis),0.203
Monetary Policy,Sortino Ratio (Crisis),0.286
COVID-19,Max Drawdown (%),-29.72%
COVID-19,Days: Peak to Trough,33
COVID-19,Days: Trough to Breakeven,154
COVID-19,Days: Peak to Breakeven (Total),187
COVID-19,Cumulative Return (Crisis),-0.06%
COVID-19,Annualized Return (Crisis),-0.13%
COVID-19,Annualized Volatility (Crisis),42.52%
COVID-19,Sharpe Ratio (Crisis),-0.003
COVID-19,Sortino Ratio (Crisis),-0.004
Russia/Ukraine,Max Drawdown (%),-25.22%
Russia/Ukraine,Days: Peak to Trough,287
Russia/Ukraine,Days: Trough to Breakeven,279
Russia/Ukraine,Days: Peak to Breakeven (Total),566
Russia/Ukraine,Cumulative Return (Crisis),9.06%
Russia/Ukraine,Annualized Return (Crisis),4.34%
Russia/Ukraine,Annualized Volatility (Crisis),17.35%
Russia/Ukraine,Sharpe Ratio (Crisis),0.250
Russia/Ukraine,Sortino Ratio (Crisis),0.350
Trade Policy Shock,Max Drawdown (%),-16.48%
Trade Policy Shock,Days: Peak to Trough,54
Trade Policy Shock,Days: Trough to Breakeven,128
Trade Policy Shock,Days: Peak to Breakeven (Total),182
Trade Policy Shock,Cumulative Return (Crisis),-3.00%
Trade Policy Shock,Annualized Return (Crisis),-8.26%
Trade Policy Shock,Annualized Volatility (Crisis),23.63%
Trade Policy Shock,Sharpe Ratio (Crisis),-0.350
Trade Policy Shock,Sortino Ratio (Crisis),-0.513
