Category,Metric,Value
Returns,Cumulative Return,1794.52%
Returns,Annualized Return,11.10%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,20.98%
Risk,Maximum Drawdown,-50.74%
Risk,DD Duration to Trough (days),1780
Risk,Recovery Duration (days),869
Risk,Value at Risk (95%),-2.06%
Risk,CVaR / Expected Shortfall,-3.14%
Ratios,Sharpe Ratio,0.529
Ratios,Sortino Ratio,0.747
Ratios,Calmar Ratio,0.219
Ratios,Omega Ratio,1.097
Benchmark,Beta,1.032
Benchmark,Alpha (Annualized),3.62%
Benchmark,Information Ratio,0.550
Dotcom Crash,Max Drawdown (%),-47.69%
Dotcom Crash,Days: Peak to Trough,772
Dotcom Crash,Days: Trough to Breakeven,1818
Dotcom Crash,Days: Peak to Breakeven (Total),2590
Dotcom Crash,Cumulative Return (Crisis),3.39%
Dotcom Crash,Annualized Return (Crisis),0.47%
Dotcom Crash,Annualized Volatility (Crisis),18.68%
Dotcom Crash,Sharpe Ratio (Crisis),0.025
Dotcom Crash,Sortino Ratio (Crisis),0.036
GFC,Max Drawdown (%),-50.74%
GFC,Days: Peak to Trough,517
GFC,Days: Trough to Breakeven,1256
GFC,Days: Peak to Breakeven (Total),1773
GFC,Cumulative Return (Crisis),6.47%
GFC,Annualized Return (Crisis),1.15%
GFC,Annualized Volatility (Crisis),25.44%
GFC,Sharpe Ratio (Crisis),0.045
GFC,Sortino Ratio (Crisis),0.063
Monetary Policy,Max Drawdown (%),-19.97%
Monetary Policy,Days: Peak to Trough,117
Monetary Policy,Days: Trough to Breakeven,101
Monetary Policy,Days: Peak to Breakeven (Total),218
Monetary Policy,Cumulative Return (Crisis),4.33%
Monetary Policy,Annualized Return (Crisis),7.59%
Monetary Policy,Annualized Volatility (Crisis),21.55%
Monetary Policy,Sharpe Ratio (Crisis),0.352
Monetary Policy,Sortino Ratio (Crisis),0.496
COVID-19,Max Drawdown (%),-33.88%
COVID-19,Days: Peak to Trough,33
COVID-19,Days: Trough to Breakeven,154
COVID-19,Days: Peak to Breakeven (Total),187
COVID-19,Cumulative Return (Crisis),-0.41%
COVID-19,Annualized Return (Crisis),-0.83%
COVID-19,Annualized Volatility (Crisis),49.51%
COVID-19,Sharpe Ratio (Crisis),-0.017
COVID-19,Sortino Ratio (Crisis),-0.022
Russia/Ukraine,Max Drawdown (%),-30.97%
Russia/Ukraine,Days: Peak to Trough,322
Russia/Ukraine,Days: Trough to Breakeven,225
Russia/Ukraine,Days: Peak to Breakeven (Total),547
Russia/Ukraine,Cumulative Return (Crisis),31.60%
Russia/Ukraine,Annualized Return (Crisis),14.41%
Russia/Ukraine,Annualized Volatility (Crisis),22.92%
Russia/Ukraine,Sharpe Ratio (Crisis),0.629
Russia/Ukraine,Sortino Ratio (Crisis),0.909
Trade Policy Shock,Max Drawdown (%),-19.99%
Trade Policy Shock,Days: Peak to Trough,54
Trade Policy Shock,Days: Trough to Breakeven,106
Trade Policy Shock,Days: Peak to Breakeven (Total),160
Trade Policy Shock,Cumulative Return (Crisis),-2.13%
Trade Policy Shock,Annualized Return (Crisis),-5.90%
Trade Policy Shock,Annualized Volatility (Crisis),29.99%
Trade Policy Shock,Sharpe Ratio (Crisis),-0.197
Trade Policy Shock,Sortino Ratio (Crisis),-0.288
