rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
1998-01-02,1998,1997,20,22.4,0.2,38.4,0.01,0.028477,0.310245,0.096548,0.248118,-0.161478,0.596375,0.242212,0.4,0.193601,1.0,0.0
1999-01-04,1999,1998,20,19.2,0.22,38.4,0.01,0.030818,0.288862,0.083668,0.242459,-0.006533,0.149412,0.341474,0.56,0.548078,0.756867,0.0
2000-01-03,2000,1999,20,22.4,0.2,44.8,0.01,0.035995,0.382649,0.147281,0.317746,-0.771804,-3.863417,-0.333835,0.34,0.335793,0.607699,0.0
2001-01-02,2001,2000,20,25.6,0.24,32.0,0.01,0.033921,0.418723,0.176485,0.317613,-1.123124,-7.55769,-0.181955,0.57,0.571378,0.677853,0.0
2002-01-02,2002,2001,20,25.6,0.22,44.8,0.01,0.031465,0.317802,0.101065,0.255906,-0.215824,-6.876517,0.181059,0.46,0.593596,0.699725,0.0
2003-01-02,2003,2002,20,19.2,0.22,32.0,0.01,0.035501,0.358337,0.131402,0.286313,-0.580775,-1.80545,0.222413,0.66,0.446501,0.959953,0.0
2004-01-02,2004,2003,20,28.8,0.2,51.2,0.01,0.035999,0.365482,0.134219,0.29324,-0.614665,-9.837272,-0.03609,0.63,0.408744,0.758894,0.0
2005-01-03,2005,2004,20,28.8,0.22,51.2,0.01,0.04004,0.371836,0.140001,0.303253,-0.684225,-35.505066,-0.321203,0.4,0.363725,0.635595,0.0
2006-01-03,2006,2005,20,25.6,0.2,32.0,0.01,0.034701,0.30643,0.094631,0.246428,-0.138415,-4.041348,0.293496,0.65,0.687075,0.697467,0.0
2007-01-03,2007,2006,19,19.2,0.24,32.0,0.01,0.036571,0.392817,0.155974,0.337615,-0.876891,-7.967303,-0.014386,0.568421,0.501849,0.776441,0.0
2008-01-02,2008,2007,19,22.4,0.22,38.4,0.01,0.03532,0.321848,0.104336,0.269966,-0.25551,-3.714544,0.2157,0.410526,0.0,0.65598,0.0
2009-01-02,2009,2008,19,22.4,0.22,44.8,0.01,0.034234,0.298273,0.09042,0.228212,-0.088051,-0.842871,0.301053,0.652632,0.581725,0.810417,0.0
2010-01-04,2010,2009,20,19.2,0.22,51.2,0.01,0.038475,0.344307,0.119658,0.274899,-0.439496,-8.398961,0.091879,0.56,0.533879,0.859596,0.0
2011-01-03,2011,2010,20,22.4,0.22,51.2,0.01,0.033472,0.435141,0.190334,0.36147,-1.28973,-8.710789,-0.472432,0.44,0.263802,0.944867,0.0
2012-01-03,2012,2011,19,28.8,0.24,44.8,0.01,0.038669,0.362292,0.132671,0.297019,-0.596473,-6.815023,-0.100702,0.526316,0.156347,0.745683,0.0
2013-01-02,2013,2012,20,28.8,0.2,64.0,0.01,0.04148,0.391175,0.153866,0.331784,-0.851016,-0.961357,-0.266186,0.49,0.396268,0.723918,0.0
2014-01-02,2014,2013,20,19.2,0.22,32.0,0.01,0.037722,0.343535,0.118621,0.2952,-0.427016,-9.144955,0.068879,0.62,0.543815,0.769188,0.0
2015-01-02,2015,2014,19,25.6,0.2,44.8,0.01,0.037458,0.358914,0.129032,0.282639,-0.552685,-16.222851,0.125965,0.578947,0.569327,0.799577,0.0
2016-01-04,2016,2015,19,22.4,0.24,38.4,0.01,0.037914,0.373892,0.140833,0.319844,-0.694696,-4.224555,-0.160373,0.536842,,0.816778,0.0
2017-01-03,2017,2016,20,28.8,0.2,32.0,0.01,0.033751,0.269093,0.073125,0.21818,0.120297,-0.606945,0.541353,0.64,0.689447,0.733341,0.0
2018-01-02,2018,2017,20,22.4,0.2,38.4,0.01,0.03177,0.354812,0.126451,0.30785,-0.521215,-15.619813,-0.041347,0.46,0.447974,0.725296,0.0
2019-01-02,2019,2018,20,19.2,0.22,44.8,0.01,0.03109,0.234851,0.055339,0.197573,0.334265,0.140664,0.640086,0.59,0.750748,0.560898,0.0
2020-01-02,2020,2019,20,16.0,0.2,38.4,0.01,0.031119,0.308183,0.096179,0.250837,-0.157035,-1.329857,0.316339,0.53,0.38674,0.683973,0.0
2021-01-04,2021,2020,20,19.2,0.2,44.8,0.01,0.034913,0.318029,0.101962,0.243281,-0.226616,0.06222,0.242731,0.51,0.486503,0.951557,0.0
2022-01-03,2022,2021,20,28.8,0.22,44.8,0.01,0.033499,0.40317,0.164499,0.330744,-0.978941,-5.728578,-0.407519,0.36,0.173387,0.828164,0.0
2023-01-03,2023,2022,20,25.6,0.22,57.6,0.01,0.032416,0.272032,0.07484,0.225365,0.099667,0.429268,0.434286,0.54,0.567586,0.858392,0.0
2024-01-02,2024,2023,20,22.4,0.2,51.2,0.01,0.032429,0.338436,0.114867,0.265732,-0.38186,0.478506,0.227251,0.46,0.473916,0.767539,0.0
2025-01-02,2025,2024,20,22.4,0.2,51.2,0.01,0.034722,0.317846,0.102101,0.264709,-0.228289,-1.267619,0.108571,0.51,0.532087,0.815518,0.0
