Category,Metric,Value
Returns,Cumulative Return,1756.36%
Returns,Annualized Return,11.02%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,21.59%
Risk,Maximum Drawdown,-57.50%
Risk,Value at Risk (95%),-2.10%
Risk,CVaR / Expected Shortfall,-3.25%
Ratios,Sharpe Ratio,0.510
Ratios,Sortino Ratio,0.720
Ratios,Calmar Ratio,0.192
Ratios,Omega Ratio,1.095
Benchmark,Beta,1.056
Benchmark,Alpha (Annualized),3.37%
Benchmark,Information Ratio,0.495
Dotcom Crash,Max Drawdown (%),-39.97%
Dotcom Crash,Days: Peak → Trough,840
Dotcom Crash,Days: Trough → Breakeven,1498
Dotcom Crash,Days: Peak → Breakeven (Total),2338
Dotcom Crash,Cumulative Return (Crisis),23.61%
Dotcom Crash,Annualized Return (Crisis),3.00%
Dotcom Crash,Annualized Volatility (Crisis),19.43%
Dotcom Crash,Sharpe Ratio (Crisis),0.154
Dotcom Crash,Sortino Ratio (Crisis),0.222
GFC,Max Drawdown (%),-57.50%
GFC,Days: Peak → Trough,517
GFC,Days: Trough → Breakeven,1520
GFC,Days: Peak → Breakeven (Total),2037
GFC,Cumulative Return (Crisis),-3.85%
GFC,Annualized Return (Crisis),-0.72%
GFC,Annualized Volatility (Crisis),27.10%
GFC,Sharpe Ratio (Crisis),-0.026
GFC,Sortino Ratio (Crisis),-0.036
Monetary Policy,Max Drawdown (%),-18.88%
Monetary Policy,Days: Peak → Trough,117
Monetary Policy,Days: Trough → Breakeven,81
Monetary Policy,Days: Peak → Breakeven (Total),198
Monetary Policy,Cumulative Return (Crisis),5.23%
Monetary Policy,Annualized Return (Crisis),9.21%
Monetary Policy,Annualized Volatility (Crisis),20.16%
Monetary Policy,Sharpe Ratio (Crisis),0.457
Monetary Policy,Sortino Ratio (Crisis),0.651
COVID-19,Max Drawdown (%),-32.39%
COVID-19,Days: Peak → Trough,33
COVID-19,Days: Trough → Breakeven,142
COVID-19,Days: Peak → Breakeven (Total),175
COVID-19,Cumulative Return (Crisis),1.27%
COVID-19,Annualized Return (Crisis),2.63%
COVID-19,Annualized Volatility (Crisis),48.76%
COVID-19,Sharpe Ratio (Crisis),0.054
COVID-19,Sortino Ratio (Crisis),0.072
Russia/Ukraine,Max Drawdown (%),-34.19%
Russia/Ukraine,Days: Peak → Trough,338
Russia/Ukraine,Days: Trough → Breakeven,404
Russia/Ukraine,Days: Peak → Breakeven (Total),742
Russia/Ukraine,Cumulative Return (Crisis),8.28%
Russia/Ukraine,Annualized Return (Crisis),3.98%
Russia/Ukraine,Annualized Volatility (Crisis),24.76%
Russia/Ukraine,Sharpe Ratio (Crisis),0.161
Russia/Ukraine,Sortino Ratio (Crisis),0.226
Trade Policy Shock,Max Drawdown (%),-21.41%
Trade Policy Shock,Days: Peak → Trough,54
Trade Policy Shock,Days: Trough → Breakeven,86
Trade Policy Shock,Days: Peak → Breakeven (Total),140
Trade Policy Shock,Cumulative Return (Crisis),-0.98%
Trade Policy Shock,Annualized Return (Crisis),-2.74%
Trade Policy Shock,Annualized Volatility (Crisis),31.52%
Trade Policy Shock,Sharpe Ratio (Crisis),-0.087
Trade Policy Shock,Sortino Ratio (Crisis),-0.126
