Category,Metric,Value
Returns,Cumulative Return,1978.14%
Returns,Annualized Return,11.47%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,22.85%
Risk,Maximum Drawdown,-58.03%
Risk,Value at Risk (95%),-2.28%
Risk,CVaR / Expected Shortfall,-3.45%
Risk,Ulcer Index (Full Period),0.1768
Ratios,Sharpe Ratio,0.502
Ratios,Sortino Ratio,0.709
Ratios,Calmar Ratio,0.198
Ratios,Omega Ratio,1.094
Benchmark,Beta,1.106
Benchmark,Alpha (Annualized),3.45%
Benchmark,Information Ratio,0.471
Benchmark,Modified Information Ratio,0.015
Benchmark,Treynor Ratio,0.104
Dotcom Crash,Max Drawdown (%),-47.28%
Dotcom Crash,Days: Peak to Trough,930
Dotcom Crash,Days: Trough to Breakeven,1555
Dotcom Crash,Days: Peak to Breakeven (Total),2485
Dotcom Crash,Cumulative Return (Crisis),5.70%
Dotcom Crash,Annualized Return (Crisis),0.78%
Dotcom Crash,Annualized Volatility (Crisis),21.42%
Dotcom Crash,Sharpe Ratio (Crisis),0.036
Dotcom Crash,Sortino Ratio (Crisis),0.052
Dotcom Crash,Calmar Ratio (Crisis),0.016
Dotcom Crash,Ulcer Index (Crisis),0.2248
GFC (Full),Max Drawdown (%),-58.03%
GFC (Full),Days: Peak to Trough,517
GFC (Full),Days: Trough to Breakeven,1485
GFC (Full),Days: Peak to Breakeven (Total),2002
GFC (Full),Cumulative Return (Crisis),-0.04%
GFC (Full),Annualized Return (Crisis),-0.01%
GFC (Full),Annualized Volatility (Crisis),28.82%
GFC (Full),Sharpe Ratio (Crisis),-0.000
GFC (Full),Sortino Ratio (Crisis),-0.000
GFC (Full),Calmar Ratio (Crisis),-0.000
GFC (Full),Ulcer Index (Crisis),0.2686
Early Credit Crunch,Max Drawdown (%),-58.03%
Early Credit Crunch,Days: Peak to Trough,517
Early Credit Crunch,Days: Trough to Breakeven,1485
Early Credit Crunch,Days: Peak to Breakeven (Total),2002
Early Credit Crunch,Cumulative Return (Crisis),-22.56%
Early Credit Crunch,Annualized Return (Crisis),-9.57%
Early Credit Crunch,Annualized Volatility (Crisis),36.79%
Early Credit Crunch,Sharpe Ratio (Crisis),-0.260
