Category,Metric,Value
Returns,Cumulative Return,1914.65%
Returns,Annualized Return,11.35%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,21.46%
Risk,Maximum Drawdown,-57.67%
Risk,Value at Risk (95%),-2.11%
Risk,CVaR / Expected Shortfall,-3.22%
Ratios,Sharpe Ratio,0.529
Ratios,Sortino Ratio,0.743
Ratios,Calmar Ratio,0.197
Ratios,Omega Ratio,1.097
Benchmark,Beta,1.051
Benchmark,Alpha (Annualized),3.72%
Benchmark,Information Ratio,0.550
Dotcom Crash,Max Drawdown (%),-48.93%
Dotcom Crash,Days: Peak → Trough,768
Dotcom Crash,Days: Trough → Breakeven,1694
Dotcom Crash,Days: Peak → Breakeven (Total),2462
Dotcom Crash,Cumulative Return (Crisis),3.29%
Dotcom Crash,Annualized Return (Crisis),0.45%
Dotcom Crash,Annualized Volatility (Crisis),19.08%
Dotcom Crash,Sharpe Ratio (Crisis),0.024
Dotcom Crash,Sortino Ratio (Crisis),0.034
GFC,Max Drawdown (%),-57.67%
GFC,Days: Peak → Trough,517
GFC,Days: Trough → Breakeven,1457
GFC,Days: Peak → Breakeven (Total),1974
GFC,Cumulative Return (Crisis),1.68%
GFC,Annualized Return (Crisis),0.31%
GFC,Annualized Volatility (Crisis),25.77%
GFC,Sharpe Ratio (Crisis),0.012
GFC,Sortino Ratio (Crisis),0.016
Monetary Policy,Max Drawdown (%),-19.14%
Monetary Policy,Days: Peak → Trough,117
Monetary Policy,Days: Trough → Breakeven,84
Monetary Policy,Days: Peak → Breakeven (Total),201
Monetary Policy,Cumulative Return (Crisis),6.05%
Monetary Policy,Annualized Return (Crisis),10.67%
Monetary Policy,Annualized Volatility (Crisis),20.33%
Monetary Policy,Sharpe Ratio (Crisis),0.525
Monetary Policy,Sortino Ratio (Crisis),0.742
COVID-19,Max Drawdown (%),-33.20%
COVID-19,Days: Peak → Trough,33
COVID-19,Days: Trough → Breakeven,136
COVID-19,Days: Peak → Breakeven (Total),169
COVID-19,Cumulative Return (Crisis),2.15%
COVID-19,Annualized Return (Crisis),4.45%
COVID-19,Annualized Volatility (Crisis),50.20%
COVID-19,Sharpe Ratio (Crisis),0.089
COVID-19,Sortino Ratio (Crisis),0.119
Russia/Ukraine,Max Drawdown (%),-34.57%
Russia/Ukraine,Days: Peak → Trough,282
Russia/Ukraine,Days: Trough → Breakeven,264
Russia/Ukraine,Days: Peak → Breakeven (Total),546
Russia/Ukraine,Cumulative Return (Crisis),15.65%
Russia/Ukraine,Annualized Return (Crisis),7.39%
Russia/Ukraine,Annualized Volatility (Crisis),24.49%
Russia/Ukraine,Sharpe Ratio (Crisis),0.302
Russia/Ukraine,Sortino Ratio (Crisis),0.425
Trade Policy Shock,Max Drawdown (%),-21.83%
Trade Policy Shock,Days: Peak → Trough,75
Trade Policy Shock,Days: Trough → Breakeven,85
Trade Policy Shock,Days: Peak → Breakeven (Total),160
Trade Policy Shock,Cumulative Return (Crisis),-0.31%
Trade Policy Shock,Annualized Return (Crisis),-0.88%
Trade Policy Shock,Annualized Volatility (Crisis),32.42%
Trade Policy Shock,Sharpe Ratio (Crisis),-0.027
Trade Policy Shock,Sortino Ratio (Crisis),-0.040
