Category,Metric,Value
Returns,Cumulative Return,2040.03%
Returns,Annualized Return,11.59%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,22.32%
Risk,Maximum Drawdown,-63.80%
Risk,Value at Risk (95%),-2.13%
Risk,CVaR / Expected Shortfall,-3.36%
Risk,Ulcer Index (Full Period),0.1645
Ratios,Sharpe Ratio,0.519
Ratios,Sortino Ratio,0.731
Ratios,Calmar Ratio,0.182
Ratios,Omega Ratio,1.098
Benchmark,Beta,1.088
Benchmark,Alpha (Annualized),3.70%
Benchmark,Information Ratio,0.526
Benchmark,Modified Information Ratio,0.014
Benchmark,Treynor Ratio,0.107
Dotcom Crash,Max Drawdown (%),-34.81%
Dotcom Crash,Days: Peak to Trough,852
Dotcom Crash,Days: Trough to Breakeven,552
Dotcom Crash,Days: Peak to Breakeven (Total),1404
Dotcom Crash,Cumulative Return (Crisis),28.06%
Dotcom Crash,Annualized Return (Crisis),3.51%
Dotcom Crash,Annualized Volatility (Crisis),19.66%
Dotcom Crash,Sharpe Ratio (Crisis),0.179
Dotcom Crash,Sortino Ratio (Crisis),0.257
Dotcom Crash,Calmar Ratio (Crisis),0.101
Dotcom Crash,Ulcer Index (Crisis),0.1484
GFC (Full),Max Drawdown (%),-63.80%
GFC (Full),Days: Peak to Trough,513
GFC (Full),Days: Trough to Breakeven,1525
GFC (Full),Days: Peak to Breakeven (Total),2038
GFC (Full),Cumulative Return (Crisis),-4.09%
GFC (Full),Annualized Return (Crisis),-0.76%
GFC (Full),Annualized Volatility (Crisis),29.31%
GFC (Full),Sharpe Ratio (Crisis),-0.026
GFC (Full),Sortino Ratio (Crisis),-0.036
GFC (Full),Calmar Ratio (Crisis),-0.012
GFC (Full),Ulcer Index (Crisis),0.3047
Early Credit Crunch,Max Drawdown (%),-63.80%
Early Credit Crunch,Days: Peak to Trough,513
Early Credit Crunch,Days: Trough to Breakeven,1525
Early Credit Crunch,Days: Peak to Breakeven (Total),2038
Early Credit Crunch,Cumulative Return (Crisis),-28.94%
Early Credit Crunch,Annualized Return (Crisis),-12.58%
Early Credit Crunch,Annualized Volatility (Crisis),37.88%
Early Credit Crunch,Sharpe Ratio (Crisis),-0.332
Early Credit Crunch,Sortino Ratio (Crisis),-0.451
Early Credit Crunch,Calmar Ratio (Crisis),-0.197
Early Credit Crunch,Ulcer Index (Crisis),0.3635
Acute GFC Crash,Max Drawdown (%),-45.57%
Acute GFC Crash,Days: Peak to Trough,171
Acute GFC Crash,Days: Trough to Breakeven,312
Acute GFC Crash,Days: Peak to Breakeven (Total),483
Acute GFC Crash,Cumulative Return (Crisis),-5.01%
Acute GFC Crash,Annualized Return (Crisis),-3.15%
Acute GFC Crash,Annualized Volatility (Crisis),42.96%
Acute GFC Crash,Sharpe Ratio (Crisis),-0.073
Acute GFC Crash,Sortino Ratio (Crisis),-0.099
Acute GFC Crash,Calmar Ratio (Crisis),-0.069
Acute GFC Crash,Ulcer Index (Crisis),0.2530
European Debt + US Debt Ceiling,Max Drawdown (%),-14.97%
European Debt + US Debt Ceiling,Days: Peak to Trough,70
European Debt + US Debt Ceiling,Days: Trough to Breakeven,125
European Debt + US Debt Ceiling,Days: Peak to Breakeven (Total),195
European Debt + US Debt Ceiling,Cumulative Return (Crisis),20.92%
European Debt + US Debt Ceiling,Annualized Return (Crisis),10.37%
European Debt + US Debt Ceiling,Annualized Volatility (Crisis),21.57%
European Debt + US Debt Ceiling,Sharpe Ratio (Crisis),0.481
European Debt + US Debt Ceiling,Sortino Ratio (Crisis),0.674
European Debt + US Debt Ceiling,Calmar Ratio (Crisis),0.693
European Debt + US Debt Ceiling,Ulcer Index (Crisis),0.0672
Monetary Policy,Max Drawdown (%),-17.67%
Monetary Policy,Days: Peak to Trough,94
Monetary Policy,Days: Trough to Breakeven,77
