Category,Metric,Value
Returns,Cumulative Return,1325.31%
Returns,Annualized Return,9.98%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,20.91%
Risk,Maximum Drawdown,-54.33%
Risk,Value at Risk (95%),-2.09%
Risk,CVaR / Expected Shortfall,-3.16%
Risk,Ulcer Index (Full Period),0.1857
Ratios,Sharpe Ratio,0.477
Ratios,Sortino Ratio,0.673
Ratios,Calmar Ratio,0.184
Ratios,Omega Ratio,1.089
Benchmark,Beta,1.014
Benchmark,Alpha (Annualized),2.62%
Dotcom Crash,Cum Return (Peak→Trough),-39.23%
Dotcom Crash,Max Drawdown (Peak→Trough),-44.62%
Dotcom Crash,Sharpe (Peak→Trough),-0.688
Dotcom Crash,Sortino (Peak→Trough),-0.948
Dotcom Crash,Ulcer Index (Peak→Trough),0.2316
Dotcom Crash,Calmar (Peak→Trough),-0.400
Dotcom Crash,Cum Return (Trough→Recovery),65.00%
Dotcom Crash,Max Drawdown (Trough→Recovery),-13.43%
Dotcom Crash,Sharpe (Trough→Recovery),0.797
Dotcom Crash,Sortino (Trough→Recovery),1.185
Dotcom Crash,Ulcer Index (Trough→Recovery),0.0539
Dotcom Crash,Calmar (Trough→Recovery),0.787
GFC (Full),Cum Return (Peak→Trough),-52.93%
GFC (Full),Max Drawdown (Peak→Trough),-53.19%
GFC (Full),Sharpe (Peak→Trough),-1.016
GFC (Full),Sortino (Peak→Trough),-1.363
GFC (Full),Ulcer Index (Peak→Trough),0.2744
GFC (Full),Calmar (Peak→Trough),-0.777
GFC (Full),Cum Return (Trough→Recovery),109.14%
GFC (Full),Max Drawdown (Trough→Recovery),-18.26%
GFC (Full),Sharpe (Trough→Recovery),1.075
GFC (Full),Sortino (Trough→Recovery),1.567
GFC (Full),Ulcer Index (Trough→Recovery),0.0544
GFC (Full),Calmar (Trough→Recovery),1.064
Early Credit Crunch,Cum Return (Peak→Trough),-29.94%
Early Credit Crunch,Max Drawdown (Peak→Trough),-30.32%
Early Credit Crunch,Sharpe (Peak→Trough),-1.088
Early Credit Crunch,Sortino (Peak→Trough),-1.434
Early Credit Crunch,Ulcer Index (Peak→Trough),0.1628
Early Credit Crunch,Calmar (Peak→Trough),-1.042
Early Credit Crunch,Cum Return (Trough→Recovery),31.23%
Early Credit Crunch,Max Drawdown (Trough→Recovery),-39.25%
Early Credit Crunch,Sharpe (Trough→Recovery),0.238
Early Credit Crunch,Sortino (Trough→Recovery),0.329
Early Credit Crunch,Ulcer Index (Trough→Recovery),0.1243
Early Credit Crunch,Calmar (Trough→Recovery),0.154
Acute GFC Crash,Cum Return (Peak→Trough),-38.62%
Acute GFC Crash,Max Drawdown (Peak→Trough),-39.25%
Acute GFC Crash,Sharpe (Peak→Trough),-1.095
Acute GFC Crash,Sortino (Peak→Trough),-1.452
Acute GFC Crash,Ulcer Index (Peak→Trough),0.2456
Acute GFC Crash,Calmar (Peak→Trough),-1.626
Acute GFC Crash,Cum Return (Trough→Recovery),45.77%
Acute GFC Crash,Max Drawdown (Trough→Recovery),-5.70%
Acute GFC Crash,Sharpe (Trough→Recovery),3.519
Acute GFC Crash,Sortino (Trough→Recovery),6.082
Acute GFC Crash,Ulcer Index (Trough→Recovery),0.0184
Acute GFC Crash,Calmar (Trough→Recovery),12.926
European Debt + US Debt Ceiling,Cum Return (Peak→Trough),-8.90%
European Debt + US Debt Ceiling,Max Drawdown (Peak→Trough),-18.26%
European Debt + US Debt Ceiling,Sharpe (Peak→Trough),-0.308
European Debt + US Debt Ceiling,Sortino (Peak→Trough),-0.407
European Debt + US Debt Ceiling,Ulcer Index (Peak→Trough),0.0690
European Debt + US Debt Ceiling,Calmar (Peak→Trough),-0.341
European Debt + US Debt Ceiling,Cum Return (Trough→Recovery),7.65%
European Debt + US Debt Ceiling,Max Drawdown (Trough→Recovery),-1.68%
European Debt + US Debt Ceiling,Sharpe (Trough→Recovery),22.843
European Debt + US Debt Ceiling,Sortino (Trough→Recovery),39.905
European Debt + US Debt Ceiling,Ulcer Index (Trough→Recovery),0.0060
European Debt + US Debt Ceiling,Calmar (Trough→Recovery),547.025
Monetary Policy,Cum Return (Peak→Trough),-17.27%
Monetary Policy,Max Drawdown (Peak→Trough),-17.11%
Monetary Policy,Sharpe (Peak→Trough),-2.416
Monetary Policy,Sortino (Peak→Trough),-2.854
Monetary Policy,Ulcer Index (Peak→Trough),0.0605
Monetary Policy,Calmar (Peak→Trough),-3.041
Monetary Policy,Cum Return (Trough→Recovery),17.82%
Monetary Policy,Max Drawdown (Trough→Recovery),-3.11%
Monetary Policy,Sharpe (Trough→Recovery),5.789
Monetary Policy,Sortino (Trough→Recovery),11.004
Monetary Policy,Ulcer Index (Trough→Recovery),0.0088
Monetary Policy,Calmar (Trough→Recovery),36.967
COVID-19,Cum Return (Peak→Trough),-28.31%
COVID-19,Max Drawdown (Peak→Trough),-28.62%
COVID-19,Sharpe (Peak→Trough),-1.296
COVID-19,Sortino (Peak→Trough),-1.532
COVID-19,Ulcer Index (Peak→Trough),0.1639
COVID-19,Calmar (Peak→Trough),-3.388
COVID-19,Cum Return (Trough→Recovery),39.05%
COVID-19,Max Drawdown (Trough→Recovery),-9.86%
COVID-19,Sharpe (Trough→Recovery),3.740
COVID-19,Sortino (Trough→Recovery),6.302
COVID-19,Ulcer Index (Trough→Recovery),0.0388
COVID-19,Calmar (Trough→Recovery),11.155
Russia/Ukraine,Cum Return (Peak→Trough),-32.66%
Russia/Ukraine,Max Drawdown (Peak→Trough),-34.15%
Russia/Ukraine,Sharpe (Peak→Trough),-1.278
Russia/Ukraine,Sortino (Peak→Trough),-1.652
Russia/Ukraine,Ulcer Index (Peak→Trough),0.2083
Russia/Ukraine,Calmar (Peak→Trough),-1.167
Russia/Ukraine,Cum Return (Trough→Recovery),52.81%
Russia/Ukraine,Max Drawdown (Trough→Recovery),-9.04%
Russia/Ukraine,Sharpe (Trough→Recovery),2.387
Russia/Ukraine,Sortino (Trough→Recovery),3.968
Russia/Ukraine,Ulcer Index (Trough→Recovery),0.0280
Russia/Ukraine,Calmar (Trough→Recovery),4.403
Trade Policy Shock,Cum Return (Peak→Trough),-22.90%
Trade Policy Shock,Max Drawdown (Peak→Trough),-23.13%
Trade Policy Shock,Sharpe (Peak→Trough),-2.565
Trade Policy Shock,Sortino (Peak→Trough),-2.681
Trade Policy Shock,Ulcer Index (Peak→Trough),0.1316
Trade Policy Shock,Calmar (Peak→Trough),-3.659
Trade Policy Shock,Cum Return (Trough→Recovery),28.98%
Trade Policy Shock,Max Drawdown (Trough→Recovery),-8.58%
Trade Policy Shock,Sharpe (Trough→Recovery),6.968
Trade Policy Shock,Sortino (Trough→Recovery),15.895
Trade Policy Shock,Ulcer Index (Trough→Recovery),0.0204
Trade Policy Shock,Calmar (Trough→Recovery),25.744
