Category,Metric,Value
Returns,Cumulative Return,1830.55%
Returns,Annualized Return,11.18%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,21.08%
Risk,Maximum Drawdown,-53.71%
Risk,DD Duration to Trough (days),3282
Risk,Recovery Duration (days),1043
Risk,Value at Risk (95%),-2.08%
Risk,CVaR / Expected Shortfall,-3.16%
Ratios,Sharpe Ratio,0.530
Ratios,Sortino Ratio,0.746
Ratios,Calmar Ratio,0.208
Ratios,Omega Ratio,1.097
Benchmark,Beta,1.030
Benchmark,Alpha (Annualized),3.71%
Benchmark,Information Ratio,0.527
Dotcom Crash,Max Drawdown (%),-52.07%
Dotcom Crash,Days: Peak → Trough,915
Dotcom Crash,Days: Trough → Breakeven,3856
Dotcom Crash,Days: Peak → Breakeven (Total),4771
Dotcom Crash,Cumulative Return (Crisis),-3.16%
Dotcom Crash,Annualized Return (Crisis),-0.45%
Dotcom Crash,Annualized Volatility (Crisis),18.91%
Dotcom Crash,Sharpe Ratio (Crisis),-0.024
Dotcom Crash,Sortino Ratio (Crisis),-0.034
GFC,Max Drawdown (%),-53.71%
GFC,Days: Peak → Trough,3258
GFC,Days: Trough → Breakeven,1513
GFC,Days: Peak → Breakeven (Total),4771
GFC,Cumulative Return (Crisis),-1.74%
GFC,Annualized Return (Crisis),-0.32%
GFC,Annualized Volatility (Crisis),24.07%
GFC,Sharpe Ratio (Crisis),-0.013
GFC,Sortino Ratio (Crisis),-0.018
Monetary Policy,Max Drawdown (%),-18.82%
Monetary Policy,Days: Peak → Trough,117
Monetary Policy,Days: Trough → Breakeven,79
Monetary Policy,Days: Peak → Breakeven (Total),196
Monetary Policy,Cumulative Return (Crisis),6.54%
Monetary Policy,Annualized Return (Crisis),11.55%
Monetary Policy,Annualized Volatility (Crisis),20.06%
Monetary Policy,Sharpe Ratio (Crisis),0.576
Monetary Policy,Sortino Ratio (Crisis),0.816
COVID-19,Max Drawdown (%),-32.61%
COVID-19,Days: Peak → Trough,33
COVID-19,Days: Trough → Breakeven,135
COVID-19,Days: Peak → Breakeven (Total),168
COVID-19,Cumulative Return (Crisis),3.79%
COVID-19,Annualized Return (Crisis),7.92%
COVID-19,Annualized Volatility (Crisis),49.59%
COVID-19,Sharpe Ratio (Crisis),0.160
COVID-19,Sortino Ratio (Crisis),0.214
Russia/Ukraine,Max Drawdown (%),-34.88%
Russia/Ukraine,Days: Peak → Trough,282
Russia/Ukraine,Days: Trough → Breakeven,251
Russia/Ukraine,Days: Peak → Breakeven (Total),533
Russia/Ukraine,Cumulative Return (Crisis),16.77%
Russia/Ukraine,Annualized Return (Crisis),7.90%
Russia/Ukraine,Annualized Volatility (Crisis),24.84%
Russia/Ukraine,Sharpe Ratio (Crisis),0.318
Russia/Ukraine,Sortino Ratio (Crisis),0.449
Trade Policy Shock,Max Drawdown (%),-22.71%
Trade Policy Shock,Days: Peak → Trough,75
Trade Policy Shock,Days: Trough → Breakeven,86
Trade Policy Shock,Days: Peak → Breakeven (Total),161
Trade Policy Shock,Cumulative Return (Crisis),-0.29%
Trade Policy Shock,Annualized Return (Crisis),-0.83%
Trade Policy Shock,Annualized Volatility (Crisis),33.57%
Trade Policy Shock,Sharpe Ratio (Crisis),-0.025
Trade Policy Shock,Sortino Ratio (Crisis),-0.036
