rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2960493676494835,0.087645228085659,0.2570704281330108,-0.0543786837372519,-4.178081727272009,-0.1518796992481203,0.55,0.0,0.05,1,100,5,0.7,0.7,0.033676383690409,0.9999998845160007,0.0
1998-04-01,1998,1997,20,0.288182774093169,0.0830493112840345,0.250824324786663,0.0009105409439459,-15.367442753625845,0.0060150375939849,0.5,0.0,0.05,1,100,3,0.7,0.7,-0.0048786845215402,0.407284088885099,0.0
1998-07-01,1998,1997,20,0.2902727793466347,0.0842582864296201,0.2453857600688934,-0.0136335209578359,-10.7130193758784,0.1684210526315789,0.6,0.628970902033151,0.05,1,100,5,0.7,0.7,0.0185451420263114,0.6078269017527103,0.0
1998-10-01,1998,1997,20,0.2758648962491377,0.0761014409825475,0.2351702913641929,0.0844939430670977,0.2828099872609343,0.4124788522903725,0.95,,0.05,1,100,5,1.0,1.0,0.01645000568246,0.8012482038139433,0.0
1999-01-04,1999,1998,20,0.2843281660299041,0.0808425059979287,0.2512837827205658,0.0274585744610077,-12.515690240311235,0.1682641015837109,0.65,0.0,0.05,1,100,5,1.0,0.7,-0.0118097433580135,0.9669876026301834,0.0
1999-04-01,1999,1998,20,0.2828992685923979,0.0800319961701137,0.2402422577142715,0.0372090686302108,-9.902282304668455,0.1233546533266964,0.65,0.0,0.05,1,100,3,0.7,0.7,0.0125973695061676,0.4580183067200456,0.0
1999-07-01,1999,1998,20,0.2932033012528647,0.0859681758655781,0.2524323818087577,-0.0342036194355268,-25.12085078545987,-0.0646616541353383,0.35,0.2672612419124244,0.05,1,100,1,0.7,0.7,-0.0050841193309856,0.557672210812145,0.0
1999-10-01,1999,1998,20,0.2798952495386055,0.0783413507142782,0.238660107254982,0.057547660580111,-2.2081883484788563,0.4055932886227068,0.7,0.5773502691896257,0.05,1,100,1,1.0,1.0,-0.0055316725975556,0.3307167595484113,0.0
2000-01-03,2000,1999,20,0.2757063065499964,0.0760139674714406,0.2402212366461754,0.0855462559826694,-5.433070568403579,0.485563992478342,0.55,0.3162277660168379,0.05,1,100,5,1.0,0.7,0.0240551246035803,0.718802629549632,0.0
2000-04-03,2000,1999,20,0.2934275385119973,0.0860997203572096,0.2546659052371979,-0.0357861095604168,-8.064429800191808,-0.2120300751879699,0.3,0.0,0.05,1,100,3,0.7,0.7,0.0123628089355948,0.8632229061887471,0.0
2000-07-03,2000,1999,20,0.2855846305317744,0.0815585811959701,0.2446722626686096,0.0188441359883297,-12.466673734810737,0.0195488721804511,0.6,0.5222329678670935,0.05,1,100,5,0.7,0.7,0.0080842603921035,0.5468018549784831,0.0
2000-10-02,2000,1999,20,0.2945447701364465,0.086756621614732,0.2545085698366164,-0.0436886810794836,-8.874644497857263,-0.1797601539892071,0.35,0.0,0.05,1,100,5,1.0,1.0,-0.0067055137399156,0.459127219867712,0.0
2001-01-02,2001,2000,20,0.284026099002908,0.0806708249148096,0.2497500419616699,0.0295239107992819,-9.476992459284078,0.1602709257318079,0.4,0.5773502691896257,0.05,1,100,1,1.0,1.0,0.0183394508318525,0.6625604364079287,0.0
2001-04-02,2001,2000,20,0.2692686015500625,0.0725055797807263,0.2298044198751449,0.1277524236905105,-9.625071486480865,0.4856933218872447,0.6,0.3618734322278729,0.05,1,100,3,1.0,1.0,0.0203292523870184,0.4655428728687275,0.0
2001-07-02,2001,2000,20,0.3170698457964311,0.1005332871133726,0.2728635638952255,-0.2094230028676404,-10.95016427797146,-0.7623200203111132,0.4,0.0,0.1,1,100,3,1.0,1.0,0.0139095200735239,0.2147732149063658,0.0
2001-10-01,2001,2000,20,0.2609609330422253,0.0681006085742688,0.2248264068365097,0.180744558505037,-3.0227031564717217,0.5674468155808285,0.7,0.0,0.05,1,100,3,1.0,1.0,-0.0108627293616174,0.3620368072595539,0.0
2002-01-02,2002,2001,20,0.3089542972293593,0.0954527577764873,0.2680740535259246,-0.1483038529502236,-36.09983592699383,-0.6908958658899697,0.35,0.0,0.05,1,100,5,1.0,0.7,-0.0577214188914509,0.598150158497084,0.0
2002-04-01,2002,2001,20,0.3058584453116735,0.093549388568474,0.2640444785356521,-0.1254061782673565,-12.787405291934643,-0.6098777354414221,0.15,0.0,0.05,1,100,5,1.0,0.7,-0.0625677291420516,0.2574629495392164,0.0
2002-07-01,2002,2001,20,0.301897344923407,0.0911420068718025,0.2606868863105774,-0.0964451954502565,-15.235575501155218,-0.3469825668620997,0.05,0.0,0.05,1,100,5,1.0,0.7,-0.0542086150321128,0.4432713872193116,0.0
2002-10-01,2002,2001,20,0.2817335598023701,0.0793737987189156,0.2390434652566909,0.0451272334566537,-10.773648697387538,0.4334956669929448,0.55,0.0,0.05,1,100,5,1.0,0.7,-0.0614883100766503,0.3513282545888365,0.0
2003-01-02,2003,2002,20,0.2945487679374096,0.086758976693446,0.2513030648231506,-0.0437170128534856,-71.3174482395007,-0.0357437703624335,0.2,0.0,0.05,1,100,1,1.0,0.7,-0.0534931852485636,0.7406530829398482,0.0
2003-04-01,2003,2002,20,0.2742583231412459,0.075217627812248,0.2368046712875366,0.0951262819579179,-9.027003629995892,0.5258013090494347,0.9,0.0,0.05,1,100,5,1.0,1.0,-0.0379961135837647,0.4389190544808355,0.0
