rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2907936511535656,0.0845609475512216,0.2503587752580643,-0.0172745570071772,-0.4845541850428627,-0.0195488721804511,0.55,0.0,0.05,1,100,1,0.7,0.7,0.0393529106945772,1.0000000279396772,0.0
1998-07-01,1998,1997,20,0.2840655034987706,0.08069321027801,0.2408173590898513,0.0292546131968715,-1.3597476488076174,0.2850977158738685,0.7,0.0,0.05,1,100,5,1.0,1.0,-0.0252793535493947,0.5959332661435093,0.0
1999-01-04,1999,1998,20,0.2787092477198871,0.0776788447645853,0.2425149828195572,0.0655176569673939,-3.3456943944754984,0.2375675068784098,0.7,0.0,0.05,1,100,5,1.0,0.7,-0.0288686250297227,0.8686229135974974,0.0
1999-07-01,1999,1998,20,0.2816817435330102,0.0793446046397965,0.2349554896354675,0.0454784404235004,-1.9269949000186488,0.2331703812882676,0.7,0.6708203932499369,0.05,2,100,3,1.0,1.0,0.0201904955743289,0.5595582981515748,0.0
2000-01-03,2000,1999,20,0.2716100219790115,0.0737720040394391,0.2414687231183052,0.1125172446383262,-2.989511539686408,0.437593984962406,0.7,0.6741998624632421,0.05,2,100,3,0.7,0.7,0.0760130446739737,0.6791229756454331,0.0
2000-07-03,2000,1999,20,0.2972510824055969,0.0883582059912989,0.2590052556991576,-0.0629558615494616,-4.51132851787488,-0.2616541353383458,0.4,0.3464101615137754,0.05,1,100,5,0.7,0.7,0.0572312313384892,0.711805713688576,0.0
2001-01-02,2001,2000,20,0.2890833719233722,0.0835691959225867,0.2472346395254135,-0.0053437103469082,-5.385999295528361,-0.0857142857142857,0.6,0.6546536707079771,0.05,1,100,5,0.7,0.7,0.0448149630582214,0.7536261241777127,0.0
2001-07-02,2001,2000,20,0.2995991032126409,0.0897596226458186,0.260380694270134,-0.0798150092730061,-21.579726637091948,-0.1857651353372602,0.45,0.0,0.05,1,100,1,1.0,1.0,0.0348183240155458,0.5948930389840331,0.0
2002-01-02,2002,2001,20,0.3079160523922702,0.0948122953208393,0.269272431731224,-0.1405990414537061,-8.610956234207293,-0.4556286587775254,0.25,0.0,0.05,1,100,5,1.0,1.0,-0.0739857967768193,0.5411652227951382,0.0
2002-07-01,2002,2001,20,0.2944511292448702,0.0867014675135792,0.2586883038282394,-0.0430251730956905,-19.395165720676587,0.0564972753276613,0.4,0.4364357804719847,0.05,1,100,5,1.0,1.0,-0.0381659737932318,0.3606007690744185,0.0
2003-01-02,2003,2002,20,0.2839739085911511,0.0806411807605354,0.2446000039577484,0.0298805322040845,-20.59350663174465,0.090361548258092,0.85,0.0,0.05,1,100,1,0.7,0.7,-0.1088931515726325,0.8150090436521547,0.0
2003-07-01,2003,2002,20,0.2663335100289175,0.0709335385643235,0.2328451409935951,0.1466641977224237,-5.059359693785929,0.5512054443743615,0.8,0.4841229182759271,0.05,1,100,5,1.0,0.7,-0.0406448072263265,0.4018297791174579,0.0
2004-01-02,2004,2003,20,0.2988379411695135,0.0893041150824336,0.2577677649259567,-0.0743352190367956,-59.55265732310644,-0.3972840411744076,0.7,0.0,0.05,1,100,1,1.0,1.0,-0.0206249737280659,0.7259088679012876,0.0
2004-07-01,2004,2003,20,0.3045962825656022,0.0927788953527841,0.2650643050670624,-0.1161370869507871,-11.6045477236983,-0.5082706766917292,0.65,0.0,0.05,1,100,3,0.7,0.7,0.0256944607095891,0.4233702038533814,0.0
2005-01-03,2005,2004,20,0.2753047724694177,0.0757927177444378,0.2421847730875015,0.0882079068338302,-29.490183219818785,0.3518796992481203,0.5,0.4677071733467426,0.05,3,100,3,1.0,0.7,-0.0283941048370306,0.6087978120528409,0.0
2005-07-01,2005,2004,20,0.3036216841441863,0.092186127082552,0.2581561148166656,-0.1090060400908512,-36.51150581690754,-0.3986461357509092,0.5,0.3061862178478972,0.05,2,100,1,1.0,1.0,0.0499685185060914,0.5570801923049465,0.0
2006-01-03,2006,2005,20,0.2906963557241877,0.0845043712313235,0.250900861620903,-0.0165939396249441,-30.804508819026573,0.0052730790305817,0.5,0.0,0.05,1,100,3,1.0,0.7,-0.0285091224306235,0.9271188526166144,0.0
2006-07-03,2006,2005,20,0.2936094973066512,0.0862065369086644,0.2606976568698883,-0.0370711207057377,-4.569671919429767,-0.0526315789473684,0.9,0.9459053029269172,0.05,3,100,1,0.7,0.7,-0.0031801019009807,0.6100847948269582,0.0
2007-01-03,2007,2006,19,0.3058715310504939,0.0935573935071732,0.2571465493569413,-0.1258073018696515,-25.817493753360367,-0.4353881444302045,0.5789473684210527,0.0,0.05,1,100,5,1.0,1.0,-0.0296293411550578,0.6535300216949368,0.0
2007-07-02,2007,2006,19,0.2984250763613809,0.089057526201296,0.2565391905750264,-0.0716588986222621,-13.846501356192242,-0.2091688801671661,0.5263157894736842,0.0,0.05,1,100,5,1.0,0.7,-0.0584761602268955,0.2562912979450095,0.0
2008-01-02,2008,2007,19,0.2900001291950643,0.084100074933154,0.2507302529924134,-0.012004235028953,-8.86838201256176,-0.3072872123735265,0.1578947368421052,0.0,0.05,1,100,3,0.7,0.7,0.0186795961194046,0.6019580464507556,0.0
2008-07-01,2008,2007,19,0.3067992609900116,0.0941257865440172,0.2612968603990084,-0.1326469647463413,-4.896475147519611,-0.4783317936691065,0.1052631578947368,0.0,0.05,1,100,3,1.0,1.0,0.0050615309910817,0.6297399790573558,0.0
2009-01-02,2009,2008,19,0.29149621774498,0.0849700449596288,0.2485108920411719,-0.0224728743475333,-11.675661544173154,-0.0614844626749444,0.4210526315789473,0.0,0.05,1,100,3,1.0,1.0,-0.0007043897849585,0.653246844262372,0.0
2009-07-01,2009,2008,19,0.288509801380394,0.0832379054925544,0.2480151100171899,-0.0016294627604049,-1.7256490402026654,-0.0964912280701754,0.9473684210526316,0.0,0.05,1,100,1,0.7,0.7,-0.0088283537757287,0.6001073193107804,0.0
2010-01-04,2010,2009,20,0.2862337961897273,0.0819297860811823,0.244814555644989,0.0143785133090842,-21.235643086751512,0.2274193021081617,0.05,0.0,0.05,1,100,1,1.0,1.0,-0.0391223431900404,0.783731438138782,0.0
2010-07-01,2010,2009,20,0.302773442989981,0.0916717577800072,0.2576108258962631,-0.1028181387068545,-1.3106539757879356,-0.2656918389720663,0.9,0.0,0.05,1,100,5,1.0,1.0,-0.0673267283784662,0.3498737104416051,0.0
2011-01-03,2011,2010,20,0.2855701763932023,0.0815503256452446,0.2482777473330498,0.0189434508842744,-24.24295051158857,-0.0454324925857842,0.6,0.3333333333333333,0.05,2,100,1,1.0,1.0,-0.0709119585109556,0.59743601773047,0.0
2011-07-01,2011,2010,20,0.2799263839314239,0.0783587804209229,0.2389531803131103,0.0573379798986709,-10.422572771315831,0.3471439078547585,0.6,0.3333333333333333,0.05,1,100,1,1.0,0.7,-0.0349059388315182,0.2680830317709239,0.0
2012-01-03,2012,2011,19,0.287919908728116,0.0828978738420066,0.24829632506146,0.0024622514345201,-7.657593647144841,0.0883414287238395,0.8421052631578947,0.0,0.05,1,100,5,1.0,0.7,-0.0552133406730839,0.5897205674322775,0.0
2012-07-02,2012,2011,20,0.282436275872284,0.0797702499286049,0.2426046624779701,0.0403578955957302,-21.99137838308605,0.2769000031422785,0.6,0.4494665749754947,0.05,1,100,1,1.0,1.0,-0.0106391331697144,0.5492800127345653,0.0
2013-01-02,2013,2012,20,0.3023072121283287,0.0913896505048023,0.2628722786903382,-0.0994243669750656,-7.985751776251941,-0.1280121933656303,0.75,0.5239368319955838,0.05,2,100,3,1.0,1.0,0.0007122215094301,0.776874161300139,0.0
2013-07-01,2013,2012,20,0.2952327334586587,0.0871623669054714,0.2559542459249496,-0.0485698274342429,-7.343076041911615,-0.218937699711057,0.85,0.0,0.05,1,100,5,1.0,1.0,-0.0384835954526823,0.2951828090157321,0.0
2014-01-02,2014,2013,20,0.2956110316751792,0.0873858820480638,0.2525492441654205,-0.0512587314052792,-31.21091143753842,-0.293675325601813,0.55,0.0,0.05,1,100,5,1.0,1.0,-0.1110623700326172,0.504200138895702,0.0
2014-07-01,2014,2013,20,0.2911639163761064,0.0847764261994722,0.2536385399103164,-0.0198667813470352,-20.93042486520873,0.0302108713190311,0.65,0.0,0.05,1,100,5,1.0,0.7,-0.1671677768991435,0.3172464026137368,0.0
2015-01-02,2015,2014,19,0.2892697299593795,0.0836769766707723,0.2464612953550597,-0.0069129526049609,-32.03229594574808,0.2615182349169186,0.4210526315789473,0.0,0.05,1,100,5,0.7,0.7,-0.1668809728081601,0.439123558092479,0.0
2015-07-01,2015,2014,19,0.2915268604138683,0.084987910342767,0.253772341808784,-0.0226878544579636,-14.61319806419518,-0.0017771354922734,0.4210526315789473,0.2886751345948128,0.05,1,100,5,1.0,1.0,-0.0678255389115012,0.487255660963492,0.0
2016-01-04,2016,2015,19,0.2879453635637567,0.082912532397864,0.2457532658141075,0.0022858601457025,-11.3705459274315,0.0614035087719298,0.5789473684210527,0.4522670168666454,0.05,1,100,3,0.7,0.7,0.0353984446476344,0.7489688976422837,0.0
2016-07-01,2016,2015,20,0.2733979840591133,0.0747464576875871,0.2373917257785796,0.1007944939839136,-3.8793597111751854,0.545934354059306,0.7,0.6900655593423543,0.1,1,200,5,1.0,1.0,0.0616749795373759,0.7557723825692135,0.0
2017-01-03,2017,2016,20,0.2801329117364241,0.0784744482379271,0.2458003950119018,0.0559464873632823,-10.441082668985189,0.2646616541353383,0.8,0.6110100926607787,0.05,2,100,1,0.7,0.7,0.0324561034350469,0.4628601721511985,0.0
2017-07-03,2017,2016,20,0.2993328430149241,0.0896001509073972,0.2573353883624077,-0.0778965522694401,-2.9181670556096444,-0.1189312011391183,0.8,,0.05,1,100,1,1.0,1.0,0.0577278355499805,0.5985991290434598,0.0
2018-01-02,2018,2017,20,0.286945151487434,0.0823375199621464,0.2507328271865844,0.0094734440644037,-15.03643077876361,0.0925508162676637,0.55,0.5318160234783105,0.05,1,100,5,1.0,1.0,0.0874757431620555,0.6849552334133145,0.0
2018-07-02,2018,2017,20,0.3137878122437895,0.0984627911127437,0.2697322499752044,-0.1845147803036837,-17.701473736502187,-0.4322921932314635,0.4,0.3535533905932738,0.05,1,100,3,1.0,1.0,0.030636437302738,0.3384313765618227,0.0
2019-01-02,2019,2018,20,0.2643721231267561,0.0698926194865487,0.2190894186496734,0.1591865324926469,-3.959536314714169,0.5440280908326725,1.0,,0.05,1,100,5,1.0,1.0,-0.0671540328614943,0.4878363503426873,0.0
2019-07-01,2019,2018,20,0.2763005158315905,0.0763419750488029,0.2359073638916015,0.0816003001647761,-5.886780401420154,0.4079704420746295,0.8,0.0,0.05,1,100,5,1.0,0.7,-0.0893585832269507,0.3030554306746169,0.0
2020-01-02,2020,2019,20,0.2812807142058416,0.0791188401841483,0.2365578305721283,0.0481944037997187,-8.007484553194065,0.2763554624212549,0.65,0.6356417261637282,0.05,1,100,5,1.0,1.0,-0.0525900801631005,0.5746470751670447,0.0
2020-07-01,2020,2019,20,0.2847647327341894,0.0810909530091743,0.2392499980330467,0.0244697382354966,-1.1595846245787094,0.1819548872180451,0.6,0.0,0.05,1,100,5,0.7,0.7,-0.0102240788377347,0.48420817214197,0.0
2021-01-04,2021,2020,20,0.2801195418292825,0.0784669577146471,0.2335695043206214,0.056036598921538,-2.241988831412533,0.3338345864661654,0.8,0.7211102550927979,0.05,1,100,5,0.7,0.7,0.0785769072120761,0.5950181550135084,0.0
2021-07-01,2021,2020,20,0.2980820757207416,0.0888529238659859,0.2580603581666946,-0.0689073547787779,-3.290323453049302,-0.0676691729323308,0.45,0.2964997266644404,0.05,1,100,5,0.7,1.0,0.1559856799543069,0.313820534385961,0.0
2022-01-03,2022,2021,20,0.3388875793593955,0.1148447914440706,0.2861625000834464,-0.3815914760188947,-6.873648309236758,-0.5533834586466165,0.25,0.0,0.05,2,100,5,0.7,1.0,0.1230819181128936,0.5400564691962682,0.0
2022-07-01,2022,2021,20,0.3259280075083677,0.1062290660783746,0.2850681349635124,-0.2779436520706717,-11.592185743528688,-0.5680964738380986,0.35,0.2461829819586654,0.2,1,200,1,1.0,0.7,0.0889155957955568,0.353909699796219,0.0
2023-01-03,2023,2022,20,0.2750933284221216,0.0756763393423612,0.235129953622818,0.0896079477610674,0.2174736053339638,0.504487319046152,0.75,0.0,0.05,1,100,5,1.0,1.0,-0.0845372772281549,0.7475010513574847,0.0
2023-07-03,2023,2022,20,0.2824463258927299,0.0797759270103021,0.2372828364372253,0.040289599876064,-13.271211067755816,0.2511831687418748,0.7,0.0,0.05,1,100,3,1.0,1.0,-0.0690679278507004,0.2848757400048128,0.0
2024-01-02,2024,2023,20,0.2871658570475606,0.08246422945386,0.2416893526911735,0.0079491193520595,-0.090276592958737,0.2206297858677894,0.65,0.0,0.05,1,100,5,1.0,1.0,-0.0057767762863627,0.5825448754381657,0.0
