rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
1998-01-02,1998,1997,20,0.2810291316057837,0.0789773728111009,0.2387793406844139,0.0498962669341247,0.5845789043046861,0.1241068158469811,0.45,0.4714045207910317,0.3,1,135,5,0.8,1.0,0.1162215763938772,1.0000000018626451,0.0
1999-01-04,1999,1998,20,0.2762889315402936,0.076335573691677,0.2338803619146346,0.0816773089723058,0.091650075848828,0.3339601590064221,0.6,0.5447047794019222,0.1,2,100,1,1.0,1.0,0.0053605130277318,0.6884244284801593,0.0
2000-01-03,2000,1999,20,0.3316121498315227,0.1099666179158843,0.2888466906547546,-0.3229066816948489,-3.4854614277719227,-0.4213695699991194,0.3,0.2842676218074805,0.1,5,200,3,1.0,1.0,0.1632154132021066,0.6081124558211028,0.0
2001-01-02,2001,2000,20,0.2744968324608713,0.0753485110310516,0.2379398524761199,0.093551746994867,-5.32959332091873,0.1810487165679387,0.65,0.6614378277661477,0.05,1,200,5,1.0,1.0,0.0239990582943117,0.843895659736109,0.0
2002-01-02,2002,2001,20,0.3203404298214836,0.1026179909782128,0.2873331829905509,-0.23450214710632,-6.325140764770735,-0.2158706433217188,0.65,0.7817359599705717,0.05,5,200,5,1.0,0.8,-0.2196097159327632,1.050768741722397,0.0
2003-01-02,2003,2002,20,0.2738296452864681,0.0749826746377129,0.2358389109373092,0.0979527863132276,-0.6621280041995847,0.1005305077015102,0.85,0.0,0.1,1,100,5,1.0,1.0,-0.1616345967532584,0.6401818018732293,0.0
2004-01-02,2004,2003,20,0.3004074103163324,0.0902446121729653,0.2530491411685943,-0.0856494697499583,-6.011519475887985,-0.2618154528449415,0.75,0.5563486402641868,0.3,1,100,1,1.0,0.8,0.0264995769886375,0.904977963852084,0.0
2005-01-03,2005,2004,20,0.2942627736372792,0.0865905799487046,0.2409898370504379,-0.0416911873528376,-30.829088768155604,-0.048192825737649,0.55,0.5318160234783105,0.3,1,200,3,1.0,1.0,-0.0509949931410285,0.5459260221832751,0.0
2006-01-03,2006,2005,20,0.2789026031230129,0.0777866620287928,0.242071233689785,0.0642206071724165,-2.9672561397154658,0.458230431043054,0.85,0.90748521297303,0.3,2,100,5,1.0,1.0,0.0166540752677267,0.5672311685848106,0.0
2007-01-03,2007,2006,19,0.2909758131120821,0.0846669238162373,0.2588727740039455,-0.0188253165887224,-4.476996514692205,0.0061592900964971,0.4210526315789473,0.4225771273642583,0.05,2,200,5,1.0,1.0,-0.0006088667101045,0.7877531590385205,0.0
2008-01-02,2008,2007,20,0.3151145519713717,0.0992971808641183,0.265154944062233,-0.194552551748792,-3.725685249334768,-0.2466831572352187,0.35,0.0,0.1,1,135,1,1.0,1.0,0.011590494054422,0.8559602235261916,0.0
