model,frequency,dotcom_crash_Max Drawdown (%),bm_dotcom_crash_Max Drawdown (%),dotcom_crash_Days: Trough to Breakeven,bm_dotcom_crash_Days: Trough to Breakeven,dotcom_crash_Days: Peak to Breakeven (Total),bm_dotcom_crash_Days: Peak to Breakeven (Total),dotcom_crash_Cumulative Return (Crisis),bm_dotcom_crash_Cumulative Return (Crisis),dotcom_crash_Annualized Volatility (Crisis),bm_dotcom_crash_Annualized Volatility (Crisis),dotcom_crash_Sharpe Ratio (Crisis),bm_dotcom_crash_Sharpe Ratio (Crisis),dotcom_crash_Sortino Ratio (Crisis),bm_dotcom_crash_Sortino Ratio (Crisis),gfc_Max Drawdown (%),bm_gfc_Max Drawdown (%),gfc_Days: Trough to Breakeven,bm_gfc_Days: Trough to Breakeven,gfc_Days: Peak to Breakeven (Total),bm_gfc_Days: Peak to Breakeven (Total),gfc_Cumulative Return (Crisis),bm_gfc_Cumulative Return (Crisis),gfc_Annualized Volatility (Crisis),bm_gfc_Annualized Volatility (Crisis),gfc_Sharpe Ratio (Crisis),bm_gfc_Sharpe Ratio (Crisis),gfc_Sortino Ratio (Crisis),bm_gfc_Sortino Ratio (Crisis),monetary_policy_Max Drawdown (%),bm_monetary_policy_Max Drawdown (%),monetary_policy_Days: Trough to Breakeven,bm_monetary_policy_Days: Trough to Breakeven,monetary_policy_Days: Peak to Breakeven (Total),bm_monetary_policy_Days: Peak to Breakeven (Total),monetary_policy_Cumulative Return (Crisis),bm_monetary_policy_Cumulative Return (Crisis),monetary_policy_Annualized Volatility (Crisis),bm_monetary_policy_Annualized Volatility (Crisis),monetary_policy_Sharpe Ratio (Crisis),bm_monetary_policy_Sharpe Ratio (Crisis),monetary_policy_Sortino Ratio (Crisis),bm_monetary_policy_Sortino Ratio (Crisis),covid-19_Max Drawdown (%),bm_covid-19_Max Drawdown (%),covid-19_Days: Trough to Breakeven,bm_covid-19_Days: Trough to Breakeven,covid-19_Days: Peak to Breakeven (Total),bm_covid-19_Days: Peak to Breakeven (Total),covid-19_Cumulative Return (Crisis),bm_covid-19_Cumulative Return (Crisis),covid-19_Annualized Volatility (Crisis),bm_covid-19_Annualized Volatility (Crisis),covid-19_Sharpe Ratio (Crisis),bm_covid-19_Sharpe Ratio (Crisis),covid-19_Sortino Ratio (Crisis),bm_covid-19_Sortino Ratio (Crisis),russia-ukraine_Max Drawdown (%),bm_russia-ukraine_Max Drawdown (%),russia-ukraine_Days: Trough to Breakeven,bm_russia-ukraine_Days: Trough to Breakeven,russia-ukraine_Days: Peak to Breakeven (Total),bm_russia-ukraine_Days: Peak to Breakeven (Total),russia-ukraine_Cumulative Return (Crisis),bm_russia-ukraine_Cumulative Return (Crisis),russia-ukraine_Annualized Volatility (Crisis),bm_russia-ukraine_Annualized Volatility (Crisis),russia-ukraine_Sharpe Ratio (Crisis),bm_russia-ukraine_Sharpe Ratio (Crisis),russia-ukraine_Sortino Ratio (Crisis),bm_russia-ukraine_Sortino Ratio (Crisis),trade_policy_shock_Max Drawdown (%),bm_trade_policy_shock_Max Drawdown (%),trade_policy_shock_Days: Trough to Breakeven,bm_trade_policy_shock_Days: Trough to Breakeven,trade_policy_shock_Days: Peak to Breakeven (Total),bm_trade_policy_shock_Days: Peak to Breakeven (Total),trade_policy_shock_Cumulative Return (Crisis),bm_trade_policy_shock_Cumulative Return (Crisis),trade_policy_shock_Annualized Volatility (Crisis),bm_trade_policy_shock_Annualized Volatility (Crisis),trade_policy_shock_Sharpe Ratio (Crisis),bm_trade_policy_shock_Sharpe Ratio (Crisis),trade_policy_shock_Sortino Ratio (Crisis),bm_trade_policy_shock_Sortino Ratio (Crisis),overall_Annualized Return,bm_overall_Annualized Return,overall_Annualized Volatility,bm_overall_Annualized Volatility,overall_Value at Risk (95%),bm_overall_Value at Risk (95%),overall_CVaR / Expected Shortfall,bm_overall_CVaR / Expected Shortfall,overall_1st Quartile Average Drawdown,bm_overall_1st Quartile Average Drawdown,overall_1st Quartile Average Duration to Trough,bm_overall_1st Quartile Average Duration to Trough,overall_1st Quartile Average Recovery Duration,bm_overall_1st Quartile Average Recovery Duration
equal_weight,Monthly,-0.3905,-0.4915,1534.0,1694.0,2129.0,2623.0,0.173,0.02,0.1733,0.1732,0.13,0.016,0.185,0.023,-0.5624,-0.5678,1466.0,1480.0,1983.0,1997.0,0.0063,0.0107,0.2567,0.2562,0.004,0.008,0.006,0.01,-0.1674,-0.1978,87.0,120.0,182.0,215.0,0.0274,0.001,0.1824,0.1829,0.262,0.009,0.37,0.013,-0.308,-0.3392,140.0,148.0,173.0,181.0,0.0155,0.003,0.4566,0.4692,0.07,0.013,0.095,0.017,-0.2908,-0.2543,289.0,464.0,571.0,746.0,0.0899,0.0154,0.2073,0.1932,0.208,0.039,0.292,0.055,-0.1896,-0.189,86.0,80.0,140.0,128.0,-0.0075,0.0019,0.2846,0.2755,-0.074,0.019,-0.11,0.028,0.1003,0.0725,0.1971,0.1938,-0.0191,-0.0187,-0.0298,-0.0296,0.277228,0.340644,206.75,316.833333,467.375,665.0
equal_weight,Quarterly,-0.3835,-0.4915,1534.0,1694.0,2129.0,2623.0,0.1673,0.02,0.1727,0.1732,0.126,0.016,0.18,0.023,-0.5406,-0.5678,1284.0,1480.0,1801.0,1997.0,0.0537,0.0107,0.2532,0.2562,0.038,0.008,0.052,0.01,-0.1661,-0.1978,87.0,120.0,182.0,215.0,0.0272,0.001,0.1802,0.1829,0.263,0.009,0.371,0.013,-0.3045,-0.3392,136.0,148.0,169.0,181.0,0.0216,0.003,0.4556,0.4692,0.098,0.013,0.134,0.017,-0.2913,-0.2543,275.0,464.0,557.0,746.0,0.1071,0.0154,0.2063,0.1932,0.248,0.039,0.349,0.055,-0.1884,-0.189,80.0,80.0,134.0,128.0,0.0032,0.0019,0.2835,0.2755,0.032,0.019,0.048,0.028,0.1032,0.0725,0.196,0.1938,-0.019,-0.0187,-0.0295,-0.0296,0.273043,0.340644,206.75,316.833333,441.625,665.0
equal_weight,Semi-Annual,-0.3888,-0.4915,1556.0,1694.0,2151.0,2623.0,0.1431,0.02,0.1715,0.1732,0.11,0.016,0.156,0.023,-0.5441,-0.5678,1456.0,1480.0,1973.0,1997.0,0.0282,0.0107,0.25,0.2562,0.02,0.008,0.028,0.01,-0.1667,-0.1978,87.0,120.0,182.0,215.0,0.0291,0.001,0.1809,0.1829,0.28,0.009,0.394,0.013,-0.3045,-0.3392,136.0,148.0,169.0,181.0,0.0261,0.003,0.4516,0.4692,0.12,0.013,0.163,0.017,-0.2916,-0.2543,261.0,464.0,543.0,746.0,0.1245,0.0154,0.2072,0.1932,0.286,0.039,0.404,0.055,-0.1875,-0.189,106.0,80.0,160.0,128.0,-0.0173,0.0019,0.2716,0.2755,-0.178,0.019,-0.262,0.028,0.1023,0.0725,0.1948,0.1938,-0.0188,-0.0187,-0.0294,-0.0296,0.274128,0.340644,206.75,316.833333,467.375,665.0
equal_weight,Yearly,-0.408,-0.4915,1605.0,1694.0,2442.0,2623.0,0.1026,0.02,0.1698,0.1732,0.081,0.016,0.115,0.023,-0.5239,-0.5678,1250.0,1480.0,1745.0,1997.0,0.0816,0.0107,0.2426,0.2562,0.06,0.008,0.082,0.01,-0.1726,-0.1978,101.0,120.0,196.0,215.0,0.0229,0.001,0.1869,0.1829,0.214,0.009,0.3,0.013,-0.3045,-0.3392,136.0,148.0,169.0,181.0,0.0272,0.003,0.4522,0.4692,0.125,0.013,0.17,0.017,-0.2897,-0.2543,245.0,464.0,527.0,746.0,0.1611,0.0154,0.2063,0.1932,0.368,0.039,0.521,0.055,-0.1875,-0.189,106.0,80.0,160.0,128.0,-0.0173,0.0019,0.2716,0.2755,-0.178,0.019,-0.262,0.028,0.1026,0.0725,0.1932,0.1938,-0.0188,-0.0187,-0.029,-0.0296,0.258359,0.340644,214.111111,316.833333,400.777778,665.0
hrp,Monthly,-0.34,-0.4915,948.0,1694.0,1543.0,2623.0,0.3418,0.02,0.1554,0.1732,0.269,0.016,0.381,0.023,-0.4553,-0.5678,1030.0,1480.0,1547.0,1997.0,0.2447,0.0107,0.2147,0.2562,0.19,0.008,0.267,0.01,-0.143,-0.1978,81.0,120.0,102.0,215.0,0.0322,0.001,0.1635,0.1829,0.343,0.009,0.486,0.013,-0.3046,-0.3392,155.0,148.0,188.0,181.0,-0.005,0.003,0.4245,0.4692,-0.024,0.013,-0.033,0.017,-0.2409,-0.2543,300.0,464.0,582.0,746.0,0.0447,0.0154,0.1737,0.1932,0.125,0.039,0.174,0.055,-0.1516,-0.189,149.0,80.0,203.0,128.0,-0.0353,0.0019,0.2333,0.2755,-0.414,0.019,-0.61,0.028,0.0933,0.0725,0.1732,0.1938,-0.0162,-0.0187,-0.026,-0.0296,0.234954,0.340644,207.333333,316.833333,352.555556,665.0
hrp,Quarterly,-0.3399,-0.4915,1221.0,1694.0,1816.0,2623.0,0.3177,0.02,0.1551,0.1732,0.253,0.016,0.358,0.023,-0.4456,-0.5678,865.0,1480.0,1382.0,1997.0,0.2612,0.0107,0.216,0.2562,0.201,0.008,0.282,0.01,-0.1424,-0.1978,84.0,120.0,130.0,215.0,0.0281,0.001,0.163,0.1829,0.301,0.009,0.424,0.013,-0.2972,-0.3392,154.0,148.0,187.0,181.0,0.0037,0.003,0.4238,0.4692,0.018,0.013,0.024,0.017,-0.2433,-0.2543,287.0,464.0,574.0,746.0,0.0567,0.0154,0.174,0.1932,0.158,0.039,0.22,0.055,-0.1615,-0.189,149.0,80.0,203.0,128.0,-0.0363,0.0019,0.2361,0.2755,-0.421,0.019,-0.617,0.028,0.093,0.0725,0.1736,0.1938,-0.0163,-0.0187,-0.0261,-0.0296,0.245845,0.340644,203.75,316.833333,380.625,665.0
hrp,Semi-Annual,-0.3351,-0.4915,1382.0,1694.0,1977.0,2623.0,0.3172,0.02,0.1549,0.1732,0.253,0.016,0.358,0.023,-0.4733,-0.5678,1100.0,1480.0,1617.0,1997.0,0.1897,0.0107,0.2196,0.2562,0.147,0.008,0.203,0.01,-0.1493,-0.1978,101.0,120.0,195.0,215.0,0.02,0.001,0.1646,0.1829,0.211,0.009,0.297,0.013,-0.2972,-0.3392,154.0,148.0,187.0,181.0,0.0018,0.003,0.4251,0.4692,0.009,0.013,0.012,0.017,-0.2503,-0.2543,285.0,464.0,572.0,746.0,0.0634,0.0154,0.1749,0.1932,0.175,0.039,0.245,0.055,-0.1648,-0.189,142.0,80.0,196.0,128.0,-0.03,0.0019,0.2363,0.2755,-0.35,0.019,-0.513,0.028,0.0911,0.0725,0.1746,0.1938,-0.0164,-0.0187,-0.0263,-0.0296,0.265368,0.340644,226.285714,316.833333,478.285714,665.0
hrp,Yearly,-0.3418,-0.4915,1464.0,1694.0,2059.0,2623.0,0.2631,0.02,0.1545,0.1732,0.214,0.016,0.303,0.023,-0.4562,-0.5678,1074.0,1480.0,1591.0,1997.0,0.2161,0.0107,0.2152,0.2562,0.169,0.008,0.236,0.01,-0.1503,-0.1978,101.0,120.0,195.0,215.0,0.0196,0.001,0.1682,0.1829,0.203,0.009,0.286,0.013,-0.2972,-0.3392,154.0,148.0,187.0,181.0,-0.0006,0.003,0.4252,0.4692,-0.003,0.013,-0.004,0.017,-0.2522,-0.2543,279.0,464.0,566.0,746.0,0.0906,0.0154,0.1735,0.1932,0.25,0.039,0.35,0.055,-0.1648,-0.189,128.0,80.0,182.0,128.0,-0.03,0.0019,0.2363,0.2755,-0.35,0.019,-0.513,0.028,0.091,0.0725,0.1737,0.1938,-0.0164,-0.0187,-0.026,-0.0296,0.250031,0.340644,209.75,316.833333,443.5,665.0
lstm,Monthly,-0.4087,-0.4915,1419.0,1694.0,2334.0,2623.0,0.2298,0.02,0.2056,0.1732,0.142,0.016,0.206,0.023,-0.6194,-0.5678,1688.0,1480.0,2201.0,1997.0,-0.069,0.0107,0.2897,0.2562,-0.045,0.008,-0.061,0.01,-0.1808,-0.1978,79.0,120.0,196.0,215.0,0.0592,0.001,0.2023,0.1829,0.516,0.009,0.739,0.013,-0.3365,-0.3392,158.0,148.0,191.0,181.0,-0.0166,0.003,0.5012,0.4692,-0.067,0.013,-0.091,0.017,-0.35,-0.2543,396.0,464.0,680.0,746.0,0.0899,0.0154,0.2518,0.1932,0.171,0.039,0.24,0.055,-0.22,-0.189,86.0,80.0,140.0,128.0,-0.0159,0.0019,0.3062,0.2755,-0.145,0.019,-0.207,0.028,0.1185,0.0725,0.2242,0.1938,-0.022,-0.0187,-0.0338,-0.0296,0.283743,0.340644,222.154762,316.833333,442.715873,665.0
lstm,Quarterly,-0.4143,-0.4915,1478.0,1694.0,2393.0,2623.0,0.1233,0.02,0.203,0.1732,0.081,0.016,0.116,0.023,-0.527,-0.5678,1099.0,1480.0,1616.0,1997.0,0.1838,0.0107,0.2571,0.2562,0.122,0.008,0.169,0.01,-0.1727,-0.1978,87.0,120.0,182.0,215.0,0.0385,0.001,0.1805,0.1829,0.373,0.009,0.528,0.013,-0.3004,-0.3392,135.0,148.0,168.0,181.0,0.0343,0.003,0.4684,0.4692,0.153,0.013,0.207,0.017,-0.3446,-0.2543,243.0,464.0,584.0,746.0,0.2166,0.0154,0.2454,0.1932,0.411,0.039,0.581,0.055,-0.1804,-0.189,99.0,80.0,153.0,128.0,-0.0214,0.0019,0.2724,0.2755,-0.218,0.019,-0.323,0.028,0.125,0.0725,0.2113,0.1938,-0.0207,-0.0187,-0.0319,-0.0296,0.272368,0.340644,283.628968,316.833333,409.920635,665.0
